title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Potty soft seat ,Potty soft seat,190.0,,,https://www.babyislandeg.com/shop/ry-302-1-potty-soft-seat-5346,https://www.babyislandeg.com/web/image/product.product/5690/image_1920?unique=92b3dbc,Baby Island Egypt,in_stock,baby products > other,All products,,,2026-06-13 02:23:15,Africa/Cairo,,,
junior GB mama 20pc,junior GB mama 20pc,695.0,,,https://www.babyislandeg.com/shop/junior-gb-mama-20pc-2475,https://www.babyislandeg.com/web/image/product.product/2464/image_1920?unique=fe33282,Baby Island Egypt,out_of_stock,baby products > clothing,Junior,20pc,,2026-06-13 02:23:15,Africa/Cairo,Junior,,
شيكو ببرونة بيرفكت ٢٤٠ مل لبني,شيكو ببرونة بيرفكت ٢٤٠ مل لبني,450.0,,,https://www.babyislandeg.com/shop/شيكو-ببرونة-بيرفكت-٢٤٠-مل-لبني-2452,https://www.babyislandeg.com/web/image/product.product/2441/image_1920?unique=fe33282,Baby Island Egypt,out_of_stock,baby products > other,All products,,,2026-06-13 02:23:16,Africa/Cairo,,,
kidilo k8 pro F Baby Stroller (Black),kidilo k8 pro F Baby Stroller,4100.0,,,"https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=2,4,209,152,150,151,206,205,222,220,156",https://www.babyislandeg.com/web/image/product.product/5803/image_1920?unique=608fbc3,Baby Island Egypt,out_of_stock,baby products > strollers,Baby Going-Out Time,,,2026-06-13 02:23:16,Africa/Cairo,Kidilo,,
kidilo k8 pro F Baby Stroller (khaki),kidilo k8 pro F Baby Stroller,4100.0,,,"https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=28,4,209,152,150,151,206,205,222,220,156",https://www.babyislandeg.com/web/image/product.product/5804/image_1920?unique=608fbc3,Baby Island Egypt,in_stock,baby products > strollers,Baby Going-Out Time,,,2026-06-13 02:23:16,Africa/Cairo,Kidilo,,
kidilo k8 pro F Baby Stroller (Gray),kidilo k8 pro F Baby Stroller,4100.0,,,"https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=14,4,209,152,150,151,206,205,222,220,156",https://www.babyislandeg.com/web/image/product.product/5805/image_1920?unique=608fbc3,Baby Island Egypt,in_stock,baby products > strollers,Baby Going-Out Time,,,2026-06-13 02:23:16,Africa/Cairo,Kidilo,,
kidilo k8 pro F Baby Stroller (green),kidilo k8 pro F Baby Stroller,4100.0,,,"https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=24,4,209,152,150,151,206,205,222,220,156",https://www.babyislandeg.com/web/image/product.product/5806/image_1920?unique=608fbc3,Baby Island Egypt,out_of_stock,baby products > strollers,Baby Going-Out Time,,,2026-06-13 02:23:16,Africa/Cairo,Kidilo,,
 Baby Feeding chair  (dark blue),Baby Feeding chair,1950.0,,,https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=25,https://www.babyislandeg.com/web/image/product.product/3215/image_1920?unique=af56fda,Baby Island Egypt,out_of_stock,baby products > feeding,Baby Feeding Time,,,2026-06-13 02:23:16,Africa/Cairo,,,
 Baby Feeding chair  (Gray),Baby Feeding chair,1950.0,,,https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=14,https://www.babyislandeg.com/web/image/product.product/5280/image_1920?unique=af56fda,Baby Island Egypt,out_of_stock,baby products > feeding,Baby Feeding Time,,,2026-06-13 02:23:16,Africa/Cairo,,,
 Baby Feeding chair  (pink),Baby Feeding chair,1950.0,,,https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=23,https://www.babyislandeg.com/web/image/product.product/3214/image_1920?unique=af56fda,Baby Island Egypt,in_stock,baby products > feeding,Baby Feeding Time,,,2026-06-13 02:23:16,Africa/Cairo,,,
