title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Sensodyne Tooth Paste Fluoride50M,Sensodyne Tooth Paste Fluoride50M,73.5,,,https://www.carrefouregypt.com/mafegy/en/sensitive-toothpaste/sensodyne-tooth-paste-fluoride50m/p/10071,,Carrefour Egypt,,,Sensitive Toothpaste,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Sensodyne,,
Spysi Chicken Grilled Spices 90G,Spysi Chicken Grilled Spices,42.99,,,https://www.carrefouregypt.com/mafegy/en/spices-herbs/spysi-chicken-grilled-spices-90g/p/101137,,Carrefour Egypt,,,Spices Herbs,90 g,90 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Merba Famous Choco Cookies 225G,Merba Famous Choco Cookies,179.5,,,https://www.carrefouregypt.com/mafegy/en/cookies/merba-famous-choco-cookies-225g/p/103229,,Carrefour Egypt,,,Cookies,225 g,225 g,2026-06-12T02:07:32+03:00,Africa/Cairo,Merba,,
Merba Cookies Brownie 200G,Merba Cookies Brownie,179.5,,,https://www.carrefouregypt.com/mafegy/en/cookies/merba-cookies-brownie-200g/p/103231,,Carrefour Egypt,,,Cookies,200 g,200 g,2026-06-12T02:07:32+03:00,Africa/Cairo,Merba,,
J J Baby Oil 200M,J J Baby Oil 200M,108.99,,,https://www.carrefouregypt.com/mafegy/en/baby-skin-care/j-j-baby-oil-200m/p/10412,,Carrefour Egypt,,,Baby Skin Care,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
J J Facial Wash Sensitive Skin 150M,J J Facial Wash Sensitive Skin 150M,209.99,,,https://www.carrefouregypt.com/mafegy/en/face-cleansing-scrub-toners/j-j-facial-wash-sensitive-skin-150m/p/10442,,Carrefour Egypt,,,Face Cleansing Scrub Toners,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Diva Liquid Hand Soap Anti Bacteria,Diva Liquid Hand Soap Anti Bacteria,57.5,40,30.0,https://www.carrefouregypt.com/mafegy/en/liquid-hand-soap/diva-liquid-hand-soap-anti-bacteria/p/104812,,Carrefour Egypt,,,Liquid Hand Soap,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Dasani Natural Drinking Water - 1.5 Liter,Dasani Natural Drinking Water,9.99,,,https://www.carrefouregypt.com/mafegy/en/still-water/dasani-natural-water-1-5l/p/104950,,Carrefour Egypt,,grocery > beverages,Beverages,1.5 l,1.5 l,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Dasani Natural Drinking Water - 600 ml,Dasani Natural Drinking Water,5.99,,,https://www.carrefouregypt.com/mafegy/en/still-water/dasani-natural-water-600m/p/104951,,Carrefour Egypt,,grocery > beverages,Water,600 ml,600 ml,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
H S Shampo Smooth Silky 400M,H S Shampo Smooth Silky 400M,219.99,179.99,18.0,https://www.carrefouregypt.com/mafegy/en/shampoo-antidandruff/h-s-shampo-smooth-silky-400m/p/105073,,Carrefour Egypt,,,Shampoo Antidandruff,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Duck Wc Liquid Flowers 500Ml,Duck Wc Liquid Flowers,104.99,,,https://www.carrefouregypt.com/mafegy/en/toilet-cleaner/duck-wc-liquid-flowers-500ml/p/106027,,Carrefour Egypt,,,Toilet Cleaner,500 ml,500 ml,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Bahlsen Pick Up Choco Biscuit 28G,Bahlsen Pick Up Choco Biscuit,37.99,,,https://www.carrefouregypt.com/mafegy/en/chocolate-cream-biscuits/bahlsen-pick-up-choco-biscuit-28g/p/106078,,Carrefour Egypt,,,Chocolate Cream Biscuits,28 g,28 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Loacker Creme Noisette Wafer 100G,Loacker Creme Noisette Wafer,276.5,,,https://www.carrefouregypt.com/mafegy/en/wafers/loacker-creme-noisette-wafer-100g/p/106096,,Carrefour Egypt,,,Wafers,100 g,100 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Loacker Cappucino Milk Wafer 100G,Loacker Cappucino Milk Wafer,276.5,,,https://www.carrefouregypt.com/mafegy/en/wafers/loacker-cappucino-milk-wafer-100g/p/106097,,Carrefour Egypt,,,Wafers,100 g,100 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Sheraton Brand Pure Butter - 800 gram,Sheraton Brand Pure Butter,488.99,,,https://www.carrefouregypt.com/mafegy/en/ghee/sherton-natural-ghee-800g/p/106174,,Carrefour Egypt,,grocery > food cupboard,Food Cupboard,800 g,800 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Haloub Al Missalia Natural Ghee800G,Haloub Al Missalia Natural Ghee800G,484.99,,,https://www.carrefouregypt.com/mafegy/en/ghee/haloub-al-missalia-natural-ghee800g/p/106175,,Carrefour Egypt,,,Ghee,800 g,800 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawadi Tahina - 125 gram,El Bawadi Tahina,32.5,,,https://www.carrefouregypt.com/mafegy/en/tahini/el-bawady-tehina-125g/p/107927,,Carrefour Egypt,,grocery > food cupboard,"Condiments, Dressings & Marinades",125 g,125 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawadi Tahina - 250 gram,El Bawadi Tahina,60.5,,,https://www.carrefouregypt.com/mafegy/en/tahini/el-bawady-tehina-240g/p/107928,,Carrefour Egypt,,grocery > food cupboard,"Condiments, Dressings & Marinades",250 g,250 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawadi Tahina - 480 gram,El Bawadi Tahina,120.5,109.99,9.0,https://www.carrefouregypt.com/mafegy/en/tahini/el-bawady-tehina-480g/p/107929,,Carrefour Egypt,,grocery > food cupboard,Food Cupboard,480 g,480 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawadi Halawa Plain 130G,El Bawadi Halawa Plain,28.5,,,https://www.carrefouregypt.com/mafegy/en/halawa/el-bawadi-halawa-plain-130g/p/107930,,Carrefour Egypt,,,Halawa,130 g,130 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawadi Halawa Plain - 275 gram,El Bawadi Halawa Plain,54.5,,,https://www.carrefouregypt.com/mafegy/en/halawa/el-bawadi-halawa-plain-230g/p/107934,,Carrefour Egypt,,grocery > food cupboard,"Jams, Honey & Spreads",275 g,275 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El-Bawadi Molasses - 355 gram,El-Bawadi Molasses,27.5,,,https://www.carrefouregypt.com/mafegy/en/loose-honey/el-bawadi-molasses-355g/p/107936,,Carrefour Egypt,,grocery > food cupboard,"Jams, Honey & Spreads",355 g,355 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Bawady Tahina - 470 gram + Molasses - 350 gram,El Bawady Tahina,146.75,,,https://www.carrefouregypt.com/mafegy/en/tahini/elbawady-tahina-470g-molasse-350g/p/107940,,Carrefour Egypt,,grocery > food cupboard,"Condiments, Dressings & Marinades",470 g,470 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Wadi Food Virgin Olive Oil 1L,Wadi Food Virgin Olive Oil,824.5,,,https://www.carrefouregypt.com/mafegy/en/olive-oil/wadi-food-virgin-olive-oil-1l/p/108155,,Carrefour Egypt,,,Olive Oil,1 l,1 l,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Wadi F Extra Virgin Olive Oil 1L,Wadi F Extra Virgin Olive Oil,888.99,,,https://www.carrefouregypt.com/mafegy/en/olive-oil/wadi-f-extra-virgin-olive-oil-1l/p/108156,,Carrefour Egypt,,,Olive Oil,1 l,1 l,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Wadi F Extra Virin Olive Oil 2L,Wadi F Extra Virin Olive Oil,1630.99,,,https://www.carrefouregypt.com/mafegy/en/olive-oil/wadi-f-extra-virin-olive-oil-2l/p/108157,,Carrefour Egypt,,,Olive Oil,2 l,2 l,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Royal Hibiscus Herbs - 12 Bags,Royal Hibiscus Herbs,14.5,,,https://www.carrefouregypt.com/mafegy/en/infusions-herbal/royal-herbs-hibiscus-12b/p/108209,,Carrefour Egypt,,grocery > beverages,Tea,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Royal Tilia Tea Bag 12Sac,Royal Tilia Tea Bag 12Sac,14.5,,,https://www.carrefouregypt.com/mafegy/en/infusions-herbal/royal-tilia-tea-bag-12sac/p/108210,,Carrefour Egypt,,,Infusions Herbal,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Abu Ali Fish Spices 40G,Abu Ali Fish Spices,17.99,,,https://www.carrefouregypt.com/mafegy/en/spices-herbs/abu-ali-fish-spices-40g/p/108219,,Carrefour Egypt,,,Spices Herbs,40 g,40 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Abu Ali Grilled Chicken 40G,Abu Ali Grilled Chicken,12.5,,,https://www.carrefouregypt.com/mafegy/en/spices-herbs/abu-ali-grilled-chicken-40g/p/108220,,Carrefour Egypt,,,Spices Herbs,40 g,40 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Abu Ali Kofta Spices 40G,Abu Ali Kofta Spices,17.99,,,https://www.carrefouregypt.com/mafegy/en/spices-herbs/abu-ali-kofta-spices-40g/p/108226,,Carrefour Egypt,,,Spices Herbs,40 g,40 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Zeina Facial Tissues Pocket 50T 2,Zeina Facial Tissues Pocket 50T 2,12.5,10.95,12.0,https://www.carrefouregypt.com/mafegy/en/facial-tissues/zeina-facial-tissues-pocket-50t-2/p/10868,,Carrefour Egypt,,,Facial Tissues,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Zeina Facial Tissues 200T,Zeina Facial Tissues 200T,26.99,20.95,22.0,https://www.carrefouregypt.com/mafegy/en/facial-tissues/zeina-facial-tissues-200t/p/10872,,Carrefour Egypt,,,Facial Tissues,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Zeina Facial Tissues 300T,Zeina Facial Tissues 300T,31.95,29.95,6.0,https://www.carrefouregypt.com/mafegy/en/facial-tissues/zeina-facial-tissues-300t/p/10873,,Carrefour Egypt,,,Facial Tissues,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Zeina Facial Tissues Box 100T 5,Zeina Facial Tissues Box 100T 5,61.99,52.95,15.0,https://www.carrefouregypt.com/mafegy/en/facial-tissues/zeina-facial-tissues-box-100t-5/p/108847,,Carrefour Egypt,,,Facial Tissues,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
AMR Fruit Cocktail Light Syrup - 820 gram,AMR Fruit Cocktail Light Syrup,201.5,,,https://www.carrefouregypt.com/mafegy/en/canned-fruits/amr-fruit-coctail-light-820g/p/109657,,Carrefour Egypt,,grocery > food cupboard,"Tins, Jars & Packets",820 g,820 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Ion Break Choco Raisin Nuts 85G,Ion Break Choco Raisin Nuts,110.99,,,https://www.carrefouregypt.com/mafegy/en/chocolates/ion-break-choco-raisin-nuts-85g/p/109673,,Carrefour Egypt,,,Chocolates,85 g,85 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Ion Milk Chocolate Hazelnut 200G,Ion Milk Chocolate Hazelnut,278.99,,,https://www.carrefouregypt.com/mafegy/en/chocolates/ion-milk-chocolate-hazelnut-200g/p/109680,,Carrefour Egypt,,,Chocolates,200 g,200 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Ion Milk Chocolate 200G,Ion Milk Chocolate,278.99,,,https://www.carrefouregypt.com/mafegy/en/chocolates/ion-milk-chocolate-200g/p/109681,,Carrefour Egypt,,,Chocolates,200 g,200 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Durex Condoms Pleasure Max 3S,Durex Condoms Pleasure Max 3S,158.5,,,https://www.carrefouregypt.com/mafegy/en/condoms/durex-condoms-pleasure-max-3s/p/113145,,Carrefour Egypt,,,Condoms,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Nescafe 3 1 18G,Nescafe 3 1,5.99,,,https://www.carrefouregypt.com/mafegy/en/mixes-sachets/nescafe-3-1-18g/p/115319,,Carrefour Egypt,,,Mixes Sachets,18 g,18 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Hero Jam Mix 350G,Hero Jam Mix,68.99,,,https://www.carrefouregypt.com/mafegy/en/fruity-jam/hero-jam-mix-350g/p/115636,,Carrefour Egypt,,,Fruity Jam,350 g,350 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Hero Jam Fig 350G,Hero Jam Fig,68.99,,,https://www.carrefouregypt.com/mafegy/en/fruity-jam/hero-jam-fig-350g/p/115637,,Carrefour Egypt,,,Fruity Jam,350 g,350 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Peas - 400 gram,Basma Frozen Peas,47.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-green-peas/basma-peas-400g/p/11653,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Peas and Carrots - 400 gram,Basma Frozen Peas and Carrots,26.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-green-peas/basma-peas-carrots-400g/p/11654,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Strawberry - 400 gm,Basma Frozen Strawberry,20.99,,,https://www.carrefouregypt.com/mafegy/en/frozen-fruits/basma-strawberry-400g/p/11660,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Mixed Vegetables - 400 gram,Basma Frozen Mixed Vegetables,18.99,,,https://www.carrefouregypt.com/mafegy/en/mix-vegetable/basma-mixed-vegetables-400g/p/11661,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Artichoke - 400 gram,Basma Frozen Artichoke,68.99,,,https://www.carrefouregypt.com/mafegy/en/frozen-vegetables/basma-artichokes-400g/p/11664,,Carrefour Egypt,,grocery > food cupboard,Frozen Fruits & Vegetables,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Colocasia - 400 gram,Basma Frozen Colocasia,27.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-vegetables/basma-colocasia-400g/p/11666,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Cauliflower 400G,Basma Cauliflower,19.5,,,https://www.carrefouregypt.com/mafegy/en/cauliflower-broccoli/basma-cauliflower-400g/p/11667,,Carrefour Egypt,,,Cauliflower Broccoli,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Basma Frozen Vegetables Mix For Soup - 400 gram,Basma Frozen Vegetables Mix For Soup,17.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-vegetables/basma-vegetables-soup-400g/p/11685,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Kiri Squared Cheese - 12 Pieces,Kiri Squared Cheese,149.99,130,13.0,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-squared-cheese-12p/p/11697,,Carrefour Egypt,,grocery > fresh food,Fresh Food,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Kiri Cream Cheese Squares - 24 Portion,Kiri Cream Cheese Squares,277.99,240,14.0,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-squared-cheese-24p/p/11698,,Carrefour Egypt,,grocery > fresh food,Fresh Food,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Kiri Squared Cheese 6P,Kiri Squared Cheese 6P,76.99,70,9.0,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-squared-cheese-6p/p/11714,,Carrefour Egypt,,,Soft Cream Cheese,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Kiri Squared Cheese 8P,Kiri Squared Cheese 8P,103.99,81.99,21.0,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-squared-cheese-8p/p/11715,,Carrefour Egypt,,,Soft Cream Cheese,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Domty Grated Mozzarella Cheese 280G,Domty Grated Mozzarella Cheese,80.99,,,https://www.carrefouregypt.com/mafegy/en/shredded-cheese/domty-grated-mozzarella-cheese-280g/p/11829,,Carrefour Egypt,,,Shredded Cheese,280 g,280 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Domty Feta Cheese 250G,Domty Feta Cheese,21.99,,,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-feta-cheese-250g/p/11831,,Carrefour Egypt,,,Feta White Cheese,250 g,250 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Domty Talaga Cheese 700 G,Domty Talaga Cheese,211.99,,,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-talaga-cheese-700-g/p/11832,,Carrefour Egypt,,,Feta White Cheese,700 g,700 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Domty Talaga Cheese 400G,Domty Talaga Cheese,120.99,,,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-talaga-cheese-400g/p/11833,,Carrefour Egypt,,,Feta White Cheese,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Americana Beef Burger - 30 Pieces,Americana Beef Burger,175.5,114.99,34.0,https://www.carrefouregypt.com/mafegy/en/beef-burger/americana-beef-burger-30p/p/118663,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Bostany Tuna Chunks 185G,Bostany Tuna Chunks,82.5,,,https://www.carrefouregypt.com/mafegy/en/tuna/bostany-tuna-chunks-185g/p/119390,,Carrefour Egypt,,,Tuna,185 g,185 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Farm Frites Pommes Frites - 1 kg,Farm Frites Pommes Frites,66.5,,,https://www.carrefouregypt.com/mafegy/en/french-fries/farm-frites-pommes-frites-1k/p/12053,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Farm Frites Pommes Frites - 2.5 kg,Farm Frites Pommes Frites,163.99,,,https://www.carrefouregypt.com/mafegy/en/french-fries/farm-frites-pommes-frites-2-5k/p/12056,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,2.5 kg,2.5 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Farm Frites Thin Fries - 1 kg,Farm Frites Thin Fries,66.5,,,https://www.carrefouregypt.com/mafegy/en/french-fries/farm-frites-pommes-allumettes-1k/p/12057,,Carrefour Egypt,,grocery > food cupboard,Frozen Food,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Vileda Glitzi Fibra Verde Sponge 2P,Vileda Glitzi Fibra Verde Sponge 2P,117.5,,,https://www.carrefouregypt.com/mafegy/en/scouring-sponge/vileda-glitzi-fibra-verde-sponge-2p/p/121226,,Carrefour Egypt,,,Scouring Sponge,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Givrex Peas Carrots 400G,Givrex Peas Carrots,46.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-green-peas/givrex-peas-carrots-400g/p/12156,,Carrefour Egypt,,,Frozen Green Peas,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Givrex Artichoke For Stuffing 500G,Givrex Artichoke For Stuffing,97.5,,,https://www.carrefouregypt.com/mafegy/en/frozen-vegetables/givrex-artichoke-for-stuffing-500g/p/12157,,Carrefour Egypt,,,Frozen Vegetables,500 g,500 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Givrex Broad Beans 400G,Givrex Broad Beans,43.99,,,https://www.carrefouregypt.com/mafegy/en/beans/givrex-broad-beans-400g/p/12165,,Carrefour Egypt,,,Beans,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Star Pasta Big Rings 400G,Star Pasta Big Rings,16.5,,,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/star-pasta-big-rings-400g/p/121714,,Carrefour Egypt,,,Short Cut Pasta,400 g,400 g,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
