title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
MAONO MH700 Wired Headset - Black,MAONO MH700 Wired Headset,3500,,,https://www.dokkantech.com/products/maono-mh700-gaming-headset-black,,Dokkantech,out_of_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Maono,,
Redragon H510 Zeus-X RGB Wired Gaming Headset - 7.1 Surround Sound - 53MM Audio,Redragon H510 Zeus-X RGB Wired Gaming Headset,2499,,,https://www.dokkantech.com/products/redragon-h510-zeus-x-rgb-wired-gaming-headset-7-1-surround-sound-53mm-audio-drivers-in-memory-foam-ear-pads-w-durable-fabric-cover-multi-platforms-headphone,,Dokkantech,out_of_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Redragon Rift G710 Gamer Controller for PC and PS3 - Black and Red,Redragon Rift G710 Gamer Controller for PC and PS3,1299,1495,13%,https://www.dokkantech.com/products/redragon-rift-g710-gamer-controller-for-pc-and-ps3-black-and-red,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Redragon M816-STD Wireless Gaming Mouse,Redragon M816-STD Wireless Gaming Mouse,1399,,,https://www.dokkantech.com/products/redragon-m816-std-wireless-gaming-mouse,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Redragon G711 Controller Gaming Forge Wireless Multi-Platform RGB Programmable - Black,Redragon G711 Controller Gaming Forge Wireless Multi-Platform RGB Programmable,1599,1839,13%,https://www.dokkantech.com/products/redragon-g711-controller-gaming-forge-wireless-multi-platform-rgb-programmable-black,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Redragon H510 Zeus Wired Gaming Headset - Black,Redragon H510 Zeus Wired Gaming Headset,1999,2299,13%,https://www.dokkantech.com/products/redragon-h510-zeus-wired-gaming-headset-black,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Redragon SKULD PRO H878 — Tri-Mode Wireless Gaming Headset with 7.1 Surround Sound,Redragon SKULD PRO H878,2499,,,https://www.dokkantech.com/products/redragon-skuld-pro-h878-tri-mode-wireless-gaming-headset-with-7-1-surround-sound,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Redragon,,
Logitech Zone 300 Wireless Bluetooth Headset With Noise-Cancelling Microphone - Black,Logitech Zone 300 Wireless Bluetooth Headset With Noise-Cancelling Microphone,4649,,,https://www.dokkantech.com/products/logitech-zone-300-wireless-bluetooth-headset-with-noise-cancelling-microphone,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Logitech,,
Logitech Zone 300 Wireless Bluetooth Headset With Noise-Cancelling Microphone - Creamy White,Logitech Zone 300 Wireless Bluetooth Headset With Noise-Cancelling Microphone,4649,,,https://www.dokkantech.com/products/logitech-zone-300-wireless-bluetooth-headset-with-noise-cancelling-microphone,,Dokkantech,in_stock,electronics > gaming accessories,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Logitech,,
Apple AirPods 4 – White,Apple AirPods 4,6999,,,https://www.dokkantech.com/products/apple-airpods-4-white,,Dokkantech,in_stock,tws earbuds,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Apple,,
