title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Skinarma GEMINI Strap for Whoop 5 MG Series - Blackorange,Skinarma GEMINI Strap for Whoop 5 MG Series,2499,,,https://ennap.com/products/skinarma-gemini-strap-for-whoop-5-mg-series?variant=52309910880539,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/SK_WHOOP_GEMINI_ORANGE_01.jpg?v=1780908538,Ennap.com,out_of_stock,electronics > wearables,Products,140 mm,,2026-06-13T01:06:14.421Z,Africa/Cairo,Skinarma,,
Skinarma GEMINI Strap for Whoop 5 MG Series - Navyblue,Skinarma GEMINI Strap for Whoop 5 MG Series,2499,,,https://ennap.com/products/skinarma-gemini-strap-for-whoop-5-mg-series?variant=52309910913307,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/SK_WHOOP_GEMINI_NAVY_01.jpg?v=1780908545,Ennap.com,out_of_stock,electronics > wearables,Products,140 mm,,2026-06-13T01:06:14.421Z,Africa/Cairo,Skinarma,,
Skinarma GEMINI Strap for Whoop 5 MG Series - Birch,Skinarma GEMINI Strap for Whoop 5 MG Series,2499,,,https://ennap.com/products/skinarma-gemini-strap-for-whoop-5-mg-series?variant=52309910946075,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/SK_WHOOP_GEMINI_KHAKI_01.jpg?v=1780908548,Ennap.com,out_of_stock,electronics > wearables,Products,140 mm,,2026-06-13T01:06:14.421Z,Africa/Cairo,Skinarma,,
Skinarma GEMINI Strap for Whoop 5 MG Series - Chalkblack,Skinarma GEMINI Strap for Whoop 5 MG Series,2499,,,https://ennap.com/products/skinarma-gemini-strap-for-whoop-5-mg-series?variant=52309910978843,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/SK_WHOOP_GEMINI_BLACK_01.jpg?v=1780908551,Ennap.com,out_of_stock,electronics > wearables,Products,140 mm,,2026-06-13T01:06:14.421Z,Africa/Cairo,Skinarma,,
Skinarma GEMINI Strap for Whoop 5 MG Series - Pinkmauve,Skinarma GEMINI Strap for Whoop 5 MG Series,2499,,,https://ennap.com/products/skinarma-gemini-strap-for-whoop-5-mg-series?variant=52309911011611,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/SK_WHOOP_GEMINI_MAROON_01.jpg?v=1780908555,Ennap.com,out_of_stock,electronics > wearables,Products,140 mm,,2026-06-13T01:06:14.421Z,Africa/Cairo,Skinarma,,
Nintendo Switch™ 2 Pro Controller - Black,Nintendo Switch™ 2 Pro Controller,4499,5000,10.02,https://ennap.com/products/nintendo-switch™-2-pro-controller?variant=52292188111131,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/123674-nintendo-switch-2-pro-controller-front-2000x2000.jpg?v=1780593596,Ennap.com,out_of_stock,electronics > gaming,Nintendo,3.5 mm,235 g,2026-06-13T01:06:14.421Z,Africa/Cairo,Nintendo,,
ZTE nubia RedMagic 11S Pro Dual SIM 5G - 12GB + 256GB / Nightfreeze,ZTE nubia RedMagic 11S Pro Dual SIM 5G,0,,,https://ennap.com/products/zte-nubia-redmagic-11s-pro-dual-sim-5g?variant=52292135190811,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/s-l1600_27ecc596-9f33-4c94-837b-19c5efdcd974.webp?v=1780591473,Ennap.com,out_of_stock,electronics > mobiles,Products,7500 mah,5 g,2026-06-13T01:06:14.421Z,Africa/Cairo,ZTE,16GB,512GB
ZTE nubia RedMagic 11S Pro Dual SIM 5G - 12GB + 256GB / Subzero,ZTE nubia RedMagic 11S Pro Dual SIM 5G,0,,,https://ennap.com/products/zte-nubia-redmagic-11s-pro-dual-sim-5g?variant=52292135223579,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/redmagic-11s-pro-plus-front-and-back2.png?v=1780591863,Ennap.com,out_of_stock,electronics > mobiles,Products,7500 mah,5 g,2026-06-13T01:06:14.421Z,Africa/Cairo,ZTE,16GB,512GB
ZTE nubia RedMagic 11S Pro Dual SIM 5G - 16GB + 512GB / Nightfreeze,ZTE nubia RedMagic 11S Pro Dual SIM 5G,0,,,https://ennap.com/products/zte-nubia-redmagic-11s-pro-dual-sim-5g?variant=52292135256347,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/s-l1600_27ecc596-9f33-4c94-837b-19c5efdcd974.webp?v=1780591473,Ennap.com,out_of_stock,electronics > mobiles,Products,7500 mah,5 g,2026-06-13T01:06:14.421Z,Africa/Cairo,ZTE,16GB,512GB
ZTE nubia RedMagic 11S Pro Dual SIM 5G - 16GB + 512GB / Subzero,ZTE nubia RedMagic 11S Pro Dual SIM 5G,0,,,https://ennap.com/products/zte-nubia-redmagic-11s-pro-dual-sim-5g?variant=52292135289115,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/redmagic-11s-pro-plus-front-and-back2.png?v=1780591863,Ennap.com,out_of_stock,electronics > mobiles,Products,7500 mah,5 g,2026-06-13T01:06:14.421Z,Africa/Cairo,ZTE,16GB,512GB
iLock Car Fast Charger 60W Dual Port | USB-C & USB-A | PD 30W + QC 30W | LED Indicator - Black,iLock Car Fast Charger 60W Dual Port | USB-C & USB-A | PD 30W + QC 30W | LED Indicator,0,,,https://ennap.com/products/ilock-car-fast-charger-60w-dual-port?variant=52240457957659,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/Car_Charger_30_B_1-1.jpg?v=1779357975,Ennap.com,out_of_stock,electronics,Products,60 w,,2026-06-13T01:06:14.421Z,Africa/Cairo,ilock,,
iLock Universal Travel Adapter | US to UK/EU/AUS | Compact & Portable,iLock Universal Travel Adapter | US to UK/EU/AUS | Compact & Portable,0,,,https://ennap.com/products/ilock-universal-travel-us?variant=52232165130523,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/Adapter_w_1-1.jpg?v=1779193514,Ennap.com,out_of_stock,electronics,Products,,,2026-06-13T01:06:14.421Z,Africa/Cairo,ilock,,
iLock Travel Plug Adapter – Gulf Plug - White,iLock Travel Plug Adapter – Gulf Plug,0,,,https://ennap.com/products/ilock-travel-plug-adapter-gulf-plug?variant=52232006959387,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/side_W2-1-1024x1024.jpg?v=1779189276,Ennap.com,out_of_stock,electronics,Products,,,2026-06-13T01:06:14.421Z,Africa/Cairo,ilock,,
"FoCase Rec AI-Powered Call Recorder, Voice Recorder with Transcription and Summarization - White","FoCase Rec AI-Powered Call Recorder, Voice Recorder with Transcription and Summarization",0,,,https://ennap.com/products/focase-rec-ai-powered-call-recorder?variant=52231614988571,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/AICallRecorder_4.jpg?v=1779177030,Ennap.com,out_of_stock,electronics > cameras,Products,,28 g,2026-06-13T01:06:14.421Z,Africa/Cairo,FoCase,,64GB
"FoCase Rec AI-Powered Call Recorder, Voice Recorder with Transcription and Summarization - Black","FoCase Rec AI-Powered Call Recorder, Voice Recorder with Transcription and Summarization",0,,,https://ennap.com/products/focase-rec-ai-powered-call-recorder?variant=52231615021339,https://cdn.shopify.com/s/files/1/0823/1567/3883/files/AI_Call_Recorder_5.jpg?v=1779177030,Ennap.com,out_of_stock,electronics > cameras,Products,,28 g,2026-06-13T01:06:14.421Z,Africa/Cairo,FoCase,,64GB
