title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Eva Senses Hair Mist Floral Whisper 100 Ml,Eva Senses Hair Mist Floral Whisper,108,120,10.000,https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-floral-whisper-100-ml,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92031.jpg?v=1766944023,EVA Shop,in_stock,beauty > hair care,Eva Skin Care Senses,100 ml,100 ml,2026-06-13T03:45:02,Africa/Cairo,Eva Senses,,
Eva Senses Hair Mist Frosted Skies 100 Ml,Eva Senses Hair Mist,108,120,10.000,https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-frosted-skies-100-ml,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92034.jpg?v=1766944024,EVA Shop,in_stock,beauty > hair care,Eva Skin Care Senses,100 ml,100 ml,2026-06-13T03:45:02,Africa/Cairo,Eva Senses,,
Eva Senses Hair Mist Pure Joy 100 Ml,Eva Senses Hair Mist,108,120,10.000,https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-pure-joy-100-ml,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92033.jpg?v=1766944023,EVA Shop,in_stock,beauty > hair care,Eva Skin Care Senses,100 ml,100 ml,2026-06-13T03:45:02,Africa/Cairo,Eva Senses,,
Gold & Summer + Mystic Orchid Free,Gold & Summer + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-cozy-spring-lilies-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7730.jpg?v=1781098138,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Gold &,,
Clouds & Cozy + Spring Lilies Free,Clouds & Cozy + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-mystic-orchid-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7731.jpg?v=1781098138,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
Clouds & Gold + Mystic Orchid Free,Clouds & Gold + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-spring-lilies-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7732.jpg?v=1781098138,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
Clouds & Gold + Spring Lilies Free,Clouds & Gold + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-morning-blossom-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7733.jpg?v=1781098138,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
Clouds & Gold + Morning Blossom Free,Clouds & Gold + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-night-out-free-copy-1,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7734.jpg?v=1781098138,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
Clouds & Gold + Musky Jasmine Free,Clouds & Gold + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-love-tale-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7735.jpg?v=1781098137,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
Clouds & Gold + Love Tale Free,Clouds & Gold + Free,440,660,33.333,https://www.shop.eva-cosmetics.com/products/clouds-gold-night-out-free-copy,https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7736.jpg?v=1781098139,EVA Shop,in_stock,beauty > body care,Bundles,,,2026-06-13T03:45:02,Africa/Cairo,Clouds &,,
