title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Fresh Electric Oven - 65 Liters - Led Knob (Grill and Fan),Fresh Electric Oven,5125.01,6250,18.000%,https://fresh.com.eg/en/product/fresh-electric-oven-65-liters-led-knob-grill-and-fan,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/o/v/oven_65_l_led_knob_2_.png,Fresh,in_stock,home > kitchenware,Electric Oven,,65 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Dishwasher 60cm - Stainless Steel,Fresh Dishwasher 60cm,18978.3,23430,19.000%,https://fresh.com.eg/en/product/fresh-dishwasher-60cm-stainless-steel,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/i/file_52.jpg,Fresh,in_stock,home > laundry,Dishwasher,,60 cm,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Dishwasher 60cm - Silver,Fresh Dishwasher 60cm,17512.2,21620,19.000%,https://fresh.com.eg/en/product/fresh-dishwasher-60cm-silver,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/i/file_51_4.jpg,Fresh,in_stock,home > laundry,Dishwasher,,60 cm,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Washing Machine 09 Kgs Inverter Direct Drive G2-CG,Fresh Washing Machine 09 Kgs   G2-CG,23993.19,31570,24.000%,https://fresh.com.eg/en/product/fresh-washing-machine-09-kgs-inverter-direct-drive-g2-cg,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/9/k/9k-cg-g2_1_.jpg,Fresh,in_stock,home > laundry,Full Automatic Washing Machine,,09 kgs,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
"Fresh Chest Freezer Extra Duetto FDF-330, 255 Liters","Fresh Chest Freezer Extra Duetto FDF-330, 255 Liters",13844.75,17525,21.000%,https://fresh.com.eg/en/product/fresh-chest-freezer-extra-duetto-fdf-330-255-liters,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/3/3/330_1.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,255 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Washing Machine 09 Kgs Inverter Direct Drive G1-CG,Fresh Washing Machine 09 Kgs   G1-CG,23636,31100,24.000%,https://fresh.com.eg/en/product/fresh-washing-machine-09-kgs-inverter-direct-drive-g1-cg,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/9/_/9_kg_g1_cg_1_.jpg,Fresh,in_stock,home > laundry,Full Automatic Washing Machine,,09 kgs,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Refrigerator 471 Liters Inverter Flat Door - ST / FNT-LS580 YIT (FLD),Fresh Refrigerator 471 Liters  Flat Door,28495.3,36070,21.000%,https://fresh.com.eg/en/product/fresh-refrigerator-471-liters-inverter-flat-door-st-fnt-ls580-yit-fld,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/i/silver-ref-front_2.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,471 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
"Fresh Mini Bar Refrigerator FMB-70 S - 45 L, Silver",Fresh Mini Bar Refrigerator FMB-70 S,6730.8,8520,21.000%,https://fresh.com.eg/en/product/fresh-mini-bar-refrigerator-fmb-70-s-45-l-silver,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/_/1/_1_1_.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,45 l,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Upright Freezer Inverter FNU-LR270IBC - 6 Drawers Black,Fresh Upright Freezer  FNU-LR270IBC,24012.05,30395,21.000%,https://fresh.com.eg/en/product/fresh-upright-freezer-inverter-fnu-lr270ibc-6-drawers-black,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/5/d/5dr_black_2_1__1.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Refrigerator 397 Liters - Black Matt / FNT-BR470 BMB,Fresh Refrigerator 397 Liters,22436,28400,21.000%,https://fresh.com.eg/en/product/fresh-refrigerator-397-liters-black-matt-fnt-br470-bmb,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/r/br470bmb.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,397 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Refrigerator 329 Liters Flat Door - Stainless / FNT-BS370 KT (FLD),Fresh Refrigerator 329 Liters Flat Door,20306.96,25705.01,21.000%,https://fresh.com.eg/en/product/fresh-refrigerator-329-liters-flat-door-stainless-fnt-bs370-kt-fld,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/s/bs370kt_1.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,329 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Refrigerator 369 Liters Flat Door - Stainless / FNT-BS400 KT (FLD),Fresh Refrigerator 369 Liters Flat Door,21428.75,27125,21.000%,https://fresh.com.eg/en/product/fresh-refrigerator-369-liters-flat-door-stainless-fnt-bs400-kt-fld,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/s/bs370kt.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,369 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
Fresh Refrigerator 369 Liters Flat Door - Black Mirror / FNT-MS400 LBM (FLD),Fresh Refrigerator 369 Liters Flat Door,22100.25,27975,21.000%,https://fresh.com.eg/en/product/fresh-refrigerator-369-liters-flat-door-black-mirror-fnt-ms400-lbm-fld,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/k/bk-dig_1.jpg,Fresh,in_stock,home > appliances,Cooling Appliances,,369 liters,2026-06-13 13:04:24,Africa/Cairo,Fresh,,
