title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
PLAIN MOULDED SILICONE C - NS / Navy / JUNIOR,PLAIN MOULDED SILICONE C,799,,,https://eg.gosportme.com/products/100399393,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/SD100399393-Main.jpg?v=1745685279,Go Sport,in_stock,sports > accessories,Cap,,,2026-06-13 09:52:42,Africa/Cairo,Speedo,,
1.524M OLYMPIC STEEL BAR WITH 2 COLLARS - 150CM / Silver / UNISEX,1.524M OLYMPIC STEEL BAR WITH 2 COLLARS,4359,,,https://eg.gosportme.com/products/ls2271,https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2271_Main.jpg?v=1744809984,Go Sport,in_stock,sports > equipment,Weights,,,2026-06-13 09:52:42,Africa/Cairo,Liveup,,
1.83M OLYMPIC STEEL BAR WITH 2 COLLARS - 180CM / Silver / UNISEX,1.83M OLYMPIC STEEL BAR WITH 2 COLLARS,4199,,,https://eg.gosportme.com/products/ls2272,https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2272_Main.jpg?v=1744809984,Go Sport,in_stock,sports > equipment,Weights,,,2026-06-13 09:52:42,Africa/Cairo,Liveup,,
14 THREAED BAR WITH TWO STAR COLLARS (35CM) - 35CM / Silver / UNISEX,14 THREAED BAR WITH TWO STAR COLLARS (35CM),646,,,https://eg.gosportme.com/products/ls2201-35,https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2201-35_Main.jpg?v=1744809990,Go Sport,in_stock,sports > equipment,Weights,,2.2 kg,2026-06-13 09:52:42,Africa/Cairo,Liveup,,
15.8 THREAED BAR WITH TWO STAR COLLARS (40CM) - 40CM / Silver / UNISEX,15.8 THREAED BAR WITH TWO STAR COLLARS (40CM),819,,,https://eg.gosportme.com/products/ls2201-40,https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2201-40_Main.jpg?v=1744809990,Go Sport,in_stock,sports > equipment,Weights,,2.2 kg,2026-06-13 09:52:42,Africa/Cairo,Liveup,,
2 Pieces Arena Unisex Ear Plug - NS / White / UNISEX,2 Pieces Arena Unisex Ear Plug,649,,,https://eg.gosportme.com/products/000029126,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029126-1.jpg?v=1740483065,Go Sport,in_stock,sports > accessories,Ear plug,2 pieces,,2026-06-13 09:52:42,Africa/Cairo,Arena,,
2 Pieces Arena Unisex Ear Plug - NS / Blue / UNISEX,2 Pieces Arena Unisex Ear Plug,649,,,https://eg.gosportme.com/products/000029127,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029127-1.jpg?v=1740483068,Go Sport,in_stock,sports > accessories,Ear plug,2 pieces,,2026-06-13 09:52:42,Africa/Cairo,Arena,,
2 Pieces Arena Unisex Ear Plug - NS / Pink / UNISEX,2 Pieces Arena Unisex Ear Plug,649,,,https://eg.gosportme.com/products/000029129,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029129-1.jpg?v=1740483071,Go Sport,in_stock,sports > accessories,Ear plug,2 pieces,,2026-06-13 09:52:42,Africa/Cairo,Arena,,
2.2M OLYMPIC STEEL BAR WITH COLLORS - 220CM / Silver / UNISEX,2.2M OLYMPIC STEEL BAR WITH COLLORS,4599,,,https://eg.gosportme.com/products/ls2273,https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2273_Main.jpg?v=1744809983,Go Sport,in_stock,sports > equipment,Weights,,,2026-06-13 09:52:42,Africa/Cairo,Liveup,,
3-Stripes Rubber X3 Basketball - 7 / Orange / MEN,3-Stripes Rubber X3 Basketball,1799,,,https://eg.gosportme.com/products/hm4970,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/HM4970.jpg?v=1780326995,Go Sport,in_stock,sports > accessories,Balls,,,2026-06-13 09:52:42,Africa/Cairo,Adidas,,
3D Cooling Intensity T-Shirt - XS / White / WOMEN,3D Cooling Intensity T-Shirt,3999,,,https://eg.gosportme.com/products/jz5634,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/JZ5634.jpg?v=1780327095,Go Sport,out_of_stock,sports > apparel,T.shirts,,,2026-06-13 09:52:42,Africa/Cairo,Adidas,,
3D Cooling Intensity T-Shirt - XS / Black / WOMEN,3D Cooling Intensity T-Shirt,3999,,,https://eg.gosportme.com/products/jz5633,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/JZ5633.jpg?v=1780299124,Go Sport,out_of_stock,sports > apparel,T.shirts,,,2026-06-13 09:52:42,Africa/Cairo,Adidas,,
5VOLLEYSHORT - S / MultiColor / MEN,5VOLLEYSHORT,3189,3749,14.937%,https://eg.gosportme.com/products/nessf553-440,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/NESSF553-440-Main.jpg?v=1747219984,Go Sport,in_stock,sports > apparel,Swim short,,,2026-06-13 09:52:42,Africa/Cairo,Nike,,
Academy Portable - NS / Black / UNISEX,Academy Portable,974.35,1499,35.000%,https://eg.gosportme.com/products/7913501,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/07913501-1.webp?v=1760364333,Go Sport,in_stock,sports > accessories,Cross bag,,,2026-06-13 09:52:42,Africa/Cairo,Puma,,
adi365 Cheering Jacket - XS / Grey / WOMEN,adi365 Cheering Jacket,8999,,,https://eg.gosportme.com/products/ka0335,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/KA0335_61d14a48-c79d-4624-929f-94f89f49e389.jpg?v=1780327098,Go Sport,out_of_stock,sports > apparel,Jackets,,,2026-06-13 09:52:42,Africa/Cairo,Adidas,,
adi365 Cheering T-Shirt - S / White / MEN,adi365 Cheering T-Shirt,3399,,,https://eg.gosportme.com/products/ka0325,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/KA0325_579e0948-1a0a-4c1c-9f81-75efc34ae26e.jpg?v=1780327098,Go Sport,out_of_stock,sports > apparel,T.shirts,,,2026-06-13 09:52:42,Africa/Cairo,Adidas,,
