title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Red Bull White Peach Energy Drink,Red Bull White Peach Energy Drink,60,,,https://gourmetegypt.com/red-bull-white-peach-energy-drink,"https://gourmetegypt.com/media/catalog/product/r/e/red_bull_white_peach_energy_drink.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,grocery > beverages,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Red Bull,,
Baguette Parmigiano Bresaola,Baguette Parmigiano Bresaola,245,,,https://gourmetegypt.com/baguette-parmigiano-bresaola,"https://gourmetegypt.com/media/catalog/product/5/5/55.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Ritter Sport Gold Mini Chocolate,Ritter Sport Gold Mini Chocolate,300,,,https://gourmetegypt.com/ritter-sport-gold-mini-chocolate,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Ritter Sport,,
Brown Baguette Parmigiano Bresaola,Brown Baguette Parmigiano Bresaola,250,,,https://gourmetegypt.com/brown-baguette-parmigiano-bresaola,"https://gourmetegypt.com/media/catalog/product/7/0/7026556681831.png?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=&format=jpeg",Gourmet Egypt,,boxes,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Platinum Honey Manuka UMF™5+ MGO 83+,Platinum Honey Manuka UMF™5+ MGO 83+,1200,,,https://gourmetegypt.com/platinum-honey-manuka-umftm5-mgo-83,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Platinum Honey Manuka UMF™10+ MGO 263+,Platinum Honey Manuka UMF™10+ MGO 263+,2000,,,https://gourmetegypt.com/platinum-honey-manuka-umftm10-mgo-263,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Merba Creamy Cookies Chocolate Hazelnuts Flavor,Merba Creamy Cookies Chocolate Hazelnuts Flavor,155,,,https://gourmetegypt.com/merba-creamy-cookies-chocolate-hazelnuts-flavor,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,other brands,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,Merba,,
Playing Cards Deluxe,Playing Cards Deluxe,263,,,https://gourmetegypt.com/playing-cards-deluxe,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,games,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Oreo Corn Flakes,Oreo Corn Flakes,440,,,https://gourmetegypt.com/oreo-corn-flakes,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,breakfast cereals,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Almendro Turron Salted Caramel Sticks with Almond,El Almendro Turron Salted Caramel Sticks with Almond,180,,,https://gourmetegypt.com/el-almendro-turron-salted-caramel-sticks-with-almond,"https://gourmetegypt.com/media/catalog/product/8/4/8410223908984_1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
El Almendro Crunchy Almond Caramel Turron with Sesame Seeds Bar,El Almendro Crunchy Almond Caramel Turron with Sesame Seeds Bar,180,,,https://gourmetegypt.com/el-almendro-crunchy-almond-caramel-turron-with-sesame-seeds-bar,"https://gourmetegypt.com/media/catalog/product/8/4/8410223873015_1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Mazola Hot Sauce,Mazola Hot Sauce,140,,,https://gourmetegypt.com/mazola-hot-sauce,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,hot sauces,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
La Spiga Potato Croquettes,La Spiga Potato Croquettes,215,,,https://gourmetegypt.com/la-spiga-potato-croquettes,"https://gourmetegypt.com/media/catalog/product/6/3/638564873022.1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
La Spiga Rice Suppli,La Spiga Rice Suppli,215,,,https://gourmetegypt.com/la-spiga-rice-suppli,"https://gourmetegypt.com/media/catalog/product/6/2/6224002237347.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,grocery > food cupboard,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
La Spiga Gnocchi with Potato,La Spiga Gnocchi with Potato,125,,,https://gourmetegypt.com/la-spiga-gnocchi-with-potato,"https://gourmetegypt.com/media/catalog/product/6/2/6224002237316.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",Gourmet Egypt,,frozen pasta,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Heinz Pizza Sauce,Heinz Pizza Sauce,55,,,https://gourmetegypt.com/heinz-pizza-sauce,https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png,Gourmet Egypt,,pizza sauce,,,,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
