title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Ragab El-Attar Himalayan Salt - 1K,Ragab El-Attar Himalayan Salt,145,,,https://www.hyperone.com.eg/en/product/1-6224009547784,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547784-1k.jpg,Hyper One,in_stock,grocery > food cupboard,,,,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Black Seeds - 200g,Ragab El-Attar Black Seeds,100,,,https://www.hyperone.com.eg/en/product/200-6224009547739,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547739-200g.jpg,Hyper One,in_stock,grocery > food cupboard,,200 g,200 g,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Group of Natural Nourishing & Lengthening Hair Oils - 250ml,Ragab El-Attar Group of Natural Nourishing & Lengthening Hair Oils,319.998,,,https://www.hyperone.com.eg/en/product/250-6223004446054,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223004446054-250ml.jpg,Hyper One,in_stock,grocery > food cupboard,,250 ml,250 ml,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Group of Natural Anti-Fall Hair Oils - 250ml,Ragab El-Attar Group of Natural Anti-Fall Hair Oils,379.996,,,https://www.hyperone.com.eg/en/product/250-6223004446061,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223004446061-250ml.jpg,Hyper One,in_stock,grocery > food cupboard,,250 ml,250 ml,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Whole Oats - 500g,Ragab El-Attar Whole Oats,98,,,https://www.hyperone.com.eg/en/product/500-6224009547708,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547708-500g.jpg,Hyper One,in_stock,grocery > food cupboard,,500 g,500 g,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Kofta Spices - 100g,Ragab El-Attar Kofta Spices,75,,,https://www.hyperone.com.eg/en/product/100-6224009547258,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547258-100g.jpg,Hyper One,in_stock,grocery > food cupboard,,100 g,100 g,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Whole White Pepper - 100g,Ragab El-Attar Whole White Pepper,160,,,https://www.hyperone.com.eg/en/product/100-6224009547180,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547180-100g.jpg,Hyper One,in_stock,grocery > food cupboard,,100 g,100 g,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Whole Cumin - 100g,Ragab El-Attar Whole Cumin,80,,,https://www.hyperone.com.eg/en/product/100-6224009547142,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009547142-100g_1.jpg,Hyper One,in_stock,grocery > food cupboard,,100 g,100 g,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
AlKhatib Kabsa Rice Spices,AlKhatib Kabsa Rice Spices,560,,,https://www.hyperone.com.eg/en/product/2399119000000,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/f/i/file_22_1.png,Hyper One,in_stock,grocery > food cupboard,,,,2026-06-09 14:15:35 UTC,Africa/Cairo,,,
AlKhatib Cinnamon Oil,AlKhatib Cinnamon Oil,84.998,,,https://www.hyperone.com.eg/en/product/9611001110493,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/9/6/9611001110493.jpg,Hyper One,in_stock,grocery > food cupboard,,,,2026-06-09 14:15:35 UTC,Africa/Cairo,,,
Ragab El-Attar Mustard Oil - 30ml,Ragab El-Attar Mustard Oil,83.33,,,https://www.hyperone.com.eg/en/product/30-6223004445736,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223004445736-30ml_1_1.jpg,Hyper One,in_stock,grocery > food cupboard,,30 ml,30 ml,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Rose Oil -30ml,Ragab El-Attar Rose Oil,78.95,,,https://www.hyperone.com.eg/en/product/30-6223004445750,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224001059667-30ml_1.jpg,Hyper One,in_stock,grocery > food cupboard,,30 ml,30 ml,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
Ragab El-Attar Castor oil - 30ml,Ragab El-Attar Castor oil,61.4,,,https://www.hyperone.com.eg/en/product/30-6223004445811,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224001059438-30ml.jpg,Hyper One,in_stock,grocery > food cupboard,,30 ml,30 ml,2026-06-09 14:15:35 UTC,Africa/Cairo,Ragab El-attar,,
AlKhatib Spiced Bread Crumbs - By Weight,AlKhatib Spiced Bread Crumbs,139,,,https://www.hyperone.com.eg/en/product/2399805000000,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/2/3/2399805000000.jpg,Hyper One,in_stock,grocery > food cupboard,,,,2026-06-09 14:15:35 UTC,Africa/Cairo,,,
