title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Arena Spider Goggles,Arena Spider Goggles,1149,,,https://www.intersport.com.eg/products/3468336379141-arena-china-unisex-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468336379141a.jpg?v=1703003760,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
"Firefly Swimming Short For Men, Green Lime",Firefly Swimming Short For Men,569,1099,48.226%,https://www.intersport.com.eg/products/ins-302316-firefly-pink-women-china-36,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/7611312033650b_2__1_-removebg-preview.png?v=1715595995,INTERSPORT Egypt,in_stock,sports > swimming,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Firefly,,
Arena Spider Jr Goggles,Arena Spider Jr Goggles,1299,,,https://www.intersport.com.eg/products/3468336380246-arena-china-junior-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/92338173b.jpg?v=1703004456,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Pool Jr Set Kids,Arena Pool Jr Set Kids,1199,,,https://www.intersport.com.eg/products/ins-3468334661354-arena-silver-unisex-china-n-a,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468334661354a.jpg?v=1703004459,INTERSPORT Egypt,in_stock,sports > swimming,accessories,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Pool Set Goggles+Cap,Arena Pool Set Goggles+Cap,1399,,,https://www.intersport.com.eg/products/3468334661347-arena-china-unisex-google-cap,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9242255a.png?v=1703004467,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Tracks Mirror Goggles,Arena Tracks Mirror Goggles,1899,,,https://www.intersport.com.eg/products/3468335550176-arena-china-unisex-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9237034a.jpg?v=1703004474,INTERSPORT Egypt,in_stock,sports > swimming,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Tracks Goggles,Arena Tracks Goggles,1499,,,https://www.intersport.com.eg/products/3468335470573-arena-china-unisex-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9234195a.jpg?v=1703004502,INTERSPORT Egypt,in_stock,sports > swimming,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Tracks Unisex,Arena Tracks Unisex,1499,,,https://www.intersport.com.eg/products/ins-3468333251099-arena-white-unisex-china-n-a,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468333251099a.png?v=1703004512,INTERSPORT Egypt,in_stock,sports > swimming,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Spider Jr Goggles,Arena Spider Jr Goggles,1299,,,https://www.intersport.com.eg/products/3468333252263-arena-china-junior-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9233891a.jpg?v=1703004516,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Spider Jr Kids,Arena Spider Jr Kids,1299,,,https://www.intersport.com.eg/products/ins-3468333252287-arena-navy-unisex-china-n-a,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468333252287a.png?v=1703004525,INTERSPORT Egypt,in_stock,sports > swimming,accessories,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Spider Jr Goggles,Arena Spider Jr Goggles,1299,,,https://www.intersport.com.eg/products/3468333252270-arena-china-junior-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9233871a.jpg?v=1703004532,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Spider Jr Goggles,Arena Spider Jr Goggles,1299,,,https://www.intersport.com.eg/products/3468335550145-arena-china-junior-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9233854a.jpg?v=1703004539,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Spider Jr Kids,Spider Jr Kids,1299,,,https://www.intersport.com.eg/products/ins-3468335299280-arena-black-unisex-china-n-a,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468335299280a.jpg?v=1703004542,INTERSPORT Egypt,in_stock,sports > swimming,accessories,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
Arena Spider Jr Goggles,Arena Spider Jr Goggles,1299,,,https://www.intersport.com.eg/products/3468335137346-arena-china-junior-google,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9233814a.jpg?v=1703004557,INTERSPORT Egypt,in_stock,sports > swimming,goggles,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Arena,,
"Anta Casual Shoes For Men, Black & Blue",Anta Casual Shoes For Men,2784.50,5569,50.000%,https://www.intersport.com.eg/products/ins-81948856-black-brand-anta-china,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/6939cf06-0021-4ad0-b058-79df3b33326c.jpg?v=1705582118,INTERSPORT Egypt,in_stock,sports > footwear,footwear,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Anta,,
"Marika Lifestyle Rim Short For Women, Green & Black",Marika Lifestyle Rim Short For Women,399,1069,62.675%,https://www.intersport.com.eg/products/ins-gls0372a-green-marika-bangladesh-new,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/555.png?v=1703009487,INTERSPORT Egypt,in_stock,sports > general,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Marika,,
"Marika Lifestyle Rim Short For Women, Assorted Colors","Marika Lifestyle Rim Short For Women, Assorted Colors",399,1069,62.675%,https://www.intersport.com.eg/products/ins-gls0372a-black-marika-bangladesh-new,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/764204457786a-removebg-preview.png?v=1712047777,INTERSPORT Egypt,in_stock,sports > general,apparel,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Marika,,
"Anta Fitness Bermuda For Women, Cron Violet","Anta Fitness Bermuda For Women, Cron Violet",867.60,2169,60.000%,https://www.intersport.com.eg/products/ins-86947793-brown-anta-china-new,https://cdn.shopify.com/s/files/1/0676/9613/2316/products/86947793-3.png?v=1703011064,INTERSPORT Egypt,in_stock,sports > fitness,clothing,,2.00 kg,2026-06-13 16:09:54,Africa/Cairo,Anta,,
