title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Zhiyun Smooth 5E Combo Phone Gimbal Stabilizer,Zhiyun Smooth 5E Combo Phone Gimbal Stabilizer,5899,,,https://kimostore.net/products/zhiyun-smooth-5e-combo-phone-gimbal-stabilizer,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/ZhiyunSmooth5EComboPhoneGimbalStabilizer_10.jpg?v=1781190436,Kimo Store,in_stock,electronics > accessories,PHOTO & VIDEO ACCESSORIES,,2.4G,2026-06-13 10:08:55,Africa/Cairo,ZHIYUN,,
Teamgroup T-FORCE DELTA RGB RAM 32GB DDR5 6000MHz - Black,Teamgroup T-FORCE DELTA RGB RAM 32GB DDR5 6000MHz - Black,23000,,,https://kimostore.net/products/teamgroup-t-force-delta-rgb-ram-32gb-ddr5-6400mhz-black,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/TeamgroupT-FORCEDELTARGBRAM32GBDDR56000MHz-Black_1_404e44a6-b068-41aa-962b-5eb4eac20b5d.jpg?v=1780317847,Kimo Store,in_stock,electronics > computer > components,RAM,,32G,2026-06-13 10:08:55,Africa/Cairo,TEAMGROUP,32GB,
AeroCool P500C Evo ARGB Gaming Mid Tower Case - White,AeroCool P500C Evo ARGB Gaming Mid Tower Case - White,5999,,,https://kimostore.net/products/aerocool-p500c-evo-argb-gaming-mid-tower-case-white,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/AeroCoolP500CEvoARGBGamingMidTowerCase-White_5.jpg?v=1777200132,Kimo Store,in_stock,electronics > computer > components,COMPUTER CASE,,120mm,2026-06-13 10:08:55,Africa/Cairo,AEROCOOL,,
Stainless Rotation Security Camera Bracket L-Shape (60cm),Stainless Rotation Security Camera Bracket L-Shape (60cm),195,,,https://kimostore.net/products/stainless-rotation-security-camera-bracket-l-shape-60cm,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/StainlessRotationSecurityCameraBracketL-Shape_60cm_2.jpg?v=1771332830,Kimo Store,in_stock,electronics > security,STAND CAMERA,,60cm,2026-06-13 10:08:55,Africa/Cairo,GENERIC,,
VGR Straightener Brush V-592,VGR Straightener Brush V-592,649,,,https://kimostore.net/products/vgr-straightener-brush-v-592,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/VGRStraightenerBrushV-592_7.jpg?v=1766056511,Kimo Store,out_of_stock,personal care > hair care,STRAIGHT BRUSHES,,,2026-06-13 10:08:55,Africa/Cairo,VGR,,
Golon RX-M70BT Portable Radio Speaker 1.0 - Black,Golon RX-M70BT Portable Radio Speaker 1.0 - Black,522,650,19.692%,https://kimostore.net/products/golon-rx-m70bt-portable-radio-speaker-1-0,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/GolonRX-M70BTPortableRadioSpeaker1.0-Black_3_307a7a85-77c5-47f9-9552-35249c5c112b.jpg?v=1776254380,Kimo Store,in_stock,electronics > audio,PORTABLE SPEAKER,,,2026-06-13 10:08:55,Africa/Cairo,GOLON,,
Dell Latitude 7410 Laptop (Intel Core i5-10310U - 16GB DDR4 - M.2 256GB - Intel UHD Graphics - 14.0 Inch FHD - Cam) Original Used,Dell Latitude 7410 Laptop (Intel Core i5-10310U - 16GB DDR4 - M.2 256GB - Intel UHD Graphics - 14.0 Inch FHD - Cam) Original Used,13600,,,https://kimostore.net/products/dell-latitude-7410-laptop-intel-core-i5-10310u-16gb-ddr4-m-2-256gb-intel-uhd-graphics-14-0-inch-fhd-cam-original-used,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/DellLatitude7410Laptop_IntelCorei5-10310U-16GBDDR4-M.2256GB-IntelUHDGraphics-14.0InchFHD-Cam_OriginalUsed_1.png?v=1732624146,Kimo Store,in_stock,electronics > computer > laptops,USED LAPTOP,,1.70G,2026-06-13 10:08:55,Africa/Cairo,DELL,16GB,
Fresh Wall Fan Brilliant 16 Inch,Fresh Wall Fan Brilliant 16 Inch,1422,,,https://kimostore.net/products/fresh-wall-fan-brilliant-16-inch,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/FreshWallFanBrilliant16Inch_2_2bd2dd25-d1e2-4506-8fb3-bab884861751.jpg?v=1777819073,Kimo Store,in_stock,home > appliances,FANS,,16 Inch,2026-06-13 10:08:55,Africa/Cairo,FRESH,,
General TL-4 Kit Softbox With 4 Lamp Holder,General TL-4 Kit Softbox With 4 Lamp Holder,1595,1700,6.176%,https://kimostore.net/products/general-tl-4-kit-softbox-with-4-lamp-holder,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/GeneralTL-4KitSoftboxWith4LampHolder.jpg?v=1781190011,Kimo Store,in_stock,electronics > accessories,PHOTO & VIDEO ACCESSORIES,,70cm,2026-06-13 10:08:55,Africa/Cairo,GENERAL,,
Zero HDMI Splitter To 4 HDMI,Zero HDMI Splitter To 4 HDMI,350,,,https://kimostore.net/products/zero-hdmi-splitter-to-4-hdmi,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/ZeroHDMISplitterTo4HDMI.jpg?v=1781187801,Kimo Store,in_stock,electronics > computer > monitors,MONITOR SPLITTER,,23mm,2026-06-13 10:08:55,Africa/Cairo,ZERO,,
