title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
18H HD Matte Powder Found 020N,18H HD Matte Powder Found 020N,490.5,545,10,https://mazaya.eg/en/18h-hd-matte-powder-found-020n,https://www.mazaya.eg/media/catalog/product/4/0/4059729393784_image_front_view_half_open.png?store=en&image-type=image,Mazaya,out_of_stock,beauty > makeup,Express pickup,,,2026-06-12T23:47:37.206Z,Africa/Cairo,CATRICE,,
1Million ELIXIR PARF INTENSE 200ML,1Million ELIXIR PARF INTENSE,8000,,,https://mazaya.eg/en/1million-elixir-parf-intense-200ml,https://www.mazaya.eg/media/catalog/product/3/3/3349668600298.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,200 ML,200ML,2026-06-12T23:47:36.453Z,Africa/Cairo,PACO RABANNE,,
2 in 1 base & top coat,2 in 1 base & top coat,180,200,10,https://mazaya.eg/en/2-in-1-base-top-coat,https://www.mazaya.eg/media/catalog/product/4/0/4059729466877_image_front_view_closed.png?store=en&image-type=image,Mazaya,in_stock,beauty > makeup,Express pickup,,,2026-06-12T23:47:36.876Z,Africa/Cairo,Essence,,
20H Ultra Gel Eye Pencil WP 110,20H Ultra Gel Eye Pencil WP 110,234,260,10,https://mazaya.eg/en/20h-ultra-gel-eye-pencil-wp-110,https://www.mazaya.eg/media/catalog/product/4/0/4059729444370_image_front_view_full_open.png?store=en&image-type=image,Mazaya,in_stock,beauty > makeup,Express pickup,,,2026-06-12T23:47:37.206Z,Africa/Cairo,CATRICE,,
212 VIP BLACK EDP LE 24 100ML,212 VIP EDP LE 24,6900,,,https://mazaya.eg/en/212-vip-black-edp-le-24-100ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061093818-.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,100 ML,100ML,2026-06-12T23:47:36.210Z,Africa/Cairo,CAROLINA HERRERA,,
212 VIP MAN 200ML EDT,212 VIP MAN EDT,6000,,,https://mazaya.eg/en/212-vip-man-200ml-edt,https://www.mazaya.eg/media/catalog/product/8/4/8411061782347-.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,200 ML,200ML,2026-06-12T23:47:36.211Z,Africa/Cairo,CAROLINA HERRERA,,
212 VIP MEN BLACK EDP-100 ML,212 VIP MEN EDP-,7800,,,https://mazaya.eg/en/212-vip-men-black-edp-100-ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,100 ML,100 ML,2026-06-12T23:47:37.012Z,Africa/Cairo,CAROLINA HERRERA,,
212 VIP MEN BLACK EDP-50 ML,212 VIP MEN EDP-,5900,,,https://mazaya.eg/en/212-vip-men-black-edp-50-ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,50 ML,50 ML,2026-06-12T23:47:37.012Z,Africa/Cairo,CAROLINA HERRERA,,
212 VIP MEN EDT 100ML REPACK,212 VIP MEN EDT REPACK,5300,,,https://mazaya.eg/en/212-vip-men-edt-100ml-repack,https://www.mazaya.eg/media/catalog/product/8/4/8411061723760.jpeg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,100 ML,100ML,2026-06-12T23:47:36.453Z,Africa/Cairo,CAROLINA HERRERA,,
212 VIP ROSE 125ML,212 VIP,8900,,,https://mazaya.eg/en/212-vip-rose-125ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061838778_1.jpg,Mazaya,out_of_stock,beauty > fragrances,Express pickup,125 ML,125ML,2026-06-12T23:47:35.591Z,Africa/Cairo,CAROLINA HERRERA,,
