title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
"Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine - red","Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine",4699,4999,6.001%,https://meercato.com/en/alsherif-premium-dinner-set-38-pieces-for-6-persons-round-100-melamine-red.html,https://meercato.com/media/catalog/product/6/2/6221189787382_1_2_.webp,Meercato,in_stock,home > tableware,dinner-sets,38 pcs,13.37 kg,2026-06-13 10:32:05,Africa/Cairo,Alsherif Melamine,,
"Cleaning Mop Set with Bucket High Quality, Steel with Plastic - Light Grey","Cleaning Mop Set with Bucket High Quality, Steel with Plastic",1299,1649,21.225%,https://meercato.com/en/cleaning-mob-set-with-bucket-high-quality-steel-with-plastic-light-grey.html,https://meercato.com/media/catalog/product/1/8/1800110000518_1_.webp,Meercato,out_of_stock,home > homeware,bathroom,,2.11 kg,2026-06-13 10:32:06,Africa/Cairo,,,
"Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine - Mix blue","Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine - Mix blue",4699,4999,6.001%,https://meercato.com/en/alsherif-premium-dinner-set-38-pieces-for-6-persons-round-100-melamine-mix-blue.html,https://meercato.com/media/catalog/product/6/2/6221189795615_1_.webp,Meercato,in_stock,home > tableware,dinner-sets,38 pcs,12.41 kg,2026-06-13 10:32:06,Africa/Cairo,Alsherif Melamine,,
"Golden Decoration Arabic Coffee Set, 6 Pieces, Porcelain, White - Gold","Golden Decoration Arabic Coffee Set, 6 Pieces, Porcelain, White",669,749,10.681%,https://meercato.com/en/golden-decoration-arabic-coffee-set-6-pieces-porcelain-white-gold.html,https://meercato.com/media/catalog/product/6/2/6222058512517_2_copy.webp,Meercato,out_of_stock,home > drinkware,sets,6 pcs,0.57 kg,2026-06-13 10:32:06,Africa/Cairo,Rosa,,
"Zinnia Pyramid Double Wall Glass Mug Set, 2 Pieces, 260Ml,  Borosilicate Glass - Transparent","Zinnia Pyramid Double Wall Glass Mug Set, 2 Pieces, 260Ml,  Borosilicate Glass",299,,,https://meercato.com/en/zinnia-pyramid-double-wall-glass-mug-set-2-pieces-260ml-borosilicate-glass-transparent.html,https://meercato.com/media/catalog/product/6/2/6220196000064_1_.webp,Meercato,in_stock,home > drinkware,double-wall,2 pcs,0.34 kg,2026-06-13 10:32:06,Africa/Cairo,Zinnia,,
"Strainer Set, 5 Pieces, Stainless Steel, Round Shape - Silver","Strainer Set, 5 Pieces, Stainless Steel, Round Shape",599,749,20.027%,https://meercato.com/en/strainer-set-5-pieces-stainless-steel-round-shape-silver.html,https://meercato.com/media/catalog/product/1/5/1500510000221_pt_1_.webp,Meercato,out_of_stock,home > kitchen-tools,food-preparation,5 pcs,1.025 kg,2026-06-13 10:32:06,Africa/Cairo,,,
Cleaning Mop Set with Bucket High Quality Plastic with Wheels - Grey with Orange Handle,Cleaning Mop Set with Bucket High Quality Plastic with Wheels - Grey with Orange Handle,1399,1699,17.657%,https://meercato.com/en/cleaning-mob-set-with-bucket-high-quality-plastic-with-wheels-grey-with-orange-handle.html,https://meercato.com/media/catalog/product/1/8/1800110000519.webp,Meercato,out_of_stock,home > homeware,bathroom,,3.67 kg,2026-06-13 10:32:06,Africa/Cairo,,,
"Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body - Olive","Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body",149,219,31.963%,https://meercato.com/en/free-cook-grater-with-storage-box-and-handle-stainless-steel-with-plastic-body-olive.html,https://meercato.com/media/catalog/product/1/5/1500110000810_2_.webp,Meercato,out_of_stock,home > kitchen-tools,food-preparation,,0.08 kg,2026-06-13 10:32:06,Africa/Cairo,Free Cook,,
"Manual Vegetable Chopper, Plastic with Stainless Steel Blades, Grey","Manual Vegetable Chopper, Plastic with Stainless Steel Blades, Grey",649,749,13.351%,https://meercato.com/en/manual-vegetable-chopper-plastic-with-stainless-steel-blades-blue.html,https://meercato.com/media/catalog/product/6/9/6987549487339-pt_2.webp,Meercato,out_of_stock,home > kitchen-tools,food-preparation,,0.6 kg,2026-06-13 10:32:06,Africa/Cairo,,,
"Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body - Grey","Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body",149,219,31.963%,https://meercato.com/en/free-cook-grater-with-storage-box-and-handle-stainless-steel-with-plastic-body-grey.html,https://meercato.com/media/catalog/product/1/5/1500110000809_2_.webp,Meercato,out_of_stock,home > kitchen-tools,food-preparation,,1.08 kg,2026-06-13 10:32:07,Africa/Cairo,Free Cook,,
