title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Imported Apricot -1Kg,Imported Apricot,149.99,,,https://www.metro-markets.com/product/p/1,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Imported Peaches-1Kg,Imported Peaches,430.5,,,https://www.metro-markets.com/product/p/2,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Samany Yellow Dates 1Kg,Samany Yellow Dates,42,,,https://www.metro-markets.com/product/p/3,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Esperio Grape -1Kg,Esperio Grape,79.99,89.99,11.1%,https://www.metro-markets.com/product/p/5,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Fresh Cantaloupe - 1kg,Fresh Cantaloupe,23.99,,,https://www.metro-markets.com/product/p/6,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Royal Gala Red Apples - 1kg,Royal Gala Red Apples,148.99,,,https://www.metro-markets.com/product/p/7,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Fresh Strawberry Pack - 1Kg,Fresh Strawberry Pack,127.99,,,https://www.metro-markets.com/product/p/8,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 pcs,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Imported Nectarine - 1Kg,Imported Nectarine,409.99,,,https://www.metro-markets.com/product/p/9,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Santa Rose Plum - 1Kg,Santa Rose Plum,139.99,,,https://www.metro-markets.com/product/p/10,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Imported Pineapple - 1kg,Imported Pineapple,53.5,,,https://www.metro-markets.com/product/p/11,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Fresh Grape Red Local -1Kg,Fresh Grape Red Local,79.99,89.99,11.1%,https://www.metro-markets.com/product/p/12,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Yellow Grapefruit - 1Kg,Yellow Grapefruit,43.99,,,https://www.metro-markets.com/product/p/16,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
Fresh Mango Golak -1Kg,Fresh Mango Golak,89.99,,,https://www.metro-markets.com/product/p/18,,Metro Markets,,grocery > fresh food,weighted /Pcs.,1 kg,1 kg,2026-06-12T02:07:32+03:00,Africa/Cairo,,,
