title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
China -Fine-Art Charcoal Pencil Soft Cpcl03 / S,China -Fine-Art Charcoal Pencil Soft Cpcl03 / S,30.0,,,https://samirandaly.com/en/26014280103.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/2/6/26014280103_5.jpg,Samir & Aly,in_stock,art & craft > shop by category,Art Supplies,,,2026-06-13 05:35:47,Africa/Cairo,China-Fine-Arts,,
Jovi Twist Face Paint Green,Jovi Twist Face Paint Green,57.0,,,https://samirandaly.com/en/00920120859.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/00920120859.jpeg,Samir & Aly,in_stock,art & craft,,,,2026-06-13 05:35:50,Africa/Cairo,Jovi,,
Jovi Plastic Clay Letters Bag No. 7A,Jovi Plastic Clay Letters Bag No. 7A,263.0,,,https://samirandaly.com/en/00920508008.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/00920508008-1.jpg,Samir & Aly,in_stock,other > shop by category,Play Dough,,,2026-06-13 05:35:53,Africa/Cairo,Jovi,,
Jovi Plastic Clay Fruits Bag No. 7F,Jovi Plastic Clay Fruits Bag No. 7F,252.0,,,https://samirandaly.com/en/00920508012.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/8/4/8412027029278-1.jpg,Samir & Aly,in_stock,other > shop by category,Play Dough,,,2026-06-13 05:35:56,Africa/Cairo,Jovi,,
Jovi Plastic Clay Numbers Bag No. 7N,Jovi Plastic Clay Numbers Bag No. 7N,252.0,,,https://samirandaly.com/en/00920508013.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/8/4/8412027024303-1_1.jpg,Samir & Aly,in_stock,other > shop by category,Play Dough,,,2026-06-13 05:35:58,Africa/Cairo,Jovi,,
قلم رصاص0.7 روترينج رقم 800 فضى SO 1904448,قلم رصاص0.7 روترينج رقم 800 فضى SO 1904448,3500.0,,,https://samirandaly.com/ar/0011904448.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904448_2.jpg,Samir & Aly,in_stock,other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645,\u0623\u0642\u0644\u0627\u0645 \u0648\u0623\u0642\u0644\u0627\u0645 \u0631\u0635\u0627\u0635 \u0648\u0644\u0648\u0627\u0632\u0645 \u0643\u062a\u0627\u0628\u0629,,,2026-06-13 05:42:51,Africa/Cairo,ROTRING,,
قلم تيكي جرب 0.7مم ابيض رقم 1904506,قلم تيكي جرب 0.7مم ابيض رقم 1904506,199.0,,,https://samirandaly.com/ar/0011904506.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904506_8.jpg,Samir & Aly,in_stock,other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645,\u0623\u0642\u0644\u0627\u0645 \u0648\u0623\u0642\u0644\u0627\u0645 \u0631\u0635\u0627\u0635 \u0648\u0644\u0648\u0627\u0632\u0645 \u0643\u062a\u0627\u0628\u0629,,,2026-06-13 05:42:52,Africa/Cairo,ROTRING,,
قلم تيكي جرب 0.7مم احمر رقم 1904507,قلم تيكي جرب 0.7مم احمر رقم 1904507,199.0,,,https://samirandaly.com/ar/0011904507.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904507_2.jpg,Samir & Aly,in_stock,other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645,\u0623\u0642\u0644\u0627\u0645 \u0648\u0623\u0642\u0644\u0627\u0645 \u0631\u0635\u0627\u0635 \u0648\u0644\u0648\u0627\u0632\u0645 \u0643\u062a\u0627\u0628\u0629,,,2026-06-13 05:42:51,Africa/Cairo,ROTRING,,
قلم تيكي جرب 0.7مم Blue رقم 1904508,قلم تيكي جرب 0.7مم Blue رقم 1904508,199.0,,,https://samirandaly.com/ar/0011904508.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904508_15.jpg,Samir & Aly,in_stock,other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645,\u0623\u0642\u0644\u0627\u0645 \u0648\u0623\u0642\u0644\u0627\u0645 \u0631\u0635\u0627\u0635 \u0648\u0644\u0648\u0627\u0632\u0645 \u0643\u062a\u0627\u0628\u0629,,,2026-06-13 05:42:51,Africa/Cairo,ROTRING,,
قلم تيكي جرب 0.35 مم أسود رقم SO1904694,قلم تيكي جرب 0.35 مم أسود رقم SO1904694,199.0,,,https://samirandaly.com/ar/0011904694.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904694_2.jpg,Samir & Aly,in_stock,other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645,\u0623\u0642\u0644\u0627\u0645 \u0627\u0644\u0631\u0635\u0627\u0635 \u0645\u064a\u0643\u0627\u0646\u064a\u0643\u064a\u0629,,,2026-06-13 05:42:50,Africa/Cairo,ROTRING,,
