title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
"ASUS Dual GeForce RTX 5060 8GB GDDR7, 3840 CUDA cores, 2497MHz boost clock, 8GB 28Gbps GDDR7, PCIe 5.0, 1x HDMI 2.1b, 3x DP 2.1b",ASUS Dual GeForce RTX 5060 8GB GDDR7,,,,https://sigma-computer.com/en/item?id=asus-dual-geforce-rtx-5060-8gb-gddr7-3840-cuda-cores-2497mhz-boost-clock-8gb-28gbps-gddr7-pcie-50-1x-hdmi-21b-3x-dp-21b-bkdctlobeula,http://api.sigma-computer.com/media/df5b6198-c9b3-4d32-8801-a896c15574d1,Sigma Computer,,electronics > graphics cards,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,ASUS,28GB,8GB
"Samsung Odyssey G7 G70D 32"" – 4K IPS, 144Hz, 1ms, HDR400, FreeSync & G-Sync, HDMI 2.1, Tizen OS, Built-in Speakers","Samsung Odyssey G7 G70D 32"" – 4K IPS",27999,,,https://sigma-computer.com/en/item?id=samsung-odyssey-g7-g70d-32-4k-ips-144hz-1ms-hdr400-freesync-g-sync-hdmi-21-tizen-os-built-in-speakers-nphnekluhith,http://api.sigma-computer.com/media/833f6af5-1d0a-4630-bdf4-f7ecdb61d0a4,Sigma Computer,,electronics > monitors,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Samsung,,
"Samsung LS24D300GAMXUE – 24-INCH FHD IPS, 100Hz, 5ms, 250cd/m², 1000: 1 contrast, HDMI & D-Sub, Flicker-Free, Eye Saver Mode, VESA mount 100x100.",Samsung LS24D300GAMXUE – 24-INCH FHD IPS,4699,,,https://sigma-computer.com/en/item?id=samsung-ls24d300gamxue-24-inch-fhd-ips-100hz-5ms-250cdm2-10001-contrast-hdmi-d-sub-flicker-free-eye-saver-mode-vesa-mount-100x100-ioqp2dwi6ihn,unknown,Sigma Computer,,electronics > monitors,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Samsung,,
"Samsung LS27D300GAMXUE 27"" IPS FHD 100Hz monitor, 5ms GTG, 250 cd/m² brightness, 1x HDMI, 1x VGA, Eye Saver Mode, Flicker Free, 25W power.","Samsung LS27D300GAMXUE 27"" IPS FHD 100Hz monitor",5399,,,https://sigma-computer.com/en/item?id=samsung-ls27d300gamxue-27-ips-fhd-100hz-monitor-5ms-gtg-250-cdm2-brightness-1x-hdmi-1x-vga-eye-saver-mode-flicker-free-25w-power-ic1c8o8hzq10,unknown,Sigma Computer,,electronics > monitors,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Samsung,,
PNY CS2230 1TB M.2 NVMe SSD PCIe Gen3 x4 up to 3 300 MB s read 2 600 MB s write 3D NAND compact 2280 form factor,PNY CS2230 1TB M.2 NVMe SSD PCIe Gen3 x4 up to 3 300 MB s read 2 600 MB s write 3D NAND compact 2280 form factor,,,,https://sigma-computer.com/en/item?id=pny-cs2230-1tb-m2-nvme-ssd-pcie-gen3-x4-up-to-3-300-mb-s-read-2-600-mb-s-write-3d-nand-compact-2280-form-factor-xmbbp9upa9nf,http://api.sigma-computer.com/media/f60fd465-7f0d-49d4-8dc9-83a2853376c0,Sigma Computer,,electronics > storage,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,PNY,,1024GB NVMe SSD
Lenovo LOQ 15IRX10 83JE00DAED Intel Core i7-14700HX - NVIDIA RTX 5050 8GB - 24GB DDR5-4800MHz - 512GB SSD M.2 - 15.6-Inch FHD IPS 144Hz 100 sRGB - Windows 11,Lenovo LOQ 15IRX10 83JE00DAED Intel Core i7-14700HX,64499,,,https://sigma-computer.com/en/item?id=lenovo-loq-15irx10-83je00daed-intel-core-i7-14700hx-nvidia-rtx-5050-8gb-24gb-ddr5-4800mhz-156-inch-fhd-ips-144hz-100-srgb-windows-11-zn5beiftg7st,unknown,Sigma Computer,,electronics > laptops,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Lenovo,24GB,512GB SSD
ASUS TUF Gaming VG27AQL5A 27-inch QHD 210Hz Fast IPS Gaming Monitor,ASUS TUF Gaming VG27AQL5A 27-inch QHD 210Hz Fast IPS Gaming Monitor,,,,https://sigma-computer.com/en/item?id=asus-tuf-gaming-vg27aql5a-27-inch-qhd-210hz-fast-ips-gaming-monitor-ilptfktyqtv9,http://api.sigma-computer.com/media/df5b6198-c9b3-4d32-8801-a896c15574d1,Sigma Computer,,electronics > monitors,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,ASUS,,
GIGABYTE B550M DS3H AC R2,GIGABYTE B550M DS3H AC R2,,,,https://sigma-computer.com/en/item?id=gigabyte-b550m-ds3h-ac-r2-njlxeuviac21,http://api.sigma-computer.com/media/ccf3064b-c810-4c28-972a-2d559f83f24f,Sigma Computer,,amd motherboard,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Gigabyte,,
Gigabyte Radeon RX 9070 GAMING OC 16G,Gigabyte Radeon RX 9070 GAMING OC,36500,,,https://sigma-computer.com/en/item?id=gigabyte-radeon-rx-9070-gaming-oc-16g-mth8yfhac1vr,http://api.sigma-computer.com/media/ccf3064b-c810-4c28-972a-2d559f83f24f,Sigma Computer,,amd radeon,,16 g,16 g,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Gigabyte,,
DEEPCOOL MATREXX 55 MESH ADD-RGB 4F PC CASE with AEROCOOL LUX 550W Power Supply Unit 80 Plus Bronze,DEEPCOOL MATREXX 55 MESH ADD-RGB 4F PC CASE with AEROCOOL LUX 550W Power Supply Unit 80 Plus Bronze,,,,https://sigma-computer.com/en/item?id=deepcool-matrexx-55-mesh-add-rgb-4f-pc-case-with-aerocool-lux-550w-power-supply-unit-80-plus-bronze-zvcvuqacvwga,unknown,Sigma Computer,,mini tower,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Deepcool,,
"LENOVO LOQ 15AHP10 83JG0095ED - AMD Ryzen™ 7 250 - NVIDIA® GeForce RTX™ 5060 8GB - 16GB SO-DIMM DDR5-5600 - 512GB SSD M.2 - 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz.",LENOVO LOQ 15AHP10 83JG0095ED,,,,https://sigma-computer.com/en/item?id=lenovo-loq-15ahp10-83jg0095ed-amd-ryzen-7-250-nvidia-geforce-rtx-5060-8gb-16gb-so-dimm-ddr5-5600-512gb-ssd-m2-156-fhd-1920x1080-ips-300nits-anti-glare-100-srgb-144hz-dyiuxv0lfsay,http://api.sigma-computer.com/media/460899a2-1458-4b81-8e28-0f255f44eef6,Sigma Computer,,electronics > laptops,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Lenovo,16GB,512GB SSD
Ocypus Gamma C50 Black – PSU P650 ( 80+ white ) – 4 Fans ARGB,Ocypus Gamma C50 Black,,,,https://sigma-computer.com/en/item?id=ocypus-gamma-c50-black-argb-psu-p650-80-white-4-fans-jmygl58toy9c,http://api.sigma-computer.com/media/5191e076-c534-4cd0-82eb-1468038eb0fd,Sigma Computer,,mini tower,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Ocypus,,
"LENOVO LOQ 15IRX10 83JE010JED - Intel Core i7-13700HX - NVIDIA GeForce RTX 5060 8GB - 16GB DDR5-4800 - 512GB SSD M.2 - 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz.",LENOVO LOQ 15IRX10 83JE010JED,,,,https://sigma-computer.com/en/item?id=lenovo-loq-15irx10-83je010jed-intel-core-i7-13700hx-nvidia-geforce-rtx-5060-8gb-16gb-ddr5-4800-512gb-ssd-m2-156-fhd-1920x1080-ips-300nits-anti-glare-100-srgb-144hz-4ponmkpaxn5s,http://api.sigma-computer.com/media/460899a2-1458-4b81-8e28-0f255f44eef6,Sigma Computer,,electronics > laptops,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Lenovo,16GB,512GB SSD
"LENOVO IdeaPad Slim 315IRH10 83K100QPED - Intel® Core i5-13420H - Intel UHD Graphics - 16GB DDR5 4800 ( 8GB Soldered + 8GB SODIMM ) - 512GB SSD M.2 - 15.3"" WUXGA (1920x1200) IPS 300nits Anti-glare 45% NTSC 60Hz.",LENOVO IdeaPad Slim 315IRH10 83K100QPED,,,,https://sigma-computer.com/en/item?id=lenovo-ideapad-slim-315irh10-83k100qped-intel-core-i5-13420h-intel-uhd-graphics-16gb-ddr5-4800-8gb-soldered-8gb-sodimm-512gb-ssd-m2-153-wuxga-1920x1200-ips-300nits-anti-glare-45-ntsc-60hz-zgoeoajcssxl,http://api.sigma-computer.com/media/460899a2-1458-4b81-8e28-0f255f44eef6,Sigma Computer,,electronics > laptops,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Lenovo,16GB,512GB SSD
Ocypus Iota L36 White 360MM AIO Liquid Cooler With Dot-Matrix Digital Display,Ocypus Iota L36 White 360MM AIO Liquid Cooler With Dot-Matrix Digital Display,4399,,,https://sigma-computer.com/en/item?id=ocypus-iota-l36-white-360mm-aio-liquid-cooler-with-dot-matrix-digital-display-i2zb7z7xr9vj,http://api.sigma-computer.com/media/5191e076-c534-4cd0-82eb-1468038eb0fd,Sigma Computer,,liquid cooler,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Ocypus,,
VIEWSONIC 27'' VX27G1-2K VS20543 (QHD-IPS-180Hz-2560x1440),VIEWSONIC 27'' VX27G1-2K VS20543 (QHD-IPS-180Hz-2560x1440),9199,9399,2,https://sigma-computer.com/en/item?id=viewsonic-27-vx27g1-2k-vs20543-qhd-ips-180hz-2560x1440-it1l9y6aamjl,http://api.sigma-computer.com/media/ad4b5f11-5122-4a8d-8010-02813f9a08c2,Sigma Computer,,electronics > monitors,,,,2026-06-11T23:45:46 GMT+3,Africa/Cairo,Viewsonic,,
