title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
Raspberry Roll On Deodorant,Raspberry Roll On Deodorant,45.99,,,https://thebeautysecrets.com/products/raspberry-roll-on-deodorant,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/0fe0c80b-c6f6-4c08-97e2-4110cd8a2ba2-thumbnail-500x500.webpv1776856310,The Beauty Secrets,in_stock,beauty > gift sets,gift sets,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Beach Club Body Spray,Beach Club Body Spray,59.0,,,https://thebeautysecrets.com/products/beach-club-body-spray-2,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/30fff7a2-5a80-4c2f-baa9-ddf226e1ac26-thumbnail-500x500.jpgv1776779703,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Ciao Body Spray,Ciao Body Spray,59.0,,,https://thebeautysecrets.com/products/ciao-body-spray-1,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/f5d25672-322b-442f-a289-f0c54632164f-thumbnail-500x500.webpv1776779138,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Summer Time Body,Summer Time Body,59.0,,,https://thebeautysecrets.com/products/summer-time-body,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/fd82f659-62c6-472e-abb8-09dc36bbda5a-thumbnail-500x500.webpv1776779138,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Aloha Body Spray,Aloha Body Spray,59.0,,,https://thebeautysecrets.com/products/aloha-body-spray-1,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/b6c97077-d5a6-46b7-83eb-e96b099348f0-thumbnail-500x500.jpgv1776779701,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Spritz Body Spray,Spritz Body Spray,59.0,,,https://thebeautysecrets.com/products/spritz-body-spray-1,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/8bca0565-6933-44d6-a762-0ed2d113bd05-thumbnail-500x500.webpv1776779138,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
XO Body Spray,XO Body Spray,59.0,,,https://thebeautysecrets.com/products/xo-body-spray-1,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/fa759f5b-5ac7-4761-bf51-fd190468862f-thumbnail-500x500.webpv1776779138,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Leather EDP 50ml,Leather EDP 50ml,19.99,59.99,66.678,https://thebeautysecrets.com/products/leather-edp-50ml,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/517201b7-9fd1-4052-a8ad-74d88a83323f-thumbnail-500x500.png,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,50 ml,50 ml,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Bergamot EDP 50ml,Bergamot EDP 50ml,19.99,59.99,66.678,https://thebeautysecrets.com/products/bergamot-edp-50ml,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/f695d334-d4a9-40e3-a9d4-a703a27d9068-thumbnail-500x500.png,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,50 ml,50 ml,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Lustra Perfume,Lustra Perfume,69.99,,,https://thebeautysecrets.com/products/lustra-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/267dba7e-b2eb-4dfe-9cd4-99e3a4155653-thumbnail-500x500.webpv1776174167,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Umbra Perfume,Umbra Perfume,69.99,,,https://thebeautysecrets.com/products/umbra-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/ebe6e19c-cabf-4911-aa2f-a191f230ad7a-thumbnail-500x500.webpv1776174211,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Rosella Perfume,Rosella Perfume,69.99,,,https://thebeautysecrets.com/products/rosella-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/7edf61eb-4887-426d-9841-d641f18baeae-thumbnail-500x500.webpv1776174168,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Vortex Perfume,Vortex Perfume,69.99,,,https://thebeautysecrets.com/products/vortex-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/556ab1bd-0c10-42da-975e-147b4d83d2f1-thumbnail-500x500.webpv1776174294,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Enigma Perfume,Enigma Perfume,69.99,,,https://thebeautysecrets.com/products/enigma-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/d9436181-645a-4bed-bc5d-876887cfaea1-thumbnail-500x500.webpv1776174476,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Nebula Perfume,Nebula Perfume,69.99,,,https://thebeautysecrets.com/products/nebula-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/f1790b7e-dec9-4f6d-8de7-2ef2a2a4a994-thumbnail-500x500.webpv1776174490,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Stardust Perfume,Stardust Perfume,69.99,,,https://thebeautysecrets.com/products/stardust-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/e0e327c3-a8ab-4e71-9672-570105417822-thumbnail-500x500.webpv1776174509,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Arcane Perfume,Arcane Perfume,69.99,,,https://thebeautysecrets.com/products/arcane-perfume,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/05ee454e-d086-40bd-bdc7-b8a8f434db15-thumbnail-500x500.webpv1776174366,The Beauty Secrets,in_stock,beauty > perfumes,perfumes,,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Orange Blossom,Flowpack Soap Bar - Orange Blossom,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-orange-blossom,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/11e9b1ea-b421-4960-bb4b-63571312740d-thumbnail-500x500.webpv1775641114,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Orchid,Flowpack Soap Bar - Orchid,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-orchid,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/974e5f87-d3a4-465e-96fe-e9b87ff6f973-thumbnail-500x500.webpv1775641092,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Berries,Flowpack Soap Bar - Berries,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-berries,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/a375b3ae-e1e0-4699-a9a0-9059a4136e3f-thumbnail-500x500.webpv1775641092,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Mango &amp; Yogurt,Flowpack Soap Bar - Mango &amp; Yogurt,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-mango-yogurt,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/0cfb9ca7-dd40-4f66-9fa6-f0f07572a342-thumbnail-500x500.webpv1775641092,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Pomagranate,Flowpack Soap Bar - Pomagranate,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-pomagranate,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/89fefb29-7ce5-4989-ac41-42ff976c3d0e-thumbnail-500x500.webpv1775641092,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Flowpack Soap Bar - Mango,Flowpack Soap Bar - Mango,9.99,,,https://thebeautysecrets.com/products/flowpack-soap-bar-mango,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/83c26a80-38ad-4b79-bef1-27ad2fe737a9-thumbnail-500x500.webpv1775641164,The Beauty Secrets,in_stock,beauty > body care,body care,80 g,80 g,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
Dream Hand Cream,Dream Hand Cream,9.99,19.99,50.025,https://thebeautysecrets.com/products/dream-hand-cream-75ml,https://media.zid.store/thumbs/79fa0331-7f63-4f2e-a135-4e0c1753304c/121d17fa-4d7a-4497-8ad5-ff4308f2fee3-thumbnail-500x500.webpv1775475729,The Beauty Secrets,in_stock,beauty > body care,body care,75 ml,,2026-06-12 23:18:35,Africa/Cairo,The Beauty Secrets,,
