title,name,product_current_price,product_old_price,product_discount,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_unit,product_weight,scraping_time,timestamp_timezone,product_brand,product_ram,product_storage
"Barbie Doll, Rainbow Princess","Barbie Doll, Rainbow Princess",599,,,https://www.toptoyseg.com/product/%e2%80%8bbarbie-doll-rainbow-princess/,https://www.toptoyseg.com/wp-content/uploads/2020/06/81vyZyWYG2L._AC_SL1500_.jpg,Top Toys,out_of_stock,baby products > toys,Dolls & Doll Sets,,,2026-06-13T13:32:55+03:00,Africa/Cairo,Barbie,,
Serina Swing 2in1 In the Rain,Serina Swing 2in1 In the Rain,4890,,,https://www.toptoyseg.com/product/%d9%8dserina-swing-2in1-in-the-rain/,https://www.toptoyseg.com/wp-content/uploads/2018/08/w1306abitr000_serina2in1_rtang_cs_cc_hr1-1-1-1.jpg,Top Toys,out_of_stock,baby products > nursery and bathing,Swings,,,2026-06-13T13:32:55+03:00,Africa/Cairo,Joie,,
1/14 Scale 2.4Ghz Remote Control Car for Ferrari,1/14 Scale 2.4Ghz Remote Control Car for Ferrari,2899,,,https://www.toptoyseg.com/product/1-14-scale-2-4ghz-remote-control-car-for-f-errari/,https://www.toptoyseg.com/wp-content/uploads/2025/04/6155FqMBitL.jpg,Top Toys,in_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:32:57+03:00,Africa/Cairo,Ferrari,,
1/14 R/C Lamborghini Centenario,1/14 R/C Lamborghini Centenario,950,,,https://www.toptoyseg.com/product/1-14-r-c-lamborghini-centenario/,https://www.toptoyseg.com/wp-content/uploads/2020/08/090159812753MAISTOAUTOR2FC13A14LAMBOCENTEN81275-min-500x500.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:32:57+03:00,Africa/Cairo,Maisto,,
1/14 McLaren P1,1/14 McLaren P1,999,,,https://www.toptoyseg.com/product/1-14-mclaren-p1/,https://www.toptoyseg.com/wp-content/uploads/2022/01/rm7757c-1-c995-zec2.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:32:57+03:00,Africa/Cairo,Rastar,,
Barbie Baby Doctor Doll with Blonde Fashion Doll,Barbie Baby Doctor Doll with Blonde Fashion Doll,1895,,,https://www.toptoyseg.com/product/%e2%80%8bbarbie-baby-doctor-doll-with-blonde-fashion-doll/,https://www.toptoyseg.com/wp-content/uploads/2025/04/71znkGGeNLL._AC_SL1500_.jpg,Top Toys,in_stock,baby products > toys,Dolls & Doll Sets,,,2026-06-13T13:32:57+03:00,Africa/Cairo,Barbie,,
1: 18 2014 Corvette Stingray (Colors May Vary),1: 18 2014 Corvette Stin (Colors May Vary),1000,,,https://www.toptoyseg.com/product/1-18-2014-corvette-stingray-colors-may-vary/,https://www.toptoyseg.com/wp-content/uploads/2019/08/4.jpg,Top Toys,out_of_stock,baby products > toys,Cars Tracks Tools,,,2026-06-13T13:32:58+03:00,Africa/Cairo,Maisto,,
1: 18 Lamborghini Centenario (Colors May Vary),1: 18 Lamborghini Centenario (Colors May Vary),1100,,,https://www.toptoyseg.com/product/1-18-lamborghini-centenario-colors-may-vary/,https://www.toptoyseg.com/wp-content/uploads/2019/08/71aocfk5CRL._SL1500_.jpg,Top Toys,out_of_stock,baby products > toys,Cars Tracks Tools,,,2026-06-13T13:32:59+03:00,Africa/Cairo,Maisto,,
1: 18 2017 50th Anniversary Chevrolet Camaro (Colors May Vary),1: 18 2017 50th Anniversary Chevrolet Camaro (Colors May Vary),2700,,,https://www.toptoyseg.com/product/1-18-2017-50th-anniversary-chevrolet-camaro-colors-may-vary/,https://www.toptoyseg.com/wp-content/uploads/2021/06/81Rbb20blL._AC_SL1500_.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:32:59+03:00,Africa/Cairo,Maisto,,
1/16 Engineering Construction Truck Excavator Digger Vehicle Cars for Kids Toys,1/16 Engineering Construction Truck Excavator Digger Vehicle Cars for Kids Toys,230,,,https://www.toptoyseg.com/product/1-16-engineering-construction-truck-excavator-digger-vehicle-cars-for-kids-toys/,https://www.toptoyseg.com/wp-content/uploads/2019/05/s-l1600.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:32:59+03:00,Africa/Cairo,Summer 2019,,
1: 43 Ferrari Race & Play,1: 43 Ferrari Race & Play,135,,,https://www.toptoyseg.com/product/1-43-ferrari-race-play/,https://www.toptoyseg.com/wp-content/uploads/2020/07/41yvErGYgLL._AC_.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:33:00+03:00,Africa/Cairo,Burago,,
1/24 Burago Porsche 356 B Coupe beige 22079,1/24 Burago Porsche 356 B Coupe beige 22079,399,,,https://www.toptoyseg.com/product/1-24-burago-porsche-356-b-coupe-beige-22079/,https://www.toptoyseg.com/wp-content/uploads/2020/07/51opm3ArNSL._AC_SL1050_.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",431 g,431 g,2026-06-13T13:33:00+03:00,Africa/Cairo,Burago,,
1.76 L Food Container,1.76 L Food Container,180,,,https://www.toptoyseg.com/product/1-76-l-food-container/,https://www.toptoyseg.com/wp-content/uploads/2021/08/81nbavs-jal._sl1500_.jpg,Top Toys,out_of_stock,baby products > fashion,Lunch Bags,1.76 L,1.76 L,2026-06-13T13:33:00+03:00,Africa/Cairo,School,,
1/18 Vw Beetle 1955,1/18 Vw Beetle 1955,975,,,https://www.toptoyseg.com/product/1-18-vw-beetle-1955/,https://www.toptoyseg.com/wp-content/uploads/2020/07/pol_pl_-Bburago-Autko-Volkswagen-Garbus-Beetle-Beige-1-18-32234_4.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:33:01+03:00,Africa/Cairo,Burago,,
10-in-1 Rally Racer,10-in-1 Rally Racer,599,,,https://www.toptoyseg.com/product/10-in-1-rally-racer/,https://www.toptoyseg.com/wp-content/uploads/2021/03/81bha-amxbl._ac_sl1500_.jpg,Top Toys,out_of_stock,baby products > toys,Actvity,159 pieces,,2026-06-13T13:33:02+03:00,Africa/Cairo,Spin Master,,
100 Inflatable Dinghy,100 Inflatable Dinghy,805,,,https://www.toptoyseg.com/product/100-inflatable-dinghy/,https://www.toptoyseg.com/wp-content/uploads/2021/04/61sbkg3x8tl._sl1000_.jpg,Top Toys,in_stock,baby products > toys,Beach Fun,,,2026-06-13T13:33:02+03:00,Africa/Cairo,Intex,,
Mini Motsu,Mini Motsu,100,,,https://www.toptoyseg.com/product/10204/,https://www.toptoyseg.com/wp-content/uploads/2019/03/animotsu-mini-motsu-v2.jpg,Top Toys,out_of_stock,baby products > toys,Figures & Action Toys,,,2026-06-13T13:33:02+03:00,Africa/Cairo,Keel Toys,,
Swaddle Blanket,Swaddle Blanket,540,,,https://www.toptoyseg.com/product/10353/,https://www.toptoyseg.com/wp-content/uploads/2019/05/thumbnail_8_.png,Top Toys,out_of_stock,baby products > fashion,Blanket& Pillow,,,2026-06-13T13:33:03+03:00,Africa/Cairo,Snoozy,,
10 Games (with talking pen),10 Games (with talking pen),269,,,https://www.toptoyseg.com/product/10-games-with-talking-pen/,https://www.toptoyseg.com/wp-content/uploads/2021/02/8008324044610.jpg,Top Toys,out_of_stock,baby products > toys,Actvity,,,2026-06-13T13:33:03+03:00,Africa/Cairo,Lisciani,,
Dr. Browns silicone,Dr. Browns silicone,145,,,https://www.toptoyseg.com/product/1143/,https://www.toptoyseg.com/wp-content/uploads/2018/08/886_product_h_1.jpg,Top Toys,out_of_stock,baby products > feeding,Bottle cover,120ml,120ml,2026-06-13T13:34:45+03:00,Africa/Cairo,Dr Browns,,
Toddler Booster Seat,Toddler Booster Seat,2000,,,https://www.toptoyseg.com/product/11592/,https://www.toptoyseg.com/wp-content/uploads/2019/06/81dznbkbq4l._sl1500_.jpg,Top Toys,out_of_stock,baby products > nursery and bathing,Nursery,,,2026-06-13T13:34:45+03:00,Africa/Cairo,Bright Starts,,
Rs Wolf Warriors,Rs Wolf Warriors,1500,,,https://www.toptoyseg.com/product/11304/,https://www.toptoyseg.com/wp-content/uploads/2019/05/904557d.jpg,Top Toys,out_of_stock,baby products > toys,Figures & Action Toys,2.4G,2.4G,2026-06-13T13:34:45+03:00,Africa/Cairo,Rastar,,
1:10 Die-Cast Motorcycle,1:10 Die-Cast Motorcycle,500,,,https://www.toptoyseg.com/product/110-die-cast-motorcycle/,https://www.toptoyseg.com/wp-content/uploads/2022/02/6059504.jpg,Top Toys,out_of_stock,baby products > toys,"Cars, Tracks & Tools",,,2026-06-13T13:34:45+03:00,Africa/Cairo,Spin Master,,
FREESTANDING PORTABLE PUNCHING BALL,FREESTANDING PORTABLE PUNCHING BALL,730,,,https://www.toptoyseg.com/product/11102/,https://www.toptoyseg.com/wp-content/uploads/2019/05/freestanding-portable-punching-ball-538816-no-143881f-.jpg,Top Toys,out_of_stock,baby products > toys,Figures & Action Toys,,,2026-06-13T13:34:46+03:00,Africa/Cairo,Summer 2019,,
10839 LEGO Shooting Gallery,10839 LEGO Shooting Gallery,560,,,https://www.toptoyseg.com/product/10839-lego-shooting-gallery/,https://www.toptoyseg.com/wp-content/uploads/2018/10/91IbSwMrxtL._SL1500_.jpg,Top Toys,out_of_stock,baby products > toys,Toys,,,2026-06-13T13:34:46+03:00,Africa/Cairo,Lego,,
"Dr. Browns ,Fits the wide neck","Dr. Browns ,Fits the wide neck",100,,,https://www.toptoyseg.com/product/1128/,https://www.toptoyseg.com/wp-content/uploads/2018/08/41_ea_zifjl._sl1000_.jpg,Top Toys,in_stock,baby products > feeding,Feeding,,,2026-06-13T13:34:46+03:00,Africa/Cairo,Dr Browns,,
Wide Neck Bottle,Wide Neck Bottle,540,,,https://www.toptoyseg.com/product/1045/,https://www.toptoyseg.com/wp-content/uploads/2018/08/4791.jpg,Top Toys,out_of_stock,baby products > feeding,Feeding,,,2026-06-13T13:34:46+03:00,Africa/Cairo,Dr Browns,,
