product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
كيرا هير افضل سيروم للشعر الجاف والهايش للاطفال,355.0,650.0,https://avenscosmeticseg.com/products/kerahair-serum-for-kids?variant=41876819542071,https://cdn.shopify.com/s/files/1/0599/6838/9175/files/hair_serum_kids_ec9ae7a3-aec9-4b35-a66d-dcac9da21d7d.webp?v=1777882800,1,health & beauty,beauty kit,0.0,Africa/Cairo,Avens,unknown,unknown,aggregated_beauty,295.0,45.38461538461539,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55235,05:52:35,05:52:35,5,5,52,35,AM,true,false,morning,true,false,false,false,false,false,false,false
سموز سكين سيروم لعلاج حب الشباب.,305.0,560.0,https://avenscosmeticseg.com/products/ordinor-smooth-skin-serum?variant=41533327769655,https://cdn.shopify.com/s/files/1/0599/6838/9175/files/smooth_51840c6a-f701-4893-84cb-ee9c56af6c20.webp?v=1777556931,1,health & beauty,beauty kit,0.0,Africa/Cairo,Avens,unknown,unknown,aggregated_beauty,255.0,45.535714285714285,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55235,05:52:35,05:52:35,5,5,52,35,AM,true,false,morning,true,false,false,false,false,false,false,false
Acti Colla C - 10 Sachets,258.0,258.0,https://bloompharmacy.com/products/acti-colla-c-10-sachets?variant=45450744693044,https://cdn.shopify.com/s/files/1/0774/7151/4932/products/acti-colla-c-10-sachets-277264.jpg?v=1695227438,1,sports & fitness,dietary supplement,5.0,Africa/Cairo,Eva,unknown,unknown,aggregated_beauty,0.0,0.0,0,G,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Advanced Clinicals Anti-Aging Vitamin C Face Serum - 52ml,1450.0,1450.0,https://bloompharmacy.com/products/advanced-clinicals-anti-aging-vitamin-c-face-serum-52ml?variant=45446681002292,https://cdn.shopify.com/s/files/1/0774/7151/4932/products/advanced-clinicals-anti-aging-vitamin-c-face-serum-52ml-516329.jpg?v=1687634808,1,health & beauty,sun care,52.0,Africa/Cairo,Advanced Clinicals,unknown,unknown,aggregated_beauty,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Advanced Clinicals Collagen Serum - 52ml,1285.0,1285.0,https://bloompharmacy.com/products/advanced-clinicals-collagen-serum-52ml?variant=45446681067828,https://cdn.shopify.com/s/files/1/0774/7151/4932/products/advanced-clinicals-collagen-serum-52ml-681274.jpg?v=1687634950,1,health & beauty,sun care,52.0,Africa/Cairo,Advanced Clinicals,unknown,unknown,aggregated_beauty,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Afnan Supremacy Gold EDP Unisex - 100ml,1691.5,1990.0,https://bloompharmacy.com/products/afnan-supremacy-gold-edp-unisex-100ml?variant=48942257930548,https://cdn.shopify.com/s/files/1/0774/7151/4932/files/afnan-supremacy-gold-edp-unisex-100ml-7574659.jpg?v=1762874309,1,health & beauty,unisex perfume,100.0,Africa/Cairo,Afnan,unknown,unknown,aggregated_beauty,298.5,15.0,1,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Alcheme Angel’s Heart EDP Unisex - 50ml,731.0,860.0,https://bloompharmacy.com/products/alcheme-angel-s-heart-edp-for-women-50ml?variant=49056889045300,https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alcheme-angels-heart-edp-unisex-50ml-5356800.jpg?v=1772768717,1,health & beauty,unisex fragrances,50.0,Africa/Cairo,Alcheme,unknown,unknown,aggregated_beauty,129.0,15.0,1,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Alcheme La Rouge EDP Unisex - 50ml,731.0,860.0,https://bloompharmacy.com/products/alcheme-la-rouge-edp-unisex-50ml?variant=49056910180660,https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alcheme-la-rouge-edp-unisex-50ml-6522568.jpg?v=1772768711,1,health & beauty,fragrances,50.0,Africa/Cairo,Alcheme,unknown,unknown,aggregated_beauty,129.0,15.0,1,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Amaryl 1 mg - 30 Tablets,40.0,40.0,https://bloompharmacy.com/products/amaryl-1-mg-30-tablets?variant=45448036745524,https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amaryl-1-mg-30-tablets-573408.jpg?v=1724440984,1,health & wellness,pharmacy,1.0,Africa/Cairo,Sanofi Aventis,unknown,unknown,aggregated_beauty,0.0,0.0,0,Mg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Bionnex Anti-Hair Loss Shampoo Dry and Damaged Hair - 300ml,479.0,479.0,https://bloompharmacy.com/products/and?variant=47263179079988,https://cdn.shopify.com/s/files/1/0774/7151/4932/products/bionnex-anti-hair-loss-shampoo-dry-and-damaged-hair-300ml-618522.jpg?v=1701693071,1,health & beauty,hair care,300.0,Africa/Cairo,Bionnex,unknown,unknown,aggregated_beauty,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,55254,05:52:54,05:52:54,5,5,52,54,AM,true,false,morning,true,false,false,false,false,false,false,false
