product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
XEMOSE GENTLE CLEANSING GEL 200ML / Tube,799.0,799.0,https://bashrety.tv/products/_xemose_gentle_cleansing_syndet_,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/53043_813f7c00-5bda-43b6-a387-8a6ea8fef51e.jpg?v=1586554436,1,health & beauty,face care,200.0,Africa/Cairo,Uriage,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
XEMOSE LIPID-REPLENISHING ANTI-IRRITATION CREAM 200ML / Tube,1289.0,1289.0,https://bashrety.tv/products/_xemose_lipid_replenishing_anti-irritation_cream_,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/53041_b88c7b47-e512-4045-b2f7-27a2d2bbe516.jpg?v=1586554437,1,baby products,baby products,200.0,Africa/Cairo,Uriage,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
DEPIWHITE S SPF50+ CREAM 50ML / Tube,419.0,419.0,https://bashrety.tv/products/acm-depiwhite-s-spf50-whitening-sunscreen,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60002_ca57e972-3b23-4fd4-a4a1-b37e5229b0df.jpg?v=1586554309,1,health & beauty,sun care,50.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
SEBIONEX SPF50+ GEL 40ML / Tube,565.0,565.0,https://bashrety.tv/products/acm-sebionex-gel-spf50-mineral-sunscreen,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60018_d49842cf-f1b7-4a47-8784-c9dec06f4019.jpg?v=1586554315,1,health & beauty,sun care,40.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
SEBIONEX TRIO CREAM 40ML / Tube,409.0,409.0,https://bashrety.tv/products/acm-sebionex-trio-cream-with-salicylic-acid,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60017_b1c37246-3dbf-415f-8b77-2a9aba926d60.jpg?v=1586554316,1,health & beauty,dairy & eggs,40.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
DEPIWHITE ADVANCED 40ML / Tube,599.0,599.0,https://bashrety.tv/products/acm_depiwhite_advanced,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60000_643b1b6d-d9c2-4e61-b21d-4d974625b583.jpg?v=1586554308,1,health & beauty,advanced treatment serum,40.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
DEPIWHITE BODY MILK 200ML / Tube,599.0,599.0,https://bashrety.tv/products/acm_depiwhite_body_milk,https://cdn.shopify.com/s/files/1/0377/4460/7277/files/ACMDepiwhite-1.jpg?v=1706447047,1,health & beauty,body care,200.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
DEPIWHITE EYE CONTOUR GEL 15ML / Tube,399.0,399.0,https://bashrety.tv/products/acm_depiwhite_eye_contour_gel_,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60003_e5254ab3-17e3-452a-b2cd-8206415845fc.jpg?v=1586554310,1,health & beauty,eye contour gel,15.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
DEPIWHITE MASK 40ML / Tube,539.0,539.0,https://bashrety.tv/products/acm_depiwhite_mask,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60001_0b064e47-0ad8-4a89-bf48-5e8f228f6917.jpg?v=1586554312,1,health & beauty,face care,40.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
NOVOPHANE ANTI-HAIR LOSS LOTION 100ML / Spray,839.0,839.0,https://bashrety.tv/products/acm_novophane_anti-hair_loss_lotion,https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60006_ec7f1701-f334-4076-b567-5c3ec00f4ea7.jpg?v=1586554313,1,health & beauty,hair care,100.0,Africa/Cairo,Acm,unknown,unknown,bashrety,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,221218,10:12:18,22:12:18,10,22,12,18,PM,false,true,night,false,false,false,true,false,false,false,false
