product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
AUX Air Conditioner 1.5 HP Cool & Heat Inverter WIFI Super Silent AUXS-12QE-H/IN,25705.0,27940.0,https://cairosales.com/en/air-conditioners/aux-air-conditioner-15-hp-cool-heat-inverter-wifi-super-silent-auxs-12qe-hin.html,https://cairosales.com/130444-large_default/aux-air-conditioner-15-hp-cool-heat-inverter-wifi-super-silent-auxs-12qe-hin.jpg,1,health & beauty,network & connectivity,0.0,Africa/Cairo,Hp,unknown,unknown,cairosales,2235.0,7.999284180386542,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,95404,09:54:04,09:54:04,9,9,54,4,AM,true,false,morning,true,false,false,false,false,false,false,false
AUX Air Conditioner 2.25 HP Cool & Heat Inverter Super Silent AUXS-18QD-H/IN,41399.0,44999.0,https://cairosales.com/en/air-conditioners/aux-air-conditioner-225-hp-cool-heat-inverter-super-silent-auxs-18qd-hin.html,https://cairosales.com/130426-large_default/aux-air-conditioner-225-hp-cool-heat-inverter-super-silent-auxs-18qd-hin.jpg,1,health & beauty,hair care,0.0,Africa/Cairo,Hp,unknown,unknown,cairosales,3600.0,8.000177781728484,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,95430,09:54:30,09:54:30,9,9,54,30,AM,true,false,morning,true,false,false,false,false,false,false,false
AUX Air Conditioner 3 HP Cool & Heat Inverter WIFI Super Silent AUXS-24CA-H/IN,52495.0,57060.0,https://cairosales.com/en/air-conditioners/aux-air-conditioner-3-hp-cool-heat-inverter-wifi-super-silent-auxs-24ca-hin.html,https://cairosales.com/131079-large_default/aux-air-conditioner-3-hp-cool-heat-inverter-wifi-super-silent-auxs-24ca-hin.jpg,1,health & beauty,network & connectivity,0.0,Africa/Cairo,Hp,unknown,unknown,cairosales,4565.0,8.000350508236943,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,95406,09:54:06,09:54:06,9,9,54,6,AM,true,false,morning,true,false,false,false,false,false,false,false
Beko Jet Cool Air Conditioner 2.25 HP Cool Inverter White BICT1821,0.0,0.0,https://cairosales.com/en/air-conditioners/beko-jet-cool-air-conditioner-225-hp-cool-inverter-white-bict1821.html,https://cairosales.com/89848-large_default/beko-jet-cool-air-conditioner-225-hp-cool-inverter-white-bict1821.jpg,0,health & beauty,hair care,0.0,Africa/Cairo,Beko,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,100551,10:05:51,10:05:51,10,10,5,51,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Air Condition Optimax Cooling and Heating Split 3 HP Digital C53QHCT24-708J,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-air-condition-optimax-cooling-and-heating-split-3-hp-digital-c53qhct24-708j.html,https://cairosales.com/50058-large_default/carrier-air-condition-optimax-cooling-and-heating-split-3-hp-digital-c53qhct24-708j.jpg,0,computers & accessories,computer accessories,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,100316,10:03:16,10:03:16,10,10,3,16,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Air Condition Optimax Split 1.5HP Cooling Only KHCT-12,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-air-condition-optimax-split-15hp-cooling-only-khct-12.html,https://cairosales.com/11995-large_default/carrier-air-condition-optimax-split-15hp-cooling-only-khct-12.jpg,0,computers & accessories,computer accessories,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,100355,10:03:55,10:03:55,10,10,3,55,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Air Condition Optimax Split Cooling Only 2.25 HP KHCT18,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-air-condition-optimax-split-cooling-only-225-hp-khct18.html,https://cairosales.com/121580-large_default/carrier-air-condition-optimax-split-cooling-only-225-hp-khct18.jpg,0,computers & accessories,computer accessories,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,95849,09:58:49,09:58:49,9,9,58,49,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Air Condition Split Altiimax Inverter Cooling & Heating 1.5HP QHAET12DN,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-air-condition-split-altiimax-inverter-cooling-heating-15hp-qhaet12dn.html,https://cairosales.com/56383-large_default/carrier-air-condition-split-altiimax-inverter-cooling-heating-15hp-qhaet12dn.jpg,0,computers & accessories,computer accessories,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,100651,10:06:51,10:06:51,10,10,6,51,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Air Condition Split Cooling & Heating 4HP QHE-30,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-air-condition-split-cooling-heating-4hp-qhe-30.html,https://cairosales.com/118682-large_default/carrier-air-condition-split-cooling-heating-4hp-qhe-30.jpg,0,computers & accessories,computer accessories,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,95842,09:58:42,09:58:42,9,9,58,42,AM,true,false,morning,true,false,false,false,false,false,false,false
Carrier Concealed Air Conditioner 4 HP Hot & Cold QDMT-30,0.0,0.0,https://cairosales.com/en/air-conditioners/carrier-concealed-air-conditioner-4-hp-hot-cold-qdmt-30.html,https://cairosales.com/12011-large_default/carrier-concealed-air-conditioner-4-hp-hot-cold-qdmt-30.jpg,0,health & beauty,hair care,0.0,Africa/Cairo,Carrier,unknown,unknown,cairosales,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,100347,10:03:47,10:03:47,10,10,3,47,AM,true,false,morning,true,false,false,false,false,false,false,false
