product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Mintra Big Bag 3 Po 20 L,359.0,359.0,https://www.carrefouregypt.com/mafegy/en/-backpacks-school-bags/mintra-big-bag-3-po-20-l/p/487792,missing_url,1,office supplies,storage & waste,20.0,Africa/Cairo,mintra,unknown,unknown,carrefour,0.0,0.0,0,L,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Mintra School Bags T 10L,259.0,259.0,https://www.carrefouregypt.com/mafegy/en/-backpacks-school-bags/mintra-school-bags-t-10l/p/499962,missing_url,1,office supplies,school bags,10.0,Africa/Cairo,mintra,unknown,unknown,carrefour,0.0,0.0,0,L,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Extention Sockets 6 Plugs 561,650.0,650.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-extention-sockets-6-plugs-561/p/631653,missing_url,1,electrical,electronics accessories,0.0,Africa/Cairo,best,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Extention Sockets 6 Plugs,570.0,570.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-extention-sockets-6-plugs/p/631645,missing_url,1,electrical,electronics accessories,0.0,Africa/Cairo,best,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Mk Plug W Safety,45.0,45.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-mk-plug-w-safety/p/539355,missing_url,1,electronics,electronics accessories,0.0,Africa/Cairo,best,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Night Light X2,100.0,100.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-night-light-x2/p/450367,missing_url,1,small appliances,home decor,0.0,Africa/Cairo,best,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Sockets 3 Plugs 2Usb,469.0,469.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-sockets-3-plugs-2usb/p/631643,missing_url,1,electrical,electronics accessories,0.0,Africa/Cairo,best,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Best Tripple Connector 16A,159.0,159.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/best-tripple-connector-16a/p/509202,missing_url,1,electrical,electronics accessories,0.0,Africa/Cairo,unbranded,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Giza 2Socket Fifth Lap,54.95,54.95,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/giza-2socket-fifth-lap/p/477880,missing_url,1,electrical,audio/video accessories,0.0,Africa/Cairo,giza,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Giza Connector 3W 10 16Am,369.0,369.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/giza-connector-3w-10-16am/p/496539,missing_url,1,electrical connector,electronics accessories,0.0,Africa/Cairo,giza,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Giza Extension Socket Triple,119.0,119.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/giza-extension-socket-triple/p/477900,missing_url,1,electronics,mobile accessories,0.0,Africa/Cairo,giza,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
I Lock Strip 3 Mk Outlets Basic,319.0,319.0,https://www.carrefouregypt.com/mafegy/en/adaptors-sockets/i-lock-strip-3-mk-outlets-basic/p/617580,missing_url,1,electrical,electronics accessories,0.0,Africa/Cairo,ilock,unknown,unknown,carrefour,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
