product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Chicco 3 In 1 Potty Training System Potty Training,42891.0,71517.0,https://www.chiccoegypt.com/product/chicco-3-in-1-potty-training-system-potty-training-oexq-7216/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/elmowmedeio2594-937x937.jpg,1,baby products,household cleaners,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,28626.0,40.02684676370653,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82522,08:25:22,08:25:22,8,8,25,22,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco 3 In 1 Steam Sterilizer Feeding Accessories,71517.0,119227.0,https://www.chiccoegypt.com/product/chicco-3-in-1-steam-sterilizer-feeding-accessories-ztgp-6804/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/01gh44vpvtn2390-937x937.jpg,1,baby products,baby feeding,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,47710.0,40.01610373489227,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82454,08:24:54,08:24:54,8,8,24,54,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco 360 Spoutless Rim Trainer 9Oz 9M Blue Sippy Cups,19990.0,33349.0,https://www.chiccoegypt.com/product/chicco-360-spoutless-rim-trainer-9oz-9m-blue-sippy-cups-jreh-7528/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/xhggfs212ys2437-937x937.jpg,1,baby products,mugs & cups,9.0,Africa/Cairo,Chicco,unknown,unknown,chicco,13359.0,40.05817265885034,1,M,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82459,08:24:59,08:24:59,8,8,24,59,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco 360 Spoutless Rim Trainer 9Oz 9M Green Sippy Cups,19990.0,33349.0,https://www.chiccoegypt.com/product/chicco-360-spoutless-rim-trainer-9oz-9m-green-sippy-cups-btyq-1523/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/ac1l2oki4ly2438-937x937.jpg,1,baby products,mugs & cups,9.0,Africa/Cairo,Chicco,unknown,unknown,chicco,13359.0,40.05817265885034,1,M,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82547,08:25:47,08:25:47,8,8,25,47,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco 360 Spoutless Rim Trainer 9Oz 9M Pink Sippy Cups,22853.0,38120.0,https://www.chiccoegypt.com/product/chicco-360-spoutless-rim-trainer-9oz-9m-pink-sippy-cups-fxqa-0215/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/ls5yirbi1yu2439-937x937.jpg,1,baby products,mugs & cups,9.0,Africa/Cairo,Chicco,unknown,unknown,chicco,15267.0,40.0498426023085,1,M,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82432,08:24:32,08:24:32,8,8,24,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco Activ3 Eclipse Jogging Strollers,1431252.0,2385452.0,https://www.chiccoegypt.com/product/chicco-activ3-eclipse-jogging-strollers-sizm-2986/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/mix1sfmulwg1913-937x937.jpg,1,baby products,baby carriers activity,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,954200.0,40.000804878907644,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82552,08:25:52,08:25:52,8,8,25,52,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco Activ3 Jogging Stroller Travel System Solar Travel Systems Car Seat Stroller Combos,1631634.0,2719422.0,https://www.chiccoegypt.com/product/chicco-activ3-jogging-stroller-travel-system-solar-travel-systems-car-seat-stroller-combos-xuev-4193/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/0uaqd0umote2054-937x937.jpg,1,baby products,travel systems car seat stroller combos,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,1087788.0,40.00070603238483,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82459,08:24:59,08:24:59,8,8,24,59,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco Advanced Sterilizer Dryer Feeding Accessories,200334.0,333922.0,https://www.chiccoegypt.com/product/chicco-advanced-sterilizer-dryer-feeding-accessories-xoun-0592/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/iwwab4trgyb2389-937x937.jpg,1,baby products,sterilizer,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,133588.0,40.005749845772364,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82534,08:25:34,08:25:34,8,8,25,34,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco Alfa Lite Lightweight Travel Dove Playards,543846.0,906442.0,https://www.chiccoegypt.com/product/chicco-alfa-lite-lightweight-travel-dove-playards-wdyr-6342/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/o4u5ibf2ay02113-937x937.jpg,1,baby products,playards,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,362596.0,40.00211817192937,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82456,08:24:56,08:24:56,8,8,24,56,AM,true,false,morning,true,false,false,false,false,false,false,false
Chicco Alfa Lite Lightweight Travel Midnight Playards,658350.0,1097282.0,https://www.chiccoegypt.com/product/chicco-alfa-lite-lightweight-travel-midnight-playards-vniu-9762/,https://www.chiccoegypt.com/wp-content/uploads/2026/03/l0vjkhn0d152127-937x937.jpg,1,baby products,baby products,0.0,Africa/Cairo,Chicco,unknown,unknown,chicco,438932.0,40.00174977808804,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,82549,08:25:49,08:25:49,8,8,25,49,AM,true,false,morning,true,false,false,false,false,false,false,false
