product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"LG UltraGear 27\"\" OLED Dual Mode Gaming Monitor QHD 540Hz / HD 720Hz",0.0,0.0,0.02ms,G-SYNC,1,computers & accessories,computer accessories,1.0,out_of_stock,Electronics Monitors,Monitors,5 INCH,compumarts,0.0,0.0,0,Https,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"MSI MAG 321UP QD-OLED 31.5\"\" 4K UHD 165Hz Gaming Monitor",0.0,0.0,0.03ms,HDR True 400,0,computers & accessories,computer accessories,1.0,in_stock,Electronics Monitors,Monitors,5 Inch,compumarts,0.0,0.0,0,Https,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ASUS ROG Swift OLED PG42UQ Gaming Monitor, 41.5\"\" 4K OLED (3840x2160)",0.0,0.0,2 Speakers,2*HDMI 2.1/DP 1.4,0,computers & accessories,computer accessories,1.07,2*HDMI 2.1/DP 1.4,4 Usb 3 2 90lm0850 B01170,68000,unknown,compumarts,0.0,0.0,0,Bn,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"BenQ Designer Monitor PD3205U 32\"\" IPS LED Panel 60Hz UHD 4K 100% sRGB HDR10",0.0,0.0,"3 USB 3.2\"","\"Designer Monitor PD3205U 32\"\" IPS LED Panel 60Hz UHD 4K 100% sRGB HDR10",0,computers & accessories,computer accessories,0.0,unknown,Https Www Compumarts Com Products Benq Designer Monitor Pd3205u 32 Ips Led Panel 60hz Uhd 4k 100 Srgb Hdr10 Kvm Usb C Charger 1 Hdmi 1dp 3 Usb 3 2 3y Warrenty Variant 45770089562261,https://cdn.shopify.com/s/files/1/0622/7050/5109/files/BenQ-Designer-Monitor-PD3205U-32-IPS-LED-Panel-60Hz-UHD-4K-100_-sRGB-HDR10_-KVM_-USB-C-Charger_-1-HDMI_-1DP_-3-USB-3_01.jpg?v=1739274168,Compumarts Egypt,compumarts,0.0,0.0,0,Piece,28990.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Dell alinwaer 16 aurora ac16250 Core 7 240H RAM 16GB SSD 1TB RTX 4050 6GB 16\"\" WQXGA (2560 x 1600) 120Hz",0.0,0.0,300 nits,ComfortView Plus,0,computers & accessories,computer accessories,1.0,in_stock,Electronics Laptops,Laptop,16 inch,compumarts,0.0,0.0,0,Https,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"MSI MPG 274URDFW E16M 27\"\" UHD Mini-LED Gaming Monitor Dual Mode 4K/1080p",0.0,0.0,320Hz,HDR1000,0,computers & accessories,computer accessories,1.0,in_stock,Electronics Monitors,Monitors,27 INCH,compumarts,0.0,0.0,0,Https,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Dell E2225H 21.5\"\" Full HD VA Monitor 75Hz",0.0,0.0,5ms GTG,Eye Comfort,0,computers & accessories,computer accessories,0.0,unknown,dell,unknown,unknown,compumarts,0.0,0.0,0,Piece,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Samsung Odyssey Neo G7 55\"\" 4K 165Hz Curved Mini LED Gaming Monitor",0.0,0.0,60W Speakers,"FreeSync Premium Pro\"",0,computers & accessories,computer accessories,60.0,1,samsung,unknown,https://www.compumarts.com/products/samsung-odyssey-neo-g7-55-4k-165hz?variant=46956556222613,compumarts,0.0,0.0,0,W,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Asus Zenbook 14X (UX3404VA-OLED009W) - Core-i9-13900H, 16GB, 512GB SSD, Intel Iris Xe, 14.5\"\" 2.8K (2880 x 1800) OLED 16:10 120Hz",0.0,0.0,810H military-grade,"1.5Kgm Sleeve\"",0,computers & accessories,computer accessories,0.0,unknown,asus,unknown,unknown,compumarts,0.0,0.0,0,Piece,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"USED LAPTOP Lenovo Yoga 3 Pro - 13.3\"\" QHD Convertible Ultrabook PC - Intel Core M-5Y71",0.0,0.0,8GB RAM,256GB SSD,0,computers & accessories,computer accessories,0.0,unknown,lenovo,unknown,unknown,compumarts,0.0,0.0,0,Piece,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ASUS TUF Gaming VG279QML5A 27\"\" FHD Fast IPS 240Hz Gaming Monitor",0.0,0.0,"AI Gaming Features\"","\"ASUS TUF Gaming VG279QML5A 27\"\" FHD Fast IPS 240Hz Gaming Monitor",0,computers & accessories,computer accessories,0.0,unknown,Https Www Compumarts Com Products Asus Vg279qml5a 240hz Gaming Monitor Variant 46735501820053,https://cdn.shopify.com/s/files/1/0622/7050/5109/files/ASUS-TUF-VG279QML5A-27-240Hz-Gaming-Monitor_01.jpg?v=1765391446,Compumarts Egypt,compumarts,0.0,0.0,0,Piece,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"HP Victus 16-r0042ne Gaming Laptop 13th Gen i7-13700H 14-Cores, NVIDIA GeForce RTX 4060 8GB GDDR6, 16GB DDR5-5200MHz, 1TB SSD, 16.1\"\" FHD 144Hz IPS Display",0.0,0.0,Backlit,DOS,1,computers & accessories,computer accessories,1.0,out_of_stock,Electronics Laptops,Laptop,16 inch,compumarts,0.0,0.0,0,Https,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201228,08:12:28,20:12:28,8,20,12,28,PM,false,true,evening,false,false,true,false,false,false,false,false
