product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"Haylou RS4 Plus Smartwatch, 1.78\"\" AMOLED Display",0.0,0.0,"Silicone Strap.\"",1299,0,electronics,wearables,0.0,unknown,s smart,unknown,2026-06-12T02:07:32+03:00,dokkantech,0.0,0.0,0,Out,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"APT 10PCS 1/2\"\" Socket Set",0.0,0.0,"Variety Pack\"",700,0,electronics,mobile accessories,0.0,unknown,1 Pcs,unknown,2026-06-12T02:07:32+03:00,dokkantech,0.0,0.0,0,Out,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Huawei Watch Buds 1.43\"\" AMOLED",0.0,0.0,"\"Huawei Watch Buds 1.43\"\" AMOLED",Stainless Steel Case,0,electronics,smartphones,0.0,unknown,Dokkantech,out_of_stock,smart watch,dokkantech,0.0,0.0,0,Piece,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Huawei GT5 Pro 46mm Smartwatch with 1.43\"\" AMOLED",0.0,0.0,16000,3%,0,pantry & ingredients,smartphones,0.0,unknown,2026 06 12t02 07 32 Plus 03 00,Africa/Cairo,Huawei,dokkantech,0.0,0.0,0,Piece,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Haylou Smart Watch 2 LS02 - Health Tracker, 1.4\"\" Screen",0.0,750.0,25%,https://www.dokkantech.com/products/haylou-smart-watch-2-ls02,0,pantry & ingredients,stopwatch,0.0,2026-06-12T02:07:32+03:00,Africa Cairo,Haylou,unknown,dokkantech,750.0,100.0,1,Piece,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Xiaomi Smart Band 10 – 1.72\"\" Display",0.0,0.0,2599,12%,0,pantry & ingredients,smartphones,0.0,unknown,2026 06 12t02 07 32 Plus 03 00,Africa/Cairo,Xiaomi,dokkantech,0.0,0.0,0,Piece,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Imilab Smart Watch W02, Bluetooth Calling, 1.85\"\" TFT Screen",0.0,1375.0,32%,https://www.dokkantech.com/products/imilab-smart-watch-w02-black,0,pantry & ingredients,stopwatch,0.0,2026-06-12T02:07:32+03:00,Africa Cairo,iMiLab,unknown,dokkantech,1375.0,100.0,1,Piece,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Kieslect Actor Smartwatch – 1.6\"\" AMOLED",0.0,0.0,4300,21%,0,pantry & ingredients,smartphones,0.0,unknown,2026 06 12t02 07 32 Plus 03 00,Africa/Cairo,Kieslect,dokkantech,0.0,0.0,0,Piece,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Mibro C3 Smart Watch, 1.85\"\" HD Touch Display",0.0,1199.0,48%,https://www.dokkantech.com/products/mibro-c3-smart-watch-1-85-hd-touch-display-dual-core-2-in-1-chip,0,pantry & ingredients,stopwatch,0.0,2026-06-12T02:07:32+03:00,Africa Cairo,Mibro,unknown,dokkantech,1199.0,100.0,1,Piece,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Mibro T2 Smart Watch (Deep Blue) - 1.75\"\" Amoled Display",0.0,0.0,Mibro T2 Smart Watch (Deep Blue),2650,0,electronics,smartphones,0.0,unknown,smart,unknown,2026-06-12T02:07:32+03:00,dokkantech,0.0,0.0,0,Out,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201325,08:13:25,20:13:25,8,20,13,25,PM,false,true,evening,false,false,true,false,false,false,false,false
A4Tech FS300 Hot-Swappable Mechanical Keyboard – Panda Rock/Snorkel - Panda Rock Climbing,1999.0,1999.0,https://www.dokkantech.com/products/a4tech-fs300-hot-swappable-mechanical-keyboard-panda-rock-snorkel,missing_url,1,computers & accessories,skateboard,0.0,Africa/Cairo,A4tech,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
A4Tech KRS-85 USB Wired Keyboard– Ergonomic Natural_A Design with FN Hotkeys,389.0,389.0,https://www.dokkantech.com/products/a4tech-krs-85-natural_a-fn-wired-keyboard,missing_url,1,computers & accessories,skateboard,0.0,Africa/Cairo,A4tech,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
A4Tech KRS-8572S Wired Keyboard & Silent Mouse Combo - Black,499.0,499.0,https://www.dokkantech.com/products/a4tech-krs-8572s-wired-keyboard-silent-mouse-combo-black,missing_url,1,computers & accessories,gaming,0.0,Africa/Cairo,A4tech,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"A4Tech OP-720S Silent Wired Mouse – 1200 DPI, Ergonomic, Black",199.0,199.0,https://www.dokkantech.com/products/a4tech-op-720s-silent-wired-mouse-1200-dpi-ergonomic-black,missing_url,1,computers & accessories,gaming,0.0,Africa/Cairo,A4tech,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
AceFast A9 40W (2xUSB-C) Fast Wall CHARGER PD3.0 - Black,869.0,999.0,https://www.dokkantech.com/products/acefast-a9-40w-2xusb-c-fast-wall-charger-pd3-0-black,missing_url,1,electronics,mobile accessories,0.0,Africa/Cairo,Acefast,unknown,unknown,dokkantech,130.0,13.013013013013014,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Air Quality Monitor 6 in 1 Multifunctional Automatic Display - White,1150.0,1150.0,https://www.dokkantech.com/products/air-quality-monitor-6-in-1-multifunctional-automatic-display-white,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Generic,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
AirLive 1800AX Wi-Fi 6 1800Mbps Wireless Dual Bands VPN MESH Router - White,3999.0,3999.0,https://www.dokkantech.com/products/airlive-1800ax-wi-fi-6-1800mbps-wireless-dual-bands-vpn-mesh-router-white,missing_url,1,electronics,network & connectivity,0.0,Africa/Cairo,Airlive,unknown,unknown,dokkantech,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
AirLive N3A Wi-Fi Range Extender 2 Antenna 300Mbps - White,825.0,949.0,https://www.dokkantech.com/products/airlive-n3a-wi-fi-range-extender-2-antenna-300mbps-white,missing_url,1,electronics,network & connectivity,0.0,Africa/Cairo,Airlive,unknown,unknown,dokkantech,124.0,13.066385669125394,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
