product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"Buddy Smart Watch Crown J2, 1.39\"\" LCD Touch Screen",0.0,0.0,"Black\"",Buddy Smart Watch Crown J2,0,electronics,water,0.0,wearable devices > smart watches,Smart Watches,unknown,unknown,elghazawy,0.0,0.0,0,Elghazawy,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Infinix Smart Watch XWatch H4 , 2.04\"\" FHD Touch Screen",0.0,0.0,"Blue\"",Infinix Smart Watch XWatch H4,0,electronics,water,0.0,wearable devices > smart watches,Smart Watches,unknown,unknown,elghazawy,0.0,0.0,0,Elghazawy,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Redmi Watch 4 Smart Watch, 1.97\"\" AMOLED Display",0.0,0.0,"M2315W1\"",Redmi Watch 4 Smart Watch,0,electronics,water,0.0,wearable devices > smart watches,Smart Watches,unknown,unknown,elghazawy,0.0,0.0,0,Elghazawy,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ASUS TUF F16 Gaming Laptop FX607VU-RL007W Intel® Core™ i7-13620H, 16GB RAM, 512GB SSD Hard Disk, 16\"\" WUXGA Display",0.0,0.0,51770.0,missing_url,0,computers & accessories,computer accessories,0.0,unknown,asus,2026-06-13 14:06:35,Africa/Cairo,elghazawy,0.0,0.0,0,Electronics,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Laptop ASUS TUF Gaming A16 (2025) FA608UH-RV007W , AMD Ryzen™ 7 260, 16GB RAM, 512GB SSD Hard Disk, 16\"\" WUXGA Display",0.0,0.0,61799.0,missing_url,0,computers & accessories,computer accessories,0.0,unknown,asus,2026-06-13 14:05:35,Africa/Cairo,elghazawy,0.0,0.0,0,Electronics,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Huawei Fit 3 NFC Edition Smart Watch, 1.82\"\" AMOLED Screen",0.0,0.0,6999.0,missing_url,0,electronics,water,0.0,unknown,huawei,2026-06-13 14:03:54,Africa/Cairo,elghazawy,0.0,0.0,0,Wearable,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ASUS TUF F16 Gaming Laptop FX608JMR -RV017W Intel® Core™ i7-14650HX , 16GB RAM,1TB SSD Hard Disk, 16\"\" WUXGA Display",0.0,0.0,77999.0,missing_url,0,computers & accessories,computer accessories,0.0,unknown,asus,2026-06-13 14:06:35,Africa/Cairo,elghazawy,0.0,0.0,0,Electronics,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Laptop ASUS TUF Gaming A16 (2024) FA608WI-QT044W, AMD Ryzen™ AI 9 HX 370, 16GB RAM, 1TB SSD Hard Disk, 16\"\" WQXGA Display",0.0,0.0,92750.0,missing_url,0,computers & accessories,gaming,0.0,unknown,asus,2026-06-13 14:07:09,Africa/Cairo,elghazawy,0.0,0.0,0,Electronics,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Huawei MatePad 12X (2025) Tablet, Paper Matte Edition 12\"\" LCD Screen",0.0,0.0,Huawei MatePad 12X (2025) Tablet,34990.0,0,electronics,computer accessories,0.0,Tablet,huawei,unknown,2026-06-13 13:58:24,elghazawy,0.0,0.0,0,In,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201342,08:13:42,20:13:42,8,20,13,42,PM,false,true,evening,false,false,true,false,false,false,false,false
FOREVER 52 VELVET ROSE MATTE LIPSTICK RS004,390.0,390.0,https://elghazawy.com/en/product/12533352857686/FOREVER+52+VELVET+ROSE+MATTE+LIPSTICK+RS004,https://elghazawy.b-cdn.net/69184/2.jpg,1,health & beauty,lipstick,0.0,Africa/Cairo,Forever,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173252,05:32:52,17:32:52,5,17,32,52,PM,false,true,evening,false,false,true,false,false,false,false,false
FOREVER 52 VELVET ROSE MATTE LIPSTICK RS001,390.0,390.0,https://elghazawy.com/en/product/12533352857687/FOREVER+52+VELVET+ROSE+MATTE+LIPSTICK+RS001,https://elghazawy.b-cdn.net/69186/4.jpg,1,health & beauty,lipstick,0.0,Africa/Cairo,Forever,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173244,05:32:44,17:32:44,5,17,32,44,PM,false,true,evening,false,false,true,false,false,false,false,false
"Ossum Teaser BODY SPRAY FOR WOMEN, 120 ml",130.0,130.0,https://elghazawy.com/en/product/12533352857691/Ossum+Teaser+BODY+SPRAY+FOR+WOMEN%2C+120+ml,https://elghazawy.b-cdn.net/91053/sbray-mzyl-alaark-lljsm-tyzr-llnsa-mn-aosom.webp,1,health & beauty,body care,120.0,Africa/Cairo,Ossum,unknown,nan,elghazawy,0.0,0.0,0,Ml,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,175037,05:50:37,17:50:37,5,17,50,37,PM,false,true,evening,false,false,true,false,false,false,false,false
OGX Organics Coconut free sulfate Shampoo 385 ml,330.0,330.0,https://elghazawy.com/en/product/12533352857736/OGX+Organics+Coconut++free+sulfate+Shampoo+385+ml,https://elghazawy.b-cdn.net/46208/item_XL_55242954_89eac082fd3c5.jpg,1,health & beauty,hair care,385.0,Africa/Cairo,Ogx,unknown,nan,elghazawy,0.0,0.0,0,Ml,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173917,05:39:17,17:39:17,5,17,39,17,PM,false,true,evening,false,false,true,false,false,false,false,false
OGX Organics Brazilian Keratin Conditioner 385 ml,330.0,330.0,https://elghazawy.com/en/product/12533352857743/OGX+Organics+Brazilian+Keratin+Conditioner+385+ml,https://elghazawy.b-cdn.net/46081/1.jpg,1,health & beauty,hair care,385.0,Africa/Cairo,Ogx,unknown,nan,elghazawy,0.0,0.0,0,Ml,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,174402,05:44:02,17:44:02,5,17,44,2,PM,false,true,evening,false,false,true,false,false,false,false,false
"Kingston Exodia Flash Memory, 128GB, USB 3.2, Black, DTX-128GB",590.0,590.0,https://elghazawy.com/en/product/12533352857833/Kingston+Exodia+Flash+Memory%2C+128GB%2C+USB+3.2%2C+Black%2C+DTX-128GB,https://elghazawy.b-cdn.net/141279/ktc-product-usb-dtx-128gb-1-zm-lg-new.webp,1,electronics,mobile accessories,0.0,Africa/Cairo,Kingston,unknown,128GB,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,170437,05:04:37,17:04:37,5,17,4,37,PM,false,true,evening,false,false,true,false,false,false,false,false
"Kemei Men's Rechargeable Hair Clipper, LCD Display, Silver, KM-1948",800.0,800.0,https://elghazawy.com/en/product/12533352857949/Kemei+Men%27s+Rechargeable+Hair+Clipper%2C+LCD+Display%2C+Silver%2C+KM-1948,https://elghazawy.b-cdn.net/181917/makyn-hlak--1.webp,1,health & beauty,hair care,0.0,Africa/Cairo,Kemei,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,172826,05:28:26,17:28:26,5,17,28,26,PM,false,true,evening,false,false,true,false,false,false,false,false
ESSENCE 24 EVER INK LINER 01,280.0,280.0,https://elghazawy.com/en/product/12533352858652/ESSENCE+24+EVER+INK+LINER+01,https://elghazawy.b-cdn.net/83523/4059729002204.webp,1,health & beauty,eye liner,0.0,Africa/Cairo,Essence,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173426,05:34:26,17:34:26,5,17,34,26,PM,false,true,evening,false,false,true,false,false,false,false,false
"Fast Mobile Charger , Wall Charger with Cable, White , RP-U35",95.0,95.0,https://elghazawy.com/en/product/12533352859504/Fast+Mobile+Charger+%2C+Wall+Charger+with+Cable%2C+White+%2C+RP-U35,https://elghazawy.b-cdn.net/95498/shahn-RP-U35.webp,1,electronics,mobile accessories,0.0,Africa/Cairo,Fast,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,170042,05:00:42,17:00:42,5,17,0,42,PM,false,true,evening,false,false,true,false,false,false,false,false
"Wellsun Stand Fan, 18 Inch, Black x Orange, UR-ISE18",2599.0,2599.0,https://elghazawy.com/en/product/12533352860361/Wellsun+Stand+Fan%2C+18+Inch%2C+Black+x+Orange%2C+UR-ISE18,https://elghazawy.b-cdn.net/80593/1.webp,1,small appliances,small appliances,0.0,Africa/Cairo,Wellsun,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,171449,05:14:49,17:14:49,5,17,14,49,PM,false,true,evening,false,false,true,false,false,false,false,false
PINK DOSE ROCKET SPONGE PINK,225.0,225.0,https://elghazawy.com/en/product/12533352860667/PINK+DOSE+ROCKET+SPONGE+PINK,https://elghazawy.b-cdn.net/72029/88.webp,1,health & beauty,cleaning tools,0.0,Africa/Cairo,Pink,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173832,05:38:32,17:38:32,5,17,38,32,PM,false,true,evening,false,false,true,false,false,false,false,false
"MAYBELLINE SUPER STAY MATTE INK, 170 Initiator",540.0,540.0,https://elghazawy.com/en/product/12533352862242/MAYBELLINE+SUPER+STAY+MATTE+INK%2C+170+Initiator,https://elghazawy.b-cdn.net/56982/1.jpg,1,health & beauty,lipstick,0.0,Africa/Cairo,Maybelline,unknown,nan,elghazawy,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,173406,05:34:06,17:34:06,5,17,34,6,PM,false,true,evening,false,false,true,false,false,false,false,false
