product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Air Fryer Fresh 2 Door 9 L /FAF-D2400B,7568.6,9230.0,https://fresh.com.eg/en/product/air-fryer-fresh-2-door-9-l-faf-d2400b,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/-/2-door_1_.jpg,1,small appliances,fryers,9.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1661.3999999999996,17.999999999999996,1,L,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Oven Fresh 20 L / FAO-1500,3784.31,4615.01,https://fresh.com.eg/en/product/air-fryer-fresh-2-door-9-l-faf-d2400b-1,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/o/v/oven_air_fryer.jpg,1,small appliances,fryers,20.0,Africa/Cairo,Fresh,unknown,unknown,fresh,830.7000000000003,17.99996099683425,1,L,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh X-Large /AFF-1800B,4600.2,5610.0,https://fresh.com.eg/en/product/air-fryer-fresh-5-5-l-black-aff-1800b,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/i/air_fryer_fresh_5.5_l_black_aff-1800b.png,1,small appliances,fryers,0.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1009.8000000000002,18.000000000000004,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh Steam /FAF-D1500GM,8294.3,10115.0,https://fresh.com.eg/en/product/air-fryer-fresh-steam-faf-d1500gm,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/i/air_fryer_steam_2_4_.jpeg,1,small appliances,fryers,1500.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1820.7000000000007,18.000000000000007,1,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh Steam /FAF-D1500W,8294.3,10115.0,https://fresh.com.eg/en/product/air-fryer-fresh-steam-faf-d1500w,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/p/i/picture1.jpg,1,small appliances,fryers,1500.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1820.7000000000007,18.000000000000007,1,W,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh X-Large /FAF-M1800,4542.8,5540.0,https://fresh.com.eg/en/product/air-fryer-fresh-x-large-faf-m1800b,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/h/thumbnail_air-fryer-mech.jpg,1,small appliances,fryers,0.0,Africa/Cairo,Fresh,unknown,unknown,fresh,997.1999999999998,17.999999999999996,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh X-Large Gold /FAF-1800G,4550.99,5550.0,https://fresh.com.eg/en/product/air-fryer-fresh-x-large-gold-faf-1800g,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/i/air-fryer-mechanical-gold_2_.jpg,1,small appliances,fryers,1800.0,Africa/Cairo,Fresh,unknown,unknown,fresh,999.0100000000002,18.000180180180184,1,G,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Fresh X-Large White /AFF-1800W,4600.2,5610.0,https://fresh.com.eg/en/product/air-fryer-fresh-x-large-white-aff-1800w,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/i/air-fryer-gold.jpg,1,small appliances,fryers,1800.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1009.8000000000002,18.000000000000004,1,W,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Oven Fresh 25 L 1600 W / F-25,5178.3,6315.0,https://fresh.com.eg/en/product/air-fryer-oven-fresh-25-l-1600-w-f-25,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/o/v/oven-airfryer-s_2_.jpg,1,small appliances,fryers,25.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1136.6999999999998,17.999999999999996,1,L,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Air Fryer Oven Fresh 25 L Black - 1600 W / F-25 BL LED,6170.5,7525.0,https://fresh.com.eg/en/product/air-fryer-oven-fresh-25-l-black-1600-w-f-25-bl-led,https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/o/v/oven-airfryer_1_.jpg,1,small appliances,fryers,25.0,Africa/Cairo,Fresh,unknown,unknown,fresh,1354.5,18.0,1,L,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,160424,04:04:24,16:04:24,4,16,4,24,PM,false,true,afternoon,false,true,false,false,false,false,false,false
