product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
2 Pieces Arena Unisex Ear Plug - NS / White / UNISEX,649.0,649.0,https://eg.gosportme.com/products/000029126,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029126-1.jpg?v=1740483065,1,sports & fitness,ear protection,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125242,12:52:42,12:52:42,12,12,52,42,PM,false,true,afternoon,false,true,false,false,false,false,false,false
2 Pieces Arena Unisex Ear Plug - NS / Blue / UNISEX,649.0,649.0,https://eg.gosportme.com/products/000029127,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029127-1.jpg?v=1740483068,1,ear plug,ear plug,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125242,12:52:42,12:52:42,12,12,52,42,PM,false,true,afternoon,false,true,false,false,false,false,false,false
2 Pieces Arena Unisex Ear Plug - NS / Pink / UNISEX,649.0,649.0,https://eg.gosportme.com/products/000029129,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029129-1.jpg?v=1740483071,1,sports & fitness,ear protection,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125242,12:52:42,12:52:42,12,12,52,42,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Logo Moulded Silicone Cap - NS / Silver / UNISEX,999.0,999.0,https://eg.gosportme.com/products/001912101,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/001912101-1.jpg?v=1740483073,1,fashion accessories,fashion accessories,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125244,12:52:44,12:52:44,12,12,52,44,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Logo Moulded Silicone Cap - NS / Black / UNISEX,999.0,999.0,https://eg.gosportme.com/products/001912102,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/001912102-1.jpg?v=1740483076,1,headwear - cap,cap,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125244,12:52:44,12:52:44,12,12,52,44,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Arena Printed Kickboard Camo Kikko - NS / MultiColor / UNISEX,1999.0,1999.0,https://eg.gosportme.com/products/002024109,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/002024109-1.jpg?v=1740483081,1,swimwear,swimwear,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125242,12:52:42,12:52:42,12,12,52,42,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Boy's Swim Briefs Graphic - 8-9 / Black / JUNIOR,1199.0,1199.0,https://eg.gosportme.com/products/005547530,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/005547530-1.jpg?v=1740483099,1,swimwear,swim briefs,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125243,12:52:43,12:52:43,12,12,52,43,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Boy's Swim Briefs Graphic - 8-9 / Navy / JUNIOR,1099.0,1099.0,https://eg.gosportme.com/products/005547780,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/005547780-1.jpg?v=1740483111,1,junior,junior clothing,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125243,12:52:43,12:52:43,12,12,52,43,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Pro Solid Girls Swimsuit - 8-9 / Navy / JUNIOR,1649.0,1649.0,https://eg.gosportme.com/products/005755750,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/005755750-1.jpg?v=1740483115,1,swimsuit,girls swimwear,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125245,12:52:45,12:52:45,12,12,52,45,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Boy's Carnival Swim Jammer - 8-9 / Black / JUNIOR,1839.0,2299.0,https://eg.gosportme.com/products/005999550,https://cdn.shopify.com/s/files/1/0581/9940/8663/files/005999550-1.jpg?v=1740483138,1,swim shorts,swim shorts,0.0,Africa/Cairo,Arena,unknown,unknown,gosport,460.0,20.008699434536755,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,125243,12:52:43,12:52:43,12,12,52,43,PM,false,true,afternoon,false,true,false,false,false,false,false,false
