product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
10 Roses,735.0,735.0,https://gourmetegypt.com/10-roses,"https://gourmetegypt.com/media/catalog/product/6/0/6028092000009.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,fresh produce,fryers,0.0,Africa/Cairo,unbranded,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
3D Figurine Tumbler Spiderman,449.0,449.0,https://gourmetegypt.com/3d-figurine-tumbler-spiderman,"https://gourmetegypt.com/media/catalog/product/8/4/8412497747665.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,kitchen & dining,tableware & serveware,0.0,Africa/Cairo,unbranded,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Home 6 Piece Knife Set & Magnet Stand,2599.0,2599.0,https://gourmetegypt.com/6-piece-knife-set-magnet-stand,"https://gourmetegypt.com/media/catalog/product/9/8/9821315420175.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,garden & outdoors,cookware & bakeware,0.0,Africa/Cairo,unbranded,unknown,unknown,gourmet,0.0,0.0,0,Piece,6.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
7Up Bottle,16.0,16.0,https://gourmetegypt.com/7up-bottle,"https://gourmetegypt.com/media/catalog/product/6/2/6223001367109.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,kitchen & dining,beverages,0.0,Africa/Cairo,7up,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
7Up Can,16.0,16.0,https://gourmetegypt.com/7up-can,"https://gourmetegypt.com/media/catalog/product/6/2/6223001362081.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,beverages,beverages,0.0,Africa/Cairo,7up,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
7Up Extra Fizz PET,10.0,10.0,https://gourmetegypt.com/7up-extra-fizz-pet,"https://gourmetegypt.com/media/catalog/product/6/2/6223001367420.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,pet supplies,soft drinks,0.0,Africa/Cairo,7up,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
7Up Free PET,35.0,35.0,https://gourmetegypt.com/7up-free-pet,missing_url,1,pet supplies,beverages,0.0,Africa/Cairo,7up,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
7Up Pet,12.0,12.0,https://gourmetegypt.com/7up-pet,"https://gourmetegypt.com/media/catalog/product/6/2/6223001367093.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,pet supplies,soft drinks,0.0,Africa/Cairo,7up,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Atayef Savory Cheese,155.0,155.0,https://gourmetegypt.com/aatayef-savory-cheese,"https://gourmetegypt.com/media/catalog/product/7/0/7026556680513.4.png?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=&format=jpeg",1,promotions,cheese & labneh,0.0,Africa/Cairo,unbranded,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Abu Auf Maamoul Date & Cinnamon,10.0,10.0,https://gourmetegypt.com/abu-auf-maamoul-date-cinnamon,"https://gourmetegypt.com/media/catalog/product/6/2/6223006311305_1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=",1,bakery,bakery & pastry,0.0,Africa/Cairo,abu auf,unknown,unknown,gourmet,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
