product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Yopolis 0.2% Fat Greek Yogurt - 150g,36.5,36.5,https://www.hyperone.com.eg/en/product/0-150-6224010623309,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224010623309-150g.jpg,1,dairy & eggs,cheese & labneh,150.0,Africa/Cairo,yopolis,unknown,unknown,hyperone,0.0,0.0,0,G,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,201822,08:18:22,20:18:22,8,20,18,22,PM,false,true,evening,false,false,true,false,false,false,false,false
Palette Naturals Medium Blonde Hair Dye Number 7-0,136.948,136.948,https://www.hyperone.com.eg/en/product/0-7-6281031246429,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6281031246429-1.png,1,health & beauty,hair care,0.0,Africa/Cairo,palette,unknown,unknown,hyperone,0.0,0.0,0,Piece,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202730,08:27:30,20:27:30,8,20,27,30,PM,false,true,evening,false,false,true,false,false,false,false,false
M&G Mechanical Pencil + 0.7mm Refill,55.005,55.005,https://www.hyperone.com.eg/en/product/0-7-6941025152074,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/9/6941025152074v.jpg,1,toys & games,office supplies > pencils,0.0,Africa/Cairo,m&g,unknown,unknown,hyperone,0.0,0.0,0,Piece,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,203049,08:30:49,20:30:49,8,20,30,49,PM,false,true,evening,false,false,true,false,false,false,false,false
Frozen Themed Kitchen Cooking Play Set,529.997,529.997,https://www.hyperone.com.eg/en/product/048-2030700009285,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/2/0/2030700009285-1.jpg,1,toys & games,games,0.0,Africa/Cairo,unbranded,unknown,unknown,hyperone,0.0,0.0,0,Piece,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,203118,08:31:18,20:31:18,8,20,31,18,PM,false,true,evening,false,false,true,false,false,false,false,false
Enonedear Shooting Ball Pool Tent - 50 Balls,689.005,689.005,https://www.hyperone.com.eg/en/product/064-2030700009353,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/2/0/2030700009353_1.jpg,1,toys & games,games,0.0,Africa/Cairo,enonedear,unknown,unknown,hyperone,0.0,0.0,0,Piece,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,203118,08:31:18,20:31:18,8,20,31,18,PM,false,true,evening,false,false,true,false,false,false,false,false
Palette Hair Dye - Black Diamond - Number 1-0,94.951,114.946,https://www.hyperone.com.eg/en/product/1-0-20-6221143043134,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6221143043134.png,1,health & beauty,hair care,50.0,Africa/Cairo,palette,unknown,unknown,hyperone,19.995000000000005,17.395124667235056,1,Ml,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202730,08:27:30,20:27:30,8,20,27,30,PM,false,true,evening,false,false,true,false,false,false,false,false
Rapido Screen Cleaner - 1L x 2 Pieces,100.001,100.001,https://www.hyperone.com.eg/en/product/1-1-1-6223000236482,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223000236482a1l.jpg,1,garden & outdoors,home & garden,1.0,Africa/Cairo,rapido,unknown,unknown,hyperone,0.0,0.0,0,L,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202847,08:28:47,20:28:47,8,20,28,47,PM,false,true,evening,false,false,true,false,false,false,false,false
Palette Hair Dye - Blue Black - Number 1-1,94.951,114.946,https://www.hyperone.com.eg/en/product/1-1-20-6221143043158,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6221143043158.png,1,health & beauty,hair care,50.0,Africa/Cairo,palette,unknown,unknown,hyperone,19.995000000000005,17.395124667235056,1,Ml,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202730,08:27:30,20:27:30,8,20,27,30,PM,false,true,evening,false,false,true,false,false,false,false,false
Dettol Bathroom Power Cleaner - 500ml + Dettol Rose All Purpose Cleaner - 500ml,477.95,549.95,https://www.hyperone.com.eg/en/product/1-1-40-6295120038406,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6295120038406aaa.png,1,cleaning and household,household cleaners,500.0,Africa/Cairo,dettol,unknown,unknown,hyperone,72.00000000000006,13.092099281752894,1,Ml,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202128,08:21:28,20:21:28,8,20,21,28,PM,false,true,evening,false,false,true,false,false,false,false,false
Fisherman Black Caviar - 100g,384.955,384.955,https://www.hyperone.com.eg/en/product/1-100-6224009010479,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224009010479_100g.jpg,1,"meat, poultry & fishery",fish & seafood,100.0,Africa/Cairo,fisherman,unknown,unknown,hyperone,0.0,0.0,0,G,1.0,1,0,0,20260609,2026-06-09,9,2026,6,2,June,Tuesday,2,160,24,false,0,N/A,true,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,202657,08:26:57,20:26:57,8,20,26,57,PM,false,true,evening,false,false,true,false,false,false,false,false
