product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"Arena Powerskin Carbon Air2 Jammer Short For Men, Electric Blue&Dark Grey",15999.0,15999.0,https://www.intersport.com.eg/products/001130853-con-blgy-arena-powerskin-carbon-air2-jammer-short-for-men,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/001130853-CON-BLGY_5.png?v=1773485629,1,swimwear,swimwear,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Cobra Ultra Swipe Mr Goggles For Unisex,4999.0,4999.0,https://www.intersport.com.eg/products/002507120-con-vico-arena-cobra-ultra-swipe-mr-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/002507120-CON-VICO_2.png?v=1772532558,1,swim goggles,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Cobra Ultra Swipe Mr Goggles For Unisex,4999.0,4999.0,https://www.intersport.com.eg/products/002507130-con-empe-arena-cobra-ultra-swipe-mr-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/002507130-CON-EMPE_3.png?v=1772532581,1,swim goggles,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Air-Speed Goggles For Unisex,2199.0,2199.0,https://www.intersport.com.eg/products/003150102-con-blwh-arena-air-speed-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/003150102-CON-BLWH_1.png?v=1772532626,1,swimwear,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Air-Speed Goggles For Unisex,2199.0,2199.0,https://www.intersport.com.eg/products/003150103-con-smpr-arena-air-speed-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/003150103-CON-SMPR_1.png?v=1772532649,1,swimwear,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Reversible Cap For Unisex,1399.0,1399.0,https://www.intersport.com.eg/products/003786180-con-aqsp-arena-reversible-cap-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/003786180-CON-AQSP_3.png?v=1772532698,1,headwear,tv accessories,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Cobra Ultra Swipe Goggles For Unisex,4399.0,4399.0,https://www.intersport.com.eg/products/003929565-con-smab-arena-cobra-ultra-swipe-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/003929565-CON-SMAB.png?v=1772532751,1,swim goggles,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Cobra Ultra Swipe Goggles For Unisex,4399.0,4399.0,https://www.intersport.com.eg/products/003929600-con-dsbb-arena-cobra-ultra-swipe-goggles-for-unisex,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/003929600-CON-DSBB_1.png?v=1772532784,1,swim goggles,swim goggles,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Men'S Crazy Arena Swim Low Waist Short For Men,2499.0,2499.0,https://www.intersport.com.eg/products/004663550-con-bkbm-arena-mens-crazy-arena-swim-low-waist-short-for-men,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/004663550-CON-BKBM_4.png?v=1772532858,1,swimwear,swimwear,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
Arena Girls Team Swimsuit Challenge One Piece For Girls,1999.0,1999.0,https://www.intersport.com.eg/products/004765550-con-bkbm-arena-girls-team-swimsuit-challenge-one-piece-for-girls,https://cdn.shopify.com/s/files/1/0676/9613/2316/files/004765550-CON-BKBM_1.png?v=1772532894,1,swimwear,swimwear,2.0,Africa/Cairo,Arena,unknown,unknown,intersport,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,190954,07:09:54,19:09:54,7,19,9,54,PM,false,true,evening,false,false,true,false,false,false,false,false
