product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
10 PCS Multipurpose Wire Dishwashing Rags Non Scratch Dish Scrubbing Cloth Reusable Kitchen Cleaning Dish Towels Dish Cloths Multipurpose Wire Dishwashing Rags for Wet and Dry,150.0,150.0,https://www.jumia.com.eg/10-pcs-multipurpose-wire-dishwashing-rags-non-scratch-dish-scrubbing-cloth-reusable-kitchen-cleaning-dish-towels-dish-cloths-multipurpose-wire-dishwashing-rags-for-wet-and-dry-generic-mpg3925960.html,missing_url,1,cleaning and household,cleaning tools,0.0,Africa/Cairo,sabl,unknown,unknown,jumia,0.0,0.0,0,Pcs,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
100 Pcs Horse Stickers Pack Horse Decor Party favors Horse Riding Stickers for Water Bottle Laptop Scrapbook Cool Horse Themed Stickers for Girls Women Kids,630.0,630.0,https://www.jumia.com.eg/100-pcs-horse-stickers-pack-horse-decor-party-favors-horse-riding-stickers-for-water-bottle-laptop-scrapbook-cool-horse-themed-stickers-for-girls-women-kids-generic-mpg3926579.html,missing_url,1,pet supplies,pet supplies,0.0,Africa/Cairo,cool,unknown,unknown,jumia,0.0,0.0,0,Pcs,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
12pcs Gel Bronzer Pens Assorted Colors,160.0,160.0,https://www.jumia.com.eg/12pcs-gel-bronzer-pens-assorted-colors-generic-mpg3904170.html,missing_url,1,office supplies,office supplies,0.0,Africa/Cairo,bronze,unknown,unknown,jumia,0.0,0.0,0,Pcs,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Jvc 2-way 210 Watt Speakers - CS-J420X 4in,1500.0,1500.0,https://www.jumia.com.eg/2-way-210-watt-speakers-cs-j420x-4in-jvc-mpg3823265.html,missing_url,1,automotive > car electronics > speakers & subwoofers,shavers,0.0,Africa/Cairo,rs,unknown,unknown,jumia,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2k Sid Meier's Civilization VII - PS5,3589.0,3589.0,https://www.jumia.com.eg/2k-sid-meiers-civilization-vii-ps5-134101309.html,missing_url,1,computers & accessories,gaming,0.0,Africa/Cairo,liza,unknown,unknown,jumia,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2pcs Metal Ruler 30cm & 20cm (high Quality),108.0,108.0,https://www.jumia.com.eg/2pcs-metal-ruler-30cm-20cm-high-quality-generic-mpg3848483.html,missing_url,1,office supplies,office supplies,0.0,Africa/Cairo,quality,unknown,unknown,jumia,0.0,0.0,0,Pcs,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
3-in-1 Baby Walker,1450.0,2500.0,https://www.jumia.com.eg/3-in-1-baby-walker-generic-mpg3894791.html,missing_url,1,baby products,baby products,0.0,Africa/Cairo,ulker,unknown,unknown,jumia,1050.0,42.0,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
3 Pack Heavy Duty Plastic Pants Hangers Multicolor,175.0,230.0,https://www.jumia.com.eg/3-pack-heavy-duty-plastic-pants-hangers-multicolor-generic-mpg3906339.html,missing_url,1,home essentials,exchange,0.0,Africa/Cairo,multicolor,unknown,unknown,jumia,55.0,23.91304347826087,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
3 Pcs Of Stainless Steel Wire,90.0,90.0,https://www.jumia.com.eg/3-pcs-of-stainless-steel-wire-generic-mpg3848206.html,missing_url,1,cleaning and household,home and kitchen,0.0,Africa/Cairo,steel,unknown,unknown,jumia,0.0,0.0,0,Pcs,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
3-Piece Round Pyrex Glass Food Storage Set with Airtight Bamboo Lids and Silicone Gaskets - Food Storage Containers for Refrigerator and Kitchen - Multi-Purpose Food Storage Containers in Three Different Sizes,590.0,590.0,https://www.jumia.com.eg/3-piece-round-pyrex-glass-food-storage-set-with-airtight-bamboo-lids-and-silicone-gaskets-food-storage-containers-for-refrigerator-and-kitchen-multi-purpose-food-storage-containers-in-three-different-sizes-generic-mpg3916715.html,missing_url,1,industrial & scientific,storage & waste,0.0,Africa/Cairo,pyrex,unknown,unknown,jumia,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Milk Milk Women's Cotton Underwear - 3 Pieces,158.0,699.0,https://www.jumia.com.eg/3-underwear-cotton-for-women-milk-mpg905573.html,missing_url,1,women's fashion,men's fashion,0.0,Africa/Cairo,cott,unknown,unknown,jumia,541.0,77.39628040057225,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
