product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Lenovo IdeaPad flex 3 -1570 Laptop Internal Keyboard,275.0,275.0,https://kimostore.net/products/063f7aa8-9f72-4a75-838d-5380eb133eda,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/LenovoIdeaPadflex3-1570LaptopInternalKeyboard_1.jpg?v=1754826945,1,computers & accessories,computer accessories,1570.0,Africa/Cairo,Lenovo,unknown,unknown,kimostore,0.0,0.0,0,L,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
ESD Front Phone Screen Protector Glass iPhone 15,95.0,95.0,https://kimostore.net/products/09ac1693-efa4-4419-b7fa-c5a59f8bf680,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/ESDFrontPhoneScreenProtectorGlassiPhone15_2.jpg?v=1778684942,1,electronics,mugs & cups,0.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Front Tablet Screen Protector Transparent Samsung Tab A T580 10.1 Inch,35.0,35.0,https://kimostore.net/products/0acee8d6-ef29-48c2-9e52-535194cdd628,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/FrontTabletScreenProtectorTransparentSamsungTabAT58010.1Inch.jpg?v=1779105676,1,electronics,vegetables,10.1,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
14.0 Inch 30 Pin Slim LED Laptop Monitor,1250.0,1250.0,https://kimostore.net/products/14-0-inch-30-pin-slim-led-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/14.0Inch30PinSlimLEDLaptopMonitor_1_75b14da3-b48c-471b-89f8-407f4d1b3b53.jpg?v=1776687316,1,computers & accessories,computer accessories,14.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
14.0 Inch 40 Pin LED Laptop Monitor,1199.0,1199.0,https://kimostore.net/products/14-0-inch-40-pin-led-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/14.0Inch40PinLEDLaptopMonitor.jpg?v=1765377227,1,computers & accessories,computer accessories,14.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
13.3 Inch 40 Pin LED Laptop Monitor Used,650.0,650.0,https://kimostore.net/products/14-0-inch-40-pin-led-laptop-monitor-used,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/13.3Inch40PinLEDLaptopMonitorUsed_1.jpg?v=1758546986,1,computers & accessories,computer accessories,13.3,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
14.0 Inch 40 Pin LED Laptop Monitor (Used),600.0,600.0,https://kimostore.net/products/14-0-inch-40-pin-led-laptop-monitor-used-1,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/14.0Inch40PinLEDLaptopMonitor_Used.jpg?v=1767898018,1,computers & accessories,computer accessories,14.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
14.0 Inch 40 Pin Slim LED Laptop Monitor,1199.0,1199.0,https://kimostore.net/products/14-0-inch-40-pin-slim-led-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/14.0Inch40PinSlimLEDLaptopMonitor_1.jpg?v=1774788208,1,computers & accessories,computer accessories,14.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 30 Pin Slim LED FHD Frameless Laptop Monitor,2099.0,2099.0,https://kimostore.net/products/15-6-inch-30-pin-slim-led-fhd-frameless-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15.6Inch30PinSlimLEDFHDFramelessLaptopMonitor_2_fa2abb72-6cd7-49e3-9f82-4db50a4a38ff.jpg?v=1763300234,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 30 Pin Slim LED FHD Laptop Monitor,1849.0,1849.0,https://kimostore.net/products/15-6-inch-30-pin-slim-led-fhd-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15.6Inch30PinSlimLEDFHDLaptopMonitor_4.jpg?v=1762264573,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 30 Pin Slim LED HD Frameless Laptop Monitor,1799.0,1799.0,https://kimostore.net/products/15-6-inch-30-pin-slim-led-hd-frameless-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15.6Inch30PinSlimLEDHDFramelessLaptopMonitor.jpg?v=1767009229,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130855,01:08:55,13:08:55,1,13,8,55,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 30 Pin Slim LED Laptop Monitor,1299.0,1299.0,https://kimostore.net/products/15-6-inch-30-pin-slim-led-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/products/15-6-inch-30-pin-slim-led-laptop-monitor-kimo-store-1.jpg?v=1715034912,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 40 Pin FHD Frameless 144Hz Laptop Monitor,3499.0,3499.0,https://kimostore.net/products/15-6-inch-40-pin-fhd-frameless-144hz-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15.6Inch40PinFHDFrameless144HzLaptopMonitor_29650a12-d30a-4a00-b5ce-ef8417de089c.jpg?v=1764516060,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 40 Pin LED Laptop Monitor ( R ),999.0,999.0,https://kimostore.net/products/15-6-inch-40-pin-led-laptop-monitor-refurb,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15-6-inch-40-pin-led-laptop-monitor-refurb-kimo-store-1.jpg?v=1717975584,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
15.6 Inch 40 Pin Slim LED FHD Laptop Monitor,2199.0,2199.0,https://kimostore.net/products/15-6-inch-40-pin-slim-led-fhd-laptop-monitor,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/15.6Inch40PinSlimLEDFHDLaptopMonitor.jpg?v=1716752896,1,computers & accessories,computer accessories,15.6,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Inch,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1500 32-70 Inch Mobile TV Trolley,1999.0,1999.0,https://kimostore.net/products/1500-32-70-inch-mobile-tv-trolley,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/150032-70InchMobileTVTrolley.png?v=1776859064,1,tvs & audio,tv,50.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1700 32-70 Inch Mobile TV Trolley,2300.0,2300.0,https://kimostore.net/products/1700-32-70-inch-mobile-tv-trolley,https://cdn.shopify.com/s/files/1/0554/5594/0776/files/170032-70InchMobileTVTrolley_5_647a5b39-d267-4c8e-8337-bff57be7aa2d.jpg?v=1776946392,1,tvs & audio,tv,50.0,Africa/Cairo,Generic,unknown,unknown,kimostore,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,130856,01:08:56,13:08:56,1,13,8,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
