product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Elwaha Sandwich Bag Rolls (32x20cm),61.95,61.95,"\"https://mahmoudelfar.com/en/products/الواحة-رول-اكياس-ساندوتش-\"\"-150-كيس-\"\"-20×329634000048239\"",https://elfarblobprod.blob.core.windows.net/elfar/product/20275/trimmed_1766505539_177417.webp,1,small appliances,kitchen tools,0.0,Africa/Cairo,ls,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Piece,150.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"1.4-لتر-بنفسجي-8803733312363\"",0.0,0.0,Kitchen,920 ml,0,,,0.0,unknown,6,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Piece,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201641,08:16:41,20:16:41,8,20,16,41,PM,false,true,evening,false,false,true,false,false,false,false,false
Sunsilk Soft Shampoo,73.5,81.5,https://mahmoudelfar.com/en/products/%صانسيلك-شامبو-سوفت-350مل-خصم-20-6221155063281,https://elfarblobprod.blob.core.windows.net/elfar/product/26328/trimmed_1766506857_182516.webp,1,health & beauty,hair care,400.0,Africa/Cairo,sunsilk,unknown,unknown,mahmoud_elfar,8.0,9.815950920245399,1,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Tea Break Adan Chai Instant Mix with Ginger - flavors free,12.0,12.95,https://mahmoudelfar.com/en/products/&nbsp;تى-بريك-شاى-عدن-25-جم,https://elfarblobprod.blob.core.windows.net/elfar/product/9880/trimmed_1766500392_163647.webp,1,beverages,tea,25.0,Africa/Cairo,tea break,unknown,unknown,mahmoud_elfar,0.9499999999999993,7.335907335907331,1,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Sanita Biodegradable XL Black Garbage Bags (80x110cm),135.75,135.75,https://mahmoudelfar.com/en/products/-سانيتا-اكياس-قمامة-110*-80سم-كبير-جدا-20-كيس-,https://demostorageasmio.blob.core.windows.net/elfartesting/photo/6222022100863.jpg,1,grocery,travel bag,0.0,Africa/Cairo,sanita,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,142011,02:20:11,14:20:11,2,14,20,11,PM,false,true,afternoon,false,true,false,false,false,false,false,false
3A Paper Push Pins Point 8mm x 23mm - 60 piece,41.0,41.0,https://mahmoudelfar.com/en/products/3A-دبابيس-دفع-8-مم-×-23-مم-60-قطعة-6970873951539,https://elfarblobprod.blob.core.windows.net/elfar/product/46260/trimmed_1766509271_200873.webp,1,office supplies,setting spray,0.0,Africa/Cairo,c,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Piece,60.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Fresco Premium Eastern Sausage 900 g,418.95,418.95,https://mahmoudelfar.com/en/products/6221058018449-فريسكو-سجق-شرقي-بريميوم-900-جم,https://elfarblobprod.blob.core.windows.net/elfar/product/37026/trimmed_1766508337_194017.webp,1,"meat, poultry & fishery",meat,900.0,Africa/Cairo,eastern,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Abo Auf Instant Coffee Gold 85 g,209.95,211.95,https://mahmoudelfar.com/en/products/6223004760198-ابوعوف-قهوة-سريعة-التحضير-جولد-85-جم,https://elfarblobprod.blob.core.windows.net/elfar/product/37017/trimmed_1766508336_194008.webp,1,coffee,coffee,85.0,Africa/Cairo,insta,unknown,unknown,mahmoud_elfar,2.0,0.9436187780136825,1,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Abo Auf Instant Coffee Gold 45 g,94.95,115.5,https://mahmoudelfar.com/en/products/6223004760211-ابوعوف-قهوة-سريعة-التحضير-جولد-45-جم,https://elfarblobprod.blob.core.windows.net/elfar/product/37016/trimmed_1766508336_194007.webp,1,coffee,coffee,45.0,Africa/Cairo,insta,unknown,unknown,mahmoud_elfar,20.549999999999997,17.79220779220779,1,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Double Dare Watermelon Soft Drink Plastic Bottle 1.25 Liters,34.95,34.95,https://mahmoudelfar.com/en/products/6224008082385-دبل-دير-بطيخ-زجاجة-بلاستكية-1.25-لتر,https://elfarblobprod.blob.core.windows.net/elfar/product/37064/trimmed_1766508338_194045.webp,1,beverages,soft drinks,1.25,Africa/Cairo,slite,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Liter,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Zadna Pistachio Stuffed Dates 200 g,82.95,82.95,https://mahmoudelfar.com/en/products/6224009775194-زادنا-تمر-بالمكسرات-فستق-200-جم,https://elfarblobprod.blob.core.windows.net/elfar/product/37004/trimmed_1766508335_193995.webp,1,snacks & sweets,diabetes,200.0,Africa/Cairo,zadna,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Bounty Chocolate Lantern 22.5 g 4 + 1 Free,47.75,47.75,https://mahmoudelfar.com/en/products/6294001850199-فانوس-باونتى-شوكولاتة-22.5-جم-4-+-1-مجانا,https://elfarblobprod.blob.core.windows.net/elfar/product/37044/trimmed_1766508338_194034.webp,1,snacks & sweets,chocolate & confectionery,22.5,Africa/Cairo,bounty,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Dates Paradise Vacuum Sealed Medjool Dates 900 g,217.75,217.75,https://mahmoudelfar.com/en/products/6333002182240-جنة-التمور-تمر-فاكيوم-مجدول-900-جم,https://demostorageasmio.blob.core.windows.net/elfartesting/fourtynine/6333002182240.jpg,1,snacks & sweets,vacuum cleaners,900.0,Africa/Cairo,medjools,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Gm,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Sahtein Olive Oil 500 ml,609.95,609.95,https://mahmoudelfar.com/en/products/6624000454133-صحتين-زيت-زيتون-500-مل,https://elfarblobprod.blob.core.windows.net/elfar/product/37002/trimmed_1766508325_193993.webp,1,pantry & ingredients,"oil, vinegar & syrups",1.0,Africa/Cairo,ah,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Shakshouka White Organic Eggs Carton Pack 30 Eggs,172.0,172.0,https://mahmoudelfar.com/en/products/721688178705-شكشوكة-بيض-اورجانيك-أبيض-كرتون-30-بيضة,https://elfarblobprod.blob.core.windows.net/elfar/product/39032/trimmed_1766508443_195361.webp,1,dairy & eggs,dairy & eggs,0.0,Africa/Cairo,hit,unknown,unknown,mahmoud_elfar,0.0,0.0,0,Piece,30.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,140010,02:00:10,14:00:10,2,14,0,10,PM,false,true,afternoon,false,true,false,false,false,false,false,false
