product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
18H HD Matte Powder Found 020N,490.5,545.0,https://mazaya.eg/en/18h-hd-matte-powder-found-020n,https://www.mazaya.eg/media/catalog/product/4/0/4059729393784_image_front_view_half_open.png?store=en&image-type=image,1,health & beauty,compact powder,0.0,Africa/Cairo,Catrice,unknown,unknown,mazaya,54.5,10.0,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54737,05:47:37,05:47:37,5,5,47,37,AM,true,false,morning,true,false,false,false,false,false,false,false
1Million ELIXIR PARF INTENSE 200ML,8000.0,8000.0,https://mazaya.eg/en/1million-elixir-parf-intense-200ml,https://www.mazaya.eg/media/catalog/product/3/3/3349668600298.jpg,1,fragrance,perfume,200.0,Africa/Cairo,Paco Rabanne,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54736,05:47:36,05:47:36,5,5,47,36,AM,true,false,morning,true,false,false,false,false,false,false,false
2 in 1 base & top coat,180.0,200.0,https://mazaya.eg/en/2-in-1-base-top-coat,https://www.mazaya.eg/media/catalog/product/4/0/4059729466877_image_front_view_closed.png?store=en&image-type=image,1,health & beauty,nail polish,0.0,Africa/Cairo,Essence,unknown,unknown,mazaya,20.0,10.0,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54736,05:47:36,05:47:36,5,5,47,36,AM,true,false,morning,true,false,false,false,false,false,false,false
20H Ultra Gel Eye Pencil WP 110,234.0,260.0,https://mazaya.eg/en/20h-ultra-gel-eye-pencil-wp-110,https://www.mazaya.eg/media/catalog/product/4/0/4059729444370_image_front_view_full_open.png?store=en&image-type=image,1,health & beauty,gel,0.0,Africa/Cairo,Catrice,unknown,unknown,mazaya,26.0,10.0,1,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54737,05:47:37,05:47:37,5,5,47,37,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP BLACK EDP LE 24 100ML,6900.0,6900.0,https://mazaya.eg/en/212-vip-black-edp-le-24-100ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061093818-.jpg,1,perfume,fragrances,100.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54736,05:47:36,05:47:36,5,5,47,36,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP MAN 200ML EDT,6000.0,6000.0,https://mazaya.eg/en/212-vip-man-200ml-edt,https://www.mazaya.eg/media/catalog/product/8/4/8411061782347-.jpg,1,men's fragrance,perfume,200.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54736,05:47:36,05:47:36,5,5,47,36,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP MEN BLACK EDP-100 ML,7800.0,7800.0,https://mazaya.eg/en/212-vip-men-black-edp-100-ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg,1,men's fragrance,fragrances,100.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54737,05:47:37,05:47:37,5,5,47,37,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP MEN BLACK EDP-50 ML,5900.0,5900.0,https://mazaya.eg/en/212-vip-men-black-edp-50-ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg,1,men's fragrance,fragrances,50.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54737,05:47:37,05:47:37,5,5,47,37,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP MEN EDT 100ML REPACK,5300.0,5300.0,https://mazaya.eg/en/212-vip-men-edt-100ml-repack,https://www.mazaya.eg/media/catalog/product/8/4/8411061723760.jpeg,1,fragrance,perfume,100.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54736,05:47:36,05:47:36,5,5,47,36,AM,true,false,morning,true,false,false,false,false,false,false,false
212 VIP ROSE 125ML,8900.0,8900.0,https://mazaya.eg/en/212-vip-rose-125ml,https://www.mazaya.eg/media/catalog/product/8/4/8411061838778_1.jpg,1,women's perfume,perfume,125.0,Africa/Cairo,Carolina Herrera,unknown,unknown,mazaya,0.0,0.0,0,Ml,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,54735,05:47:35,05:47:35,5,5,47,35,AM,true,false,morning,true,false,false,false,false,false,false,false
