product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"Aboud Coffee Pot Set, 3 Pieces with Stand, M\\L\\XL, with Stand, Stainless Steel - Silver",829.0,949.0,https://meercato.com/en/aboud-coffee-pot-set-3-pieces-with-stand-m-l-xl-with-stand-stainless-steel-silver.html,https://meercato.com/media/catalog/product/6/2/6223005011275_pt_1_.webp,1,beverages,tea,0.88,Africa/Cairo,Aboud,unknown,unknown,meercato,120.0,12.644889357218126,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133240,01:32:40,13:32:40,1,13,32,40,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Coffee Pot Set, 3 Pieces with Stand, S\\M\\L, with Stand, Stainless Steel - Silver",769.0,899.0,https://meercato.com/en/aboud-coffee-pot-set-3-pieces-with-stand-s-m-l-with-stand-stainless-steel-silver.html,https://meercato.com/media/catalog/product/6/2/6223005011282_1_1_.webp,1,beverages,tea,0.78,Africa/Cairo,Aboud,unknown,unknown,meercato,130.0,14.46051167964405,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133241,01:32:41,13:32:41,1,13,32,41,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 16cm, Stainless Steel  with Cover - Silver",899.0,999.0,https://meercato.com/en/aboud-cooking-pot-16cm-stainless-steel-with-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010001_1_.webp,1,kitchen & dining,cookware & bakeware,1.0,Africa/Cairo,Aboud,unknown,unknown,meercato,100.0,10.01001001001001,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133656,01:36:56,13:36:56,1,13,36,56,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 18cm, Stainless Steel with Cover - Silver",1049.0,1199.0,https://meercato.com/en/aboud-cooking-pot-18cm-stainless-steel-with-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010018_1_.webp,1,kitchen & dining,cookware & bakeware,1.35,Africa/Cairo,Aboud,unknown,unknown,meercato,150.0,12.51042535446205,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133654,01:36:54,13:36:54,1,13,36,54,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 20cm, Stainless Steel with Stainless Steel Cover -  Silver",1149.0,1299.0,https://meercato.com/en/aboud-cooking-pot-20cm-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010025-pt_1_.webp,1,kitchen & dining,cookware & bakeware,1.535,Africa/Cairo,Aboud,unknown,unknown,meercato,150.0,11.547344110854503,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133719,01:37:19,13:37:19,1,13,37,19,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 22cm, Stainless Steel with Stainless Steel Cover - Silver",1269.0,1399.0,https://meercato.com/en/aboud-cooking-pot-22cm-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010032-pt_1_.webp,1,kitchen & dining,cookware & bakeware,1.8,Africa/Cairo,Aboud,unknown,unknown,meercato,130.0,9.292351679771265,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133719,01:37:19,13:37:19,1,13,37,19,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 24cm, Stainless Steel with Stainless Steel Cover - Silver",1499.0,1599.0,https://meercato.com/en/aboud-cooking-pot-24cm-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010049-pt_3_.webp,1,kitchen & dining,cookware & bakeware,2.225,Africa/Cairo,Aboud,unknown,unknown,meercato,100.0,6.2539086929330825,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133721,01:37:21,13:37:21,1,13,37,21,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 26cm, Stainless Steel with Cover - Silver",1699.0,1899.0,https://meercato.com/en/aboud-cooking-pot-26cm-stainless-steel-with-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010056_1_.webp,1,kitchen & dining,cookware & bakeware,2.545,Africa/Cairo,Aboud,unknown,unknown,meercato,200.0,10.5318588730911,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133653,01:36:53,13:36:53,1,13,36,53,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 28cm, Stainless Steel with Stainless Steel Cover - Silver",1999.0,2199.0,https://meercato.com/en/aboud-cooking-pot-28cm-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010063-pt.webp,1,kitchen & dining,cookware & bakeware,2.825,Africa/Cairo,Aboud,unknown,unknown,meercato,200.0,9.095043201455207,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133723,01:37:23,13:37:23,1,13,37,23,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cooking Pot, 32cm, Stainless Steel with Stainless Steel Cover - Silver",2649.0,2899.0,https://meercato.com/en/aboud-cooking-pot-32cm-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010087-pt_2_.webp,1,kitchen & dining,cookware & bakeware,4.21,Africa/Cairo,Aboud,unknown,unknown,meercato,250.0,8.623663332183511,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133725,01:37:25,13:37:25,1,13,37,25,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cookware Set, 10 Pieces, Stainless Steel, Round with Dome-shaped, Stainless Steel Cover - Silver",6999.0,7699.0,https://meercato.com/en/aboud-cookware-set-10-pieces-stainless-steel-round-with-dome-shaped-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005011381_1_.webp,1,kitchen & dining,cookware,11.39,Africa/Cairo,Aboud,unknown,unknown,meercato,700.0,9.092089881802831,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133350,01:33:50,13:33:50,1,13,33,50,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cookware Set, 10 Pieces, Stainless Steel Cylnderical Shap Pot with Stainless Steel Flat Lid with a triangular handle - Sizes (16,18, 20, 24, 28) - Silver",6549.0,7199.0,https://meercato.com/en/aboud-cookware-set-10-pieces-stainless-steel-with-stainless-steel-cover-silver-1.html,https://meercato.com/media/catalog/product/6/2/6223005011411_5_.webp,1,kitchen & dining,cookware,10.44,Africa/Cairo,Aboud,unknown,unknown,meercato,650.0,9.029031809973608,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133729,01:37:29,13:37:29,1,13,37,29,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud, Cookware Set, 10 Pieces, Stainless Steel with Stainless Steel Cover - Silver",7999.0,7999.0,https://meercato.com/en/aboud-cookware-set-10-pieces-stainless-steel-with-stainless-steel-cover-silver-2.html,https://meercato.com/media/catalog/product/6/2/6223005012210_4_.webp,1,kitchen & dining,cookware,11.75,Africa/Cairo,Aboud,unknown,unknown,meercato,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133730,01:37:30,13:37:30,1,13,37,30,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cookware Set, 10 Pieces, Stainless Steel Round with Dome-shaped Stainless Steel Cover - Silver",6499.0,6999.0,https://meercato.com/en/aboud-cookware-set-10-pieces-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010223_2_.webp,1,kitchen & dining,cookware,10.815,Africa/Cairo,Aboud,unknown,unknown,meercato,500.0,7.1438776968138304,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133727,01:37:27,13:37:27,1,13,37,27,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cookware Set, 8 Pieces, Stainless Steel Cylnderical Shap Pot, with Stainless Steel Flat Lid with a Triangular Handle, Sizes (16,18, 20, 24, 28) - Silver",5149.0,5799.0,https://meercato.com/en/aboud-cookware-set-8-pieces-stainless-steel-cylnderical-shap-pot-with-stainless-steel-flat-lid-with-a-triangular-handle-sizes-16-18-20-24-28-silver.html,https://meercato.com/media/catalog/product/6/2/6223005012012_5_.webp,1,kitchen & dining,cookware,7.89,Africa/Cairo,Aboud,unknown,unknown,meercato,650.0,11.208829108466976,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133348,01:33:48,13:33:48,1,13,33,48,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Cookware Set, 8 Pieces, Stainless Steel with Stainless Steel Cover - Silver",4899.0,5499.0,https://meercato.com/en/aboud-cookware-set-8-pieces-stainless-steel-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005012029_1_.webp,1,kitchen & dining,cookware,7.91,Africa/Cairo,Aboud,unknown,unknown,meercato,600.0,10.911074740861974,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133727,01:37:27,13:37:27,1,13,37,27,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Sauce Pan with Handle, 16cm with Stainless Steel Cover - Silver",899.0,999.0,https://meercato.com/en/aboud-sauce-pan-with-handle-16cm-with-stainless-steel-cover-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010452_pt_1_.webp,1,kitchen & dining,cookware & bakeware,1.035,Africa/Cairo,Aboud,unknown,unknown,meercato,100.0,10.01001001001001,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133733,01:37:33,13:37:33,1,13,37,33,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Aboud Tea Pot with Handle and Cover, 1.5 Litres, Stainless Steel - Silver",829.0,949.0,https://meercato.com/en/aboud-tea-pot-with-handle-and-cover-1-5-litre-stainless-steel-silver.html,https://meercato.com/media/catalog/product/6/2/6223005010476_pt0_2_.webp,1,beverages,tea,1.07,Africa/Cairo,Aboud,unknown,unknown,meercato,120.0,12.644889357218126,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133243,01:32:43,13:32:43,1,13,32,43,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"AKSA Food Container Set, 4 Pieces, Rectangler  - Grey",349.0,389.0,https://meercato.com/en/aksa-food-container-set-4-pieces-rectangler-grey.html,https://meercato.com/media/catalog/product/6/2/6221325004007_1_.webp,1,food container set,storage & waste,97.0,Africa/Cairo,Aksa,unknown,unknown,meercato,40.0,10.282776349614396,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133440,01:34:40,13:34:40,1,13,34,40,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"AKSA Food Container set, 4 Pieces ,Rectangular - Grey",249.0,269.0,https://meercato.com/en/aksa-food-container-set-4-pieces-rectangular-grey.html,https://meercato.com/media/catalog/product/6/2/6221325001051_2_.webp,1,food containers,storage & waste,35.0,Africa/Cairo,Aksa,unknown,unknown,meercato,20.0,7.434944237918216,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133402,01:34:02,13:34:02,1,13,34,2,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"AKSA Food Container Set, 4 Pieces ,Square - Grey",249.0,269.0,https://meercato.com/en/aksa-food-container-set-4-pieces-square-grey.html,https://meercato.com/media/catalog/product/6/2/6221325000054_2_.webp,1,food storage,storage & waste,39.0,Africa/Cairo,Aksa,unknown,unknown,meercato,20.0,7.434944237918216,1,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,133400,01:34:00,13:34:00,1,13,34,0,PM,false,true,afternoon,false,true,false,false,false,false,false,false
