product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"ASUS ROG Swift PG27AQDP 26.5\"\" QHD Premium OLED Gaming Monitor",0.0,0.0,10-Bit 1.07B Colours,AI ASSISTANT,0,computers & accessories,computer accessories,27.0,Noon Egypt,premium,computer,unknown,noon,0.0,0.0,0,Https,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ريدراجون AZUR-III Gaming Monitor, 24\"\" IPS Flat Panel Display",0.0,0.0,Borderless,250nits,0,computers & accessories,computer accessories,0.0,unknown,Noon Egypt,unknown,electronics > monitors,noon,0.0,0.0,0,Piece,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"HP V24i G5 23.8\"\" FHD Edge-Lit IPS Monitor",0.0,0.0,Low blue Light Mode,Joypad OSD Button,0,computers & accessories,computer accessories,0.0,unknown,Noon Egypt,unknown,electronics > monitors,noon,0.0,0.0,0,Piece,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"cmf by NOTHING Watch Pro 2, 1.32\"\" AMOLED Display",0.0,0.0,"MENA Version Dark Grey\"",cmf by NOTHING Watch Pro 2,0,electronics,water,0.0,smartwatch,pro,unknown,unknown,noon,0.0,0.0,0,Noon,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"EZVIZ DP2C 1080p Video Door Viewer Peephole Camera, 4.3\"\" Color Screen Display",0.0,0.0,Metal Housing,Cloud/SD,0,cameras,cameras,2.0,Noon Egypt,ezviz,camera,unknown,noon,0.0,0.0,0,Https,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"ASUS Gaming PC Bundle - ASUS TUF VG279QM1A Gaming Monitor, 27\"\" FHD Fast IPS Display",0.0,0.0,RTX 4080 Super OC Edition 16GB GDDR6X,3 Fan AIO Liquid Cooler,0,computers & accessories,gaming,0.0,unknown,Noon Egypt,unknown,electronics > monitors,noon,0.0,0.0,0,Piece,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Samsung 32\"\" Inch Odyssey G5 G55C (2560x1440) QHD",0.0,0.0,"Refresh Rate 165Hz & AMD FreeSync\"",10149,0,computers & accessories,computer accessories,0.0,unknown,samsun,unknown,2026-06-12T02:07:32+03:00,noon,0.0,0.0,0,Piece,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Anker Prime 250W USB C Charger, Ultra-Fast 6-Port GaN Charging Station, 2.26\"\" LCD Display and Smart Control Dial",0.0,0.0,"iPad and More Silver\"",Anker Prime 250W USB C Charger,0,electronics,mobile accessories,0.0,charger,anker,unknown,unknown,noon,0.0,0.0,0,Noon,1.0,1,0,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Oteeto \"\"Oteeto Watch 4 Men's Watch – Round Design and 1.43\"\" AMOLED Display in HD",0.0,0.0,1850,2100,0,electronics,water,0.0,unknown,men,2026-06-12T02:07:32+03:00,Africa/Cairo,noon,0.0,0.0,0,Smartwatch,1.0,1,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201800,08:18:00,20:18:00,8,20,18,0,PM,false,true,evening,false,false,true,false,false,false,false,false
كوب زجاج شفاف من 1 قطعة واحدة عليها رسومات مناسبة كهدية للكريسماس والقهوة والشاي سعة 360 مل,175.0,175.0,https://www.noon.com/egypt-en/1-360/Z7DBF057638CEEDB8A096Z/p/?o=z7dbf057638ceedb8a096z-1,missing_url,1,kitchen & dining,mugs & cups,0.0,Africa/Cairo,6,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Shein 1 Pair Oversized Black Y2K Style Fashion Glasses, Suitable For Summer Beach Bonfires, Parties, Gifts, Retro Streetwear, Driving, Outdoor Travel, Parties, Stage Performances, Beach Accessories",299.0,649.0,https://www.noon.com/egypt-en/1-pair-oversized-black-y2k-style-fashion-glasses-suitable-for-summer-beach-bonfires-parties-gifts-retro-streetwear-driving-outdoor-travel-parties-stage-performances-beach-accessories/ZFBB80EF3EFA6B33248AFZ/p/?o=fa09733e07047ace,missing_url,1,garden & outdoors,mugs & cups,0.0,Africa/Cairo,fashion,unknown,unknown,noon,350.0,53.929121725731896,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
CURTAINS & RODS 1 Panel Of Embroidered Tulle Roma Curtain Grey 3x2.8meter,1100.0,1100.0,https://www.noon.com/egypt-en/1-panel-of-embroidered-tulle-roma-curtain-grey-3x2-8meter/N53090965A/p/?o=eac8664765b70f3a,missing_url,1,home decor,home decor,0.0,Africa/Cairo,ull,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
CURTAINS & RODS 1 Panel Of Horizontally Stripes Honey Comb Peuma Curtain Dark Grey 3x2.8meter,1978.0,1978.0,https://www.noon.com/egypt-en/1-panel-of-horizontally-stripes-honey-comb-peuma-curtain-dark-grey-3x2-8meter/N53091013A/p/?o=e74c99c26cfc195c,missing_url,1,pantry & ingredients,jars & spreads,0.0,Africa/Cairo,horizon,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
CURTAINS & RODS 1 Panel Of Organic Plain Linen Mystive Curtain Café 1.4x2.8meter,1950.0,1950.0,https://www.noon.com/egypt-en/1-panel-of-organic-plain-linen-mystive-curtain-caf-1-4x2-8meter/N53090891A/p/?o=fd16e51130f1385d,missing_url,1,home goods,home decor,0.0,Africa/Cairo,el,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
CURTAINS & RODS 1 Panel Of Sheer Jacquard Explora Curtain Crème 3x2.8meter,2400.0,2400.0,https://www.noon.com/egypt-en/1-panel-of-sheer-jacquard-explora-curtain-cr-me-3x2-8meter/N53090973A/p/?o=c2326484ef3bdfbf,missing_url,1,home decor,home decor,0.0,Africa/Cairo,jac,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
CURTAINS & RODS 1 Panel Of Tulle Stripe Easy Curtain White 1.5x2.8meter,600.0,600.0,https://www.noon.com/egypt-en/1-panel-of-tulle-stripe-easy-curtain-white-1-5x2-8meter/N53091006A/p/?o=f4f467ab2852f8bd,missing_url,1,home decor,home,0.0,Africa/Cairo,easy,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
1 Piece Hair Band & Head Wrap Made of Elastic Cotton for Comfort and Head Warmth,96.0,190.0,https://www.noon.com/egypt-en/1-piece-hair-band-head-wrap-made-of-elastic-cotton-for-comfort-and-head-warmth/Z6605E09077D1BF6CAB1CZ/p/?o=b5d68043488662ca,missing_url,1,health & beauty,hair care,0.0,Africa/Cairo,comfort,unknown,unknown,noon,94.0,49.473684210526315,1,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
NeoKlein 1 Piece Neoklien 1.7L Plastic Kettle,799.0,1141.0,https://www.noon.com/egypt-en/1-piece-neoklien-1-7l-plastic-kettle/Z2383768B18923EAEC0D2Z/p/?o=z2383768b18923eaec0d2z-1,missing_url,1,small appliances,kettles,1.7,Africa/Cairo,pl,unknown,unknown,noon,342.0,29.97370727432077,1,L,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
10 elastic hair ties high quailty (5 black + 5 colors) 10,150.0,150.0,https://www.noon.com/egypt-en/10-elastic-hair-ties-high-quailty-5-black-5-colors-10/Z2D776CE2CE80ECD4C53CZ/p/?o=z2d776ce2ce80ecd4c53cz-1,missing_url,1,health & beauty,hair care,0.0,Africa/Cairo,black,unknown,unknown,noon,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
