product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
2B Audio Cable With 2 audio ports,79.0,95.0,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/c/v/cv-11-3-2b_rl92vcvfqxqhv71v.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,it,unknown,unknown,raya,16.0,16.842105263157894,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2B HyperLink LAN Cable,359.0,431.0,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/p/u/puhugnf4n1j7d96rtfgh_svugmct2gfqpfjgk.jpg,1,tvs & audio,audio accessories,0.0,Africa/Cairo,rl,unknown,unknown,raya,72.0,16.70533642691415,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2B Safety Laptop Key Lock,139.0,167.0,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/q/z/qz4omid_i71yoypft7pcslmb.jpeg,1,electronics,electronics accessories,0.0,Africa/Cairo,top,unknown,unknown,raya,28.0,16.766467065868262,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2B Stereo USB Wired On-Ear Headphone,1249.0,1411.37,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/2/b/2bhp563stereoheadset_2_ebfadwt508mmpilz.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,one,unknown,unknown,raya,162.3699999999999,11.504424778761054,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2B Type C to VGA,719.0,812.47,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/c/v/cv14634.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,2b,unknown,unknown,raya,93.47000000000003,11.504424778761065,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
2B Type-C To LAN Connector,489.0,587.0,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/h/z/hzybt3whbarfmeduduit_vmcxces0qld8ft2q.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,2b,unknown,unknown,raya,98.0,16.695059625212945,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"3 In 1 USB-A to USB-C + Micro USB + Lightning Cable, 1.2 Meter",185.0,199.0,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/h/k/hkym7u8qpgp6sisnfmr8_awuyuntjrcbgjtve.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,cr,unknown,unknown,raya,14.0,7.035175879396985,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
4 In 1 Type-C HUB,310.0,368.75,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/e/z/ezkymaqas3muveud4tyl_tpggnacmrg3dzsdo.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,c,unknown,unknown,raya,58.75,15.932203389830507,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
ACEFAST E17 3In1 Wireless Desktop Charging Holder,3999.0,4518.87,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/g/z/gzonafzhbnlgfxjc6tqw_5sal4uimc6f3v7q3.jpg,1,electronics,mobile accessories,0.0,Africa/Cairo,top,unknown,unknown,raya,519.8699999999999,11.504424778761061,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
ADAM Audio T10S Powered Studio Subwoofer,35050.0,39606.5,unknown,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/w/x/wx87e7xvgpkq4cdv6xdl_vnfu2gfafi6mllfk.jpg,1,computers & accessories,computer accessories,0.0,Africa/Cairo,power,unknown,unknown,raya,4556.5,11.504424778761061,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
