product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
قلم تيكي جرب 0.7مم احمر رقم 1904507,199.0,199.0,https://samirandaly.com/ar/0011904507.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904507_2.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكي جرب 0.35 مم أسود رقم SO1904694,199.0,199.0,https://samirandaly.com/ar/0011904694.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904694_2.jpg,1,pen,pens & pencils,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84250,08:42:50,08:42:50,8,8,42,50,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكي جريب 0.5مم رقم 2007215,199.0,199.0,https://samirandaly.com/ar/0012007215.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0012007215_8.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84250,08:42:50,08:42:50,8,8,42,50,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكي جريب 0.7مم رقم 2007216,199.0,199.0,https://samirandaly.com/ar/0012007216.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0012007216_8.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكي جريب 0.5مم رقم 2007217,199.0,199.0,https://samirandaly.com/ar/0012007217.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0012007217_15.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكى جريب 0.7مم Neon Pink رقم 2007218,199.0,199.0,https://samirandaly.com/ar/0012007218.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0012007218_4.jpg,1,pens and markers,ink,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84249,08:42:49,08:42:49,8,8,42,49,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم تيكي جريب 0.7مم Light Blue رقم 2007252,199.0,199.0,https://samirandaly.com/ar/0012007252.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0012007252_8.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم سنون روترينج تيكي جريب 0.5مم رقم 2189064,199.0,199.0,https://samirandaly.com/ar/0012189064.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/3/0/3026981890642_1.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم سنون روترينج تيكي جريب 0.7مم رقم 2189066,199.0,199.0,https://samirandaly.com/ar/0012189066.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/3/0/3026981890666-6.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84251,08:42:51,08:42:51,8,8,42,51,AM,true,false,morning,true,false,false,false,false,false,false,false
قلم سنون روترينج تيكي جريب 0.7مم رقم 2189069,199.0,199.0,https://samirandaly.com/ar/0012189069.html,https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/3/0/3026981890697-4.jpg,1,office supplies,pens,0.0,Africa/Cairo,Rotring,unknown,unknown,samir_and_aly,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,84252,08:42:52,08:42:52,8,8,42,52,AM,true,false,morning,true,false,false,false,false,false,false,false
