product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Al Saa'a Rice - 1 kg,38.95,38.95,https://seoudisupermarket.com/en/%D8%A7%D8%B1%D8%B2-%D8%A7%D9%84%D8%B3%D8%A7%D8%B9%D8%A9-1%D9%83%D8%AC%D9%85-6224001074004,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224001074004.jpg?width=200,1,pantry & ingredients,rice pasta & pulses,1.0,Africa/Cairo,al,unknown,unknown,seoudi,0.0,0.0,0,Kg,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Arkan Pistachio Halawa - 600 g,167.45,167.45,https://seoudisupermarket.com/en/%D8%A7%D8%B1%D9%83%D8%A7%D9%86-%D8%AD%D9%84%D8%A7%D9%88%D8%A9-%D9%81%D8%B3%D8%AA%D9%82-600%D8%AC%D9%85,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224008286066.jpg?width=200,0,pantry & ingredients,jars & spreads,600.0,Africa/Cairo,halawa,unknown,unknown,seoudi,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Ariel Automatic Washing Powder, 8 kg - Incense Scent",499.95,609.95,https://seoudisupermarket.com/en/%D8%A7%D8%B1%D9%8A%D8%A7%D9%84-%D8%A7%D9%88%D8%AA%D9%88%D9%85%D8%A7%D8%AA%D9%8A%D9%83-8%D9%83-%D8%A8%D8%A7%D9%84%D8%A8%D8%AE%D9%88%D8%B1,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/0/8006530245685.jpg?width=200,1,promotions,cleaning and household,8.0,Africa/Cairo,ariel,unknown,unknown,seoudi,110.00000000000006,18.034265103697035,1,Kg,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Asperox Sparks Diamond Dishwasher Capsules- 20 Pieces,244.75,294.95,https://seoudisupermarket.com/en/%D8%A7%D8%B3%D8%A8%D9%8A%D8%B1%D9%88%D9%83%D8%B3-%D8%B3%D8%A8%D8%A7%D8%B1%D9%83%D8%B3-%D8%AF%D8%A7%D9%8A%D9%85%D9%88%D9%86%D8%AF-20-%D9%82,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/6/8697713839939.jpg?width=200,1,promotions,cleaning and household,0.0,Africa/Cairo,diamond,unknown,unknown,seoudi,50.19999999999999,17.01983387014748,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Asperox Sparks Diamond Dishwasher Capsules- 30 Pieces,293.45,353.95,https://seoudisupermarket.com/en/%D8%A7%D8%B3%D8%A8%D9%8A%D8%B1%D9%88%D9%83%D8%B3-%D8%B3%D8%A8%D8%A7%D8%B1%D9%83%D8%B3-%D8%AF%D8%A7%D9%8A%D9%85%D9%88%D9%86%D8%AF-30-%D9%82,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/8/6/8697713839946.jpg?width=200,1,promotions,cleaning and household,0.0,Africa/Cairo,diamond,unknown,unknown,seoudi,60.5,17.092809718886848,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Almarai Triangle Cheese - 8 Pieces,44.95,58.5,https://seoudisupermarket.com/en/%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%B9%D9%89-%D8%AC%D8%A8%D9%86%D8%A9-%D9%85%D8%AB%D9%84%D8%AB%D8%A7%D8%AA-8-%D9%82%D8%B7%D8%B9,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/b/e/bebbf984-1312-4508-8cae-b4f7ffb2900a.jpg?width=200,0,dairy & eggs,cheese & labneh,0.0,Africa/Cairo,almarai,unknown,unknown,seoudi,13.549999999999997,23.16239316239316,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
OGX Nourishing Plus Coconut Milk Conditioner - 385 ml,259.5,332.5,https://seoudisupermarket.com/en/%D8%A7%D9%88-%D8%AC%D9%89-%D8%A7%D9%83%D8%B3-%D8%A8%D9%84%D8%B3%D9%85-%D8%AC%D9%88%D8%B2-%D9%87%D9%86%D8%AF385%D9%85%D9%84-0022796970060,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/0/0/0022796970060_1.jpg?width=200,1,promotions,dairy & eggs,385.0,Africa/Cairo,nouri,unknown,unknown,seoudi,73.0,21.954887218045112,1,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
OGX Anti Breakage Keratin Oil Hair Conditioner - 385 ml,259.5,332.5,https://seoudisupermarket.com/en/%D8%A7%D9%88-%D8%AC%D9%89-%D8%A7%D9%83%D8%B3-%D8%A8%D9%84%D8%B3%D9%85-%D8%B2%D9%8A%D8%AA-%D9%83%D8%B1%D9%8A%D8%A7%D8%AA%D9%8A%D9%86385%D9%85-0022796977526,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/0/0/0022796977526_1.jpg?width=200,1,promotions,"oil, vinegar & syrups",385.0,Africa/Cairo,e keratin,unknown,unknown,seoudi,73.0,21.954887218045112,1,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
OG Chocolate Wafer Biscuit - 1 Piece,10.0,10.0,https://seoudisupermarket.com/en/%D8%A7%D9%88-%D8%AC%D9%89-%D9%88%D9%8A%D9%81%D8%B1-%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-10%D8%AC%D9%86%D9%8A%D9%87,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223000411568.jpg?width=200,0,snacks & sweets,biscuits & cakes,0.0,Africa/Cairo,cola,unknown,unknown,seoudi,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
OG Vanilla Wafer Biscuit - 1 Piece,10.0,10.0,https://seoudisupermarket.com/en/%D8%A7%D9%88-%D8%AC%D9%89-%D9%88%D9%8A%D9%81%D8%B1-%D9%81%D8%A7%D9%86%D9%8A%D9%84%D9%8A%D8%A7-10%D8%AC%D9%86%D9%8A%D9%87,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223000411537.jpg?width=200,0,snacks & sweets,biscuits & cakes,0.0,Africa/Cairo,vanilla,unknown,unknown,seoudi,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
