product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"Lenovo Legion 24-10 (68C4GAC4EU), 23.8\"\" IPS FHD",0.0,0.0,2x HDMI 2.1 TMDS,1x DP 1.4(HBR3),0,monitor,monitor,24.0,Sigma Computer,Lenovo,electronics > monitors,unknown,sigma,0.0,0.0,0,Https,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201936,08:19:36,20:19:36,8,20,19,36,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Samsung LS27D300GAMXUE 27\"\" IPS FHD 100Hz monitor",0.0,0.0,Eye Saver Mode,Flicker Free,0,computers & accessories,computer accessories,27.0,Sigma Computer,Samsung,electronics > monitors,unknown,sigma,0.0,0.0,0,Https,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201936,08:19:36,20:19:36,8,20,19,36,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Samsung Odyssey G7 G70D 32\"\" – 4K IPS",0.0,0.0,HDMI 2.1,Tizen OS,0,monitors,monitor,7.0,Sigma Computer,Samsung,electronics > monitors,unknown,sigma,0.0,0.0,0,Https,1.0,1,1,0,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201936,08:19:36,20:19:36,8,20,19,36,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"Samsung Odyssey G5 32\"\" inch Curved QHD Gaming Monitor – VA Panel",0.0,0.0,"\"Samsung Odyssey G5 32\"\" inch Curved QHD Gaming Monitor – VA Panel\"",missing_url,0,computers & accessories,computer accessories,0.0,unknown,Samsung,unknown,2026-06-11T23:45:46 GMT+3,sigma,0.0,0.0,0,Piece,1.0,0,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201936,08:19:36,20:19:36,8,20,19,36,PM,false,true,evening,false,false,true,false,false,false,false,false
"\"LENOVO IdeaPad 5 2-in-1 14IRH9 83KX0041PS Intel® Core i7-13620H - Intel® UHD Graphics - 16GB Soldered LPDDR5x-5200 - 512GB SSD M.2 - 14\"\" WUXGA (1920x1200) OLED 400nits Glossy",0.0,0.0,39999,missing_url,0,computers & accessories,computer accessories,0.0,unknown,Lenovo,2026-06-11T23:45:46 GMT+3,Africa/Cairo,sigma,0.0,0.0,0,Electronics,1.0,0,1,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,201936,08:19:36,20:19:36,8,20,19,36,PM,false,true,evening,false,false,true,false,false,false,false,false
A DATA HD710 Pro AHD710P-1TU31-CBL 4TB 2.5 External Hard Drive BLACK,3999.0,3999.0,https://sigma-computer.com/en/item?id=a-data-hd710-pro-ahd710p-1tu31-cbl-4tb-25-external-hard-drive-black-xhkyh0spj48h,missing_url,1,storage,storage,0.0,Africa/Cairo,A,unknown,4096GB,sigma,0.0,0.0,0,Piece,1.0,0,0,1,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4TECH 2.4G WIRELESS MOUSE (FG30S) BLUE,225.0,225.0,https://sigma-computer.com/en/item?id=a4tech-24g-wireless-mouse-fg30s-blue-nna2b3sqw451,missing_url,1,computers & accessories,computer accessories,2.4,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,G,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4tech Fstyler FM10 (BLUE) Optical Wired Mouse,150.0,150.0,https://sigma-computer.com/en/item?id=a4tech-fstyler-fm10-blue-optical-wired-mouse-jo44mumcpagc,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4tech Fstyler FM10 (Grey) Optical Wired Mouse,150.0,150.0,https://sigma-computer.com/en/item?id=a4tech-fstyler-fm10-grey-optical-wired-mouse-k4ehkordtdax,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4TECH G9-500FS - Wireless Silent Mouse - Black,280.0,280.0,https://sigma-computer.com/en/item?id=a4tech-g9-500fs-wireless-silent-mouse-black-xhn9sif1esyu,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4tech KLS-40 Keyboard,190.0,190.0,https://sigma-computer.com/en/item?id=a4tech-kls-40-keyboard-ckrcbbo5vyca,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
A4Tech PK-635P 720p HD Webcam (Black),850.0,850.0,https://sigma-computer.com/en/item?id=a4tech-pk-635p-720p-hd-webcam-black-puinb66otpev,missing_url,1,audio & peripherals,webcam,0.0,Africa/Cairo,A4tech,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
ABKONCORE LED CPU Cooler White CT407W,849.0,849.0,https://sigma-computer.com/en/item?id=abkoncore-led-cpu-cooler-white-ct407w-j7rrzokbsz0d,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Abkoncore,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
ABKONCORE MOUSE ASTRAM AM30,799.0,799.0,https://sigma-computer.com/en/item?id=abkoncore-mouse-astram-am30-sjjwl9guqjrz,missing_url,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Abkoncore,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
ACCESSOIRS-FAN-SilverStone -SST-AB120RW-ARGB,450.0,450.0,https://sigma-computer.com/en/item?id=accessoirs-fan-silverstone-sst-ab120rw-argb-lkly5lcop7by,missing_url,1,small appliances,fans & ventilation,0.0,Africa/Cairo,Accessoirs Fan Silverstone,unknown,unknown,sigma,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
ACER Aspire 3 A315-56-34W3 Core i3-1005G1 - 4GB - 1TB - Integrated graphics - 15.6 HD Intel UHD Graphics,8899.0,8899.0,https://sigma-computer.com/en/item?id=acer-aspire-3-a315-56-34w3-core-i3-1005g1-4gb-1tb-integrated-graphics-156-hd-intel-uhd-graphics-mnk5wagmemlx,missing_url,1,laptop,laptop,0.0,Africa/Cairo,Intel,unknown,1024GB,sigma,0.0,0.0,0,Piece,1.0,0,0,1,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,24546,02:45:46,02:45:46,2,2,45,46,AM,true,false,night,false,false,false,true,false,false,false,false
