product_name,product_current_price,product_old_price,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Al Abd Petit Four 250 Gm,74.95,74.95,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/bakery/crispbread-rusk?aid=7924,https://talabat.dhmedia.io/image/darkstores-eg/EGY_6224008630616.jpg,BIM,1,bakery,bakery,250.0,Africa/Cairo,eti,unknown,unknown,0.0,0.0,0,Gm,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Todo Brownies Cake - Piece,14.95,14.95,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/bakery/fresh-bakes-pastries?aid=7924,https://talabat.dhmedia.io/image/product-information-management/69c547c526dc227c37449220.png,BIM,1,bakery,bakery & pastry,0.0,Africa/Cairo,brown,unknown,unknown,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Molto Chocolate Cream Filled Croisant Magnum,14.75,14.75,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/bakery/pastries?aid=7924,https://talabat.dhmedia.io/image/product-information-management/676e5ff7f8fd5beef0b1397a.png,BIM,1,bakery,bakery & pastry,0.0,Africa/Cairo,magnum,unknown,unknown,0.0,0.0,0,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Dina Farms Feta Cheese 450 Gm,101.0,101.0,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/dairy-eggs/cheese?aid=7924,https://talabat.dhmedia.io/image/talabat-nv/Regional_Images/Lulu_Web_Scrapped/6224011439015.0_1.jpg,BIM,1,dairy & eggs,cheese & labneh,450.0,Africa/Cairo,dina farms,unknown,unknown,0.0,0.0,0,Gm,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Watermelon,87.2,128.23529411764707,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/fruit-veg/fresh-fruit?aid=7924,https://talabat.dhmedia.io/image/talabat-nv/Kuwait/Enrichment/Egypt/31000018.jpg,BIM,1,fresh produce,water,0.0,Africa/Cairo,unbranded,unknown,unknown,41.03529411764707,32.00000000000001,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Old Red Onion, 1kg",11.5,11.5,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/fruit-veg/fresh-vegetables?aid=7924,https://talabat.dhmedia.io/image/product-information-management/67f50399b6d43da91631373c.jpg,BIM,1,fresh produce,vegetables,1.0,Africa/Cairo,ion,unknown,unknown,0.0,0.0,0,Kg,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Fireway Vegetable Meat, 500g",184.95,217.58823529411765,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/poultry-meat-seafood/beef-veal?aid=7924,https://talabat.dhmedia.io/image/product-information-management/6942745ea184738108c8aa44.JPG,BIM,1,"meat, poultry & fishery",meat,500.0,Africa/Cairo,vegeta,unknown,unknown,32.63823529411766,15.000000000000007,1,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Soul Fresh Chicken Shish, 400g",104.95,104.95,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/poultry-meat-seafood/chicken-poultry?aid=7924,https://talabat.dhmedia.io/image/talabat-nv/SSC_PIM_2/6224001700385.jpg,BIM,1,"meat, poultry & fishery",chicken & poultry,400.0,Africa/Cairo,fresh,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
COLD SMOKED HERING 225-275GR DERYA,47.94,53.266666666666666,https://www.talabat.com/egypt/grocery/1000514/bim-janna-october-e626/poultry-meat-seafood/fish-seafood?aid=7924,https://talabat.dhmedia.io/image/otlob/MenuItems/derya_rengaa_225g_637449361562926750.jpg,BIM,1,"meat, poultry & fishery",fish & seafood,0.0,Africa/Cairo,cold,unknown,unknown,5.326666666666668,10.000000000000004,1,Piece,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"HOHOs King rolled Chocolate Cake with Cream, 60g",12.0,12.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/bakery/fresh-bakes-pastries?aid=10768,https://talabat.dhmedia.io/image/product-information-management/676e601cf8fd5beef0b139b4.png,Online mini market,1,bakery,bakery & pastry,60.0,Africa/Cairo,hohos,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Molto Mini Croissants with Chocolate, 50g",12.0,12.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/bakery/pastries?aid=10768,https://talabat.dhmedia.io/image/product-information-management/69a543b9a051309341ebdef7.JPG,Online mini market,1,bakery,bakery & pastry,50.0,Africa/Cairo,molto,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Suntop Orange Juice, 250ml",17.0,17.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/beverages/juices?aid=10768,https://talabat.dhmedia.io/image/nv-eg/Zaher/27%20oct/6224001167423.jpg,Online mini market,1,beverages,juices,250.0,Africa/Cairo,orange,unknown,unknown,0.0,0.0,0,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Coca Cola Soft Drink Can, 330ml",20.0,20.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/beverages/soft-drinks?aid=10768,https://talabat.dhmedia.io/image/product-information-management/697c8bc77dde5d29603dbf14.jpg,Online mini market,1,beverages,soft drinks,330.0,Africa/Cairo,coca cola,unknown,unknown,0.0,0.0,0,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Birell Non-Alcoholic Malt Beverage Can, 330ml",22.0,22.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/beverages/specialty-drinks?aid=10768,https://talabat.dhmedia.io/image/product-information-management/69294b6cd2091b86d7c1091f.png,Online mini market,1,beverages,beverages,330.0,Africa/Cairo,c m,unknown,unknown,0.0,0.0,0,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Red Bull Coconut & Berry Energy Drink, 4x250ml",260.0,260.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/beverages/sports-energy-drinks?aid=10768,https://talabat.dhmedia.io/image/product-information-management/677fc601a5ad347f29aede19.JPG,Online mini market,1,beverages,energy drink,250.0,Africa/Cairo,Red Bull,unknown,unknown,0.0,0.0,0,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Elano Water 600 Ml,7.0,7.0,https://www.talabat.com/egypt/grocery/1100132/online-mini-market-el-gaish/beverages/water?aid=10768,https://talabat.dhmedia.io/image/product-information-management/689456ac9d781f686244afee.jpg,Online mini market,1,beverages,water,600.0,Africa/Cairo,elano,unknown,unknown,0.0,0.0,0,Ml,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
