product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"\"L.O.L. Surprise! OMG Fierce Neonlicious 11.5\"\" Fashion Doll with X Surprises Including Accessories & Outfits",0.0,0.0,"Great Gift\"",3450,0,fashion,tv accessories,0.0,unknown,fashion,unknown,2026-06-13T19:16:17+03:00,toptoys,0.0,0.0,0,In,1.0,1,0,1,20260628,2026-06-28,28,2026,6,2,June,Sunday,7,179,26,false,0,N/A,true,false,false,false,false,false,false,false,false,true,Summer,false,false,true,false,202022,08:20:22,20:20:22,8,20,20,22,PM,false,true,evening,false,false,true,false,false,false,false,false
Serina Swing 2in1 In the Rain,4890.0,4890.0,https://www.toptoyseg.com/product/%d9%8dserina-swing-2in1-in-the-rain/,https://www.toptoyseg.com/wp-content/uploads/2018/08/w1306abitr000_serina2in1_rtang_cs_cc_hr1-1-1-1.jpg,1,baby products,baby & kids,0.0,Africa/Cairo,Joie,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163255,04:32:55,16:32:55,4,16,32,55,PM,false,true,afternoon,false,true,false,false,false,false,false,false
Barbie Baby Doctor Doll with Blonde Fashion Doll,1895.0,1895.0,https://www.toptoyseg.com/product/%e2%80%8bbarbie-baby-doctor-doll-with-blonde-fashion-doll/,https://www.toptoyseg.com/wp-content/uploads/2025/04/71znkGGeNLL._AC_SL1500_.jpg,1,baby products,baby care,0.0,Africa/Cairo,Barbie,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163257,04:32:57,16:32:57,4,16,32,57,PM,false,true,afternoon,false,true,false,false,false,false,false,false
"Barbie Doll, Rainbow Princess",599.0,599.0,https://www.toptoyseg.com/product/%e2%80%8bbarbie-doll-rainbow-princess/,https://www.toptoyseg.com/wp-content/uploads/2020/06/81vyZyWYG2L._AC_SL1500_.jpg,1,baby products,dolls,0.0,Africa/Cairo,Barbie,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163255,04:32:55,16:32:55,4,16,32,55,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1/14 McLaren P1,999.0,999.0,https://www.toptoyseg.com/product/1-14-mclaren-p1/,https://www.toptoyseg.com/wp-content/uploads/2022/01/rm7757c-1-c995-zec2.jpg,1,baby products,toys & games,0.0,Africa/Cairo,Rastar,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163257,04:32:57,16:32:57,4,16,32,57,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1/14 R/C Lamborghini Centenario,950.0,950.0,https://www.toptoyseg.com/product/1-14-r-c-lamborghini-centenario/,https://www.toptoyseg.com/wp-content/uploads/2020/08/090159812753MAISTOAUTOR2FC13A14LAMBOCENTEN81275-min-500x500.jpg,1,baby products,remote control toys,0.0,Africa/Cairo,Maisto,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163257,04:32:57,16:32:57,4,16,32,57,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1/14 Scale 2.4Ghz Remote Control Car for Ferrari,2899.0,2899.0,https://www.toptoyseg.com/product/1-14-scale-2-4ghz-remote-control-car-for-f-errari/,https://www.toptoyseg.com/wp-content/uploads/2025/04/6155FqMBitL.jpg,1,baby products,sun care,0.0,Africa/Cairo,Ferrari,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163257,04:32:57,16:32:57,4,16,32,57,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1/16 Engineering Construction Truck Excavator Digger Vehicle Cars for Kids Toys,230.0,230.0,https://www.toptoyseg.com/product/1-16-engineering-construction-truck-excavator-digger-vehicle-cars-for-kids-toys/,https://www.toptoyseg.com/wp-content/uploads/2019/05/s-l1600.jpg,1,baby products,toys,0.0,Africa/Cairo,Summer 2019,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163259,04:32:59,16:32:59,4,16,32,59,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1: 18 2014 Corvette Stingray (Colors May Vary),1000.0,1000.0,https://www.toptoyseg.com/product/1-18-2014-corvette-stingray-colors-may-vary/,https://www.toptoyseg.com/wp-content/uploads/2019/08/4.jpg,1,baby products,toys & games > die-cast & toy vehicles > cars,0.0,Africa/Cairo,Maisto,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163258,04:32:58,16:32:58,4,16,32,58,PM,false,true,afternoon,false,true,false,false,false,false,false,false
1: 18 2017 50th Anniversary Chevrolet Camaro (Colors May Vary),2700.0,2700.0,https://www.toptoyseg.com/product/1-18-2017-50th-anniversary-chevrolet-camaro-colors-may-vary/,https://www.toptoyseg.com/wp-content/uploads/2021/06/81Rbb20blL._AC_SL1500_.jpg,1,baby products,toys & games > die-cast & toy vehicles > cars,0.0,Africa/Cairo,Maisto,unknown,unknown,toptoys,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,163259,04:32:59,16:32:59,4,16,32,59,PM,false,true,afternoon,false,true,false,false,false,false,false,false
