product_name,product_current_price,product_old_price,product_url,product_image_url,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_seller,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
Apple Watch SE 3 GPS - Aluminium Case with Sport Band - 40mm - Apple Watch SE 3 Midnight Aluminium Case with Midnight Sport Band,17900.0,17900.0,https://www.tradelinestores.com/shop/AW/3ea7c2e1-21f7-4b94-9ed2-b76114ceaa23/e48c6136-139d-4632-a1d9-6449ff66a040,https://tradelinestores.s3.amazonaws.com/media/product_images/73f57e25-7be6-4941-9a98-aa261241eb68.png,1,computers & accessories,computer accessories,5.0,Africa/Cairo,Apple,unknown,40mm,tradeline,0.0,0.0,0,G,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Watch Series 11 GPS - Aluminum Case with Sport Band - 42mm - Apple Watch Series 11 Jet Black Aluminium Case with Black Sport Band,27000.0,27000.0,https://www.tradelinestores.com/shop/AW/7de6baf7-55de-4d4c-8fac-e20436a3f8c3/apple-watch-series-11-sport-loop,https://tradelinestores.s3.amazonaws.com/media/product_images/ae887c7c-8be0-47e7-b6af-b04925b8cc2a.png,1,computers & accessories,computer accessories,5.0,Africa/Cairo,Apple,unknown,42mm,tradeline,0.0,0.0,0,G,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Watch Ultra 2 Cellular - 49 mm Black Titanium Case with Alpine Loop - APPLE Watch Ultra 2 Cellular - 49 mm Black Titanium Case with Dark Green Alpine Loop,49500.0,49500.0,https://www.tradelinestores.com/shop/AW/product/APPLE-Watch-Ultra2-Cellular-49mm-Black-Titanium-Case-AlpineLoop,https://tradelinestores.s3.amazonaws.com/media/product_images/bcba1869-19a7-477b-979b-12a751df041e.png,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Apple,unknown,64GB,tradeline,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
"Apple Watch SE GPS, Aluminium Case with Sport Loop - 40mm - Apple watch se sport loop midnight",13900.0,13900.0,https://www.tradelinestores.com/shop/AW/product/Apple-Watch-SE-GPS-Aluminium-Case-Sport-loop,https://tradelinestores.s3.amazonaws.com/media/product_images/cbbccac0-319f-4d8a-bf37-e2f192a68678.png,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Apple,unknown,40mm,tradeline,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
"Apple Watch Series 6 GPS, Aluminium Case with Sport Band - Standard Edition - PRODUCT(RED) Aluminium Case with PRODUCT(RED) Sport Band",7550.0,7550.0,https://www.tradelinestores.com/shop/AW/product/Apple-Watch-Series-6-GPS-Aluminium-Case-Sport-Band,https://tradelinestores.s3.amazonaws.com/media/product_images/ab6567a2-8998-459d-9452-4e474a7951fb.jpg,1,computers & accessories,computer accessories,30.5,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,G,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Watch Series 10 GPS - Aluminum Case with Sport Band - 42mm - Apple Watch Series 10 Jet Black Aluminium Case with Black Sport Band,22500.0,22500.0,https://www.tradelinestores.com/shop/AW/product/apple-watch-series-10,https://tradelinestores.s3.amazonaws.com/media/product_images/71014410-8cab-4bd0-950c-663e8cfb7202.png,1,computers & accessories,computer accessories,0.0,Africa/Cairo,Apple,unknown,42mm,tradeline,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Anker Nebula Capsule 3 Projector - Black | D2425212,47999.0,47999.0,https://www.tradelinestores.com/shop/Accessories/08dbf93f-cad6-47ae-b97e-d5498b6fce31/fd5125e7-b7c4-427e-8d86-810258454610,https://tradelinestores.s3.amazonaws.com/media/product_images/9f3167d8-2c32-4066-86c8-d1301c842c8e.png,1,electronics,projectors,0.0,Africa/Cairo,Anker,unknown,2GB,tradeline,0.0,0.0,0,Piece,1.0,1,0,1,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
CardoO Scale - CardoO Scale - Black,1999.0,1999.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/99055445-a654-4d00-8fca-df140f877bfe,https://tradelinestores.s3.amazonaws.com/media/product_images/f2c2668e-bf0e-4c1b-b1a6-ce62a364cdf0.png,1,sports & fitness,meat,200.0,Africa/Cairo,Cardoo,unknown,unknown,tradeline,0.0,0.0,0,G,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
King Smith WalkingPad G1 Foldable Treadmill - Black,29500.0,29500.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/991d10ba-7dae-4af5-89ae-49de5562f703,https://tradelinestores.s3.amazonaws.com/media/product_images/2e3f5f6f-92ea-4216-a962-be2c03f646ad.png,1,fitness equipment,meat,240.0,Africa/Cairo,King Smith,unknown,unknown,tradeline,0.0,0.0,0,Lbs,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
King Smith Smart Foldable Walking Pad X21,40635.0,40635.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/King-Smith-Smart-Foldable-WalkingPad-X21,https://tradelinestores.s3.amazonaws.com/media/product_images/a8a1b5f5-d913-43a4-a2a5-8c2961764700.png,1,health & beauty,meat,110.0,Africa/Cairo,King Smith,unknown,unknown,tradeline,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
King Smith Walkingpad Smart Foldable Walking Pad C2 - King Smith Walkingpad Smart Foldable Walking Pad C2 - Black,24210.0,24210.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/King-Smith-Walkingpad-Smart-Foldable-Walking-Pad-C2-Yellow,https://tradelinestores.s3.amazonaws.com/media/product_images/0766f364-2747-48db-967c-53472ccecc75.png,1,health & beauty,meat,100.0,Africa/Cairo,King Smith,unknown,unknown,tradeline,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
CardoO Scale Pro - Gold,3499.0,3499.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/bae392ce-d71a-49bd-8e69-1a6344ee91cd,https://tradelinestores.s3.amazonaws.com/media/product_images/3c47a8dc-b8fa-4136-9e81-a3dfcdcd1562.png,1,home essentials,meat,200.0,Africa/Cairo,Cardoo,unknown,unknown,tradeline,0.0,0.0,0,G,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
cardoO Ring - cardoO Ring - Black,4999.0,4999.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/cardoO-Ring,https://tradelinestores.s3.amazonaws.com/media/product_images/d1a0b4ed-c4f3-4084-8688-d9a394c94407.png,1,accessory,meat,0.0,Africa/Cairo,Cardoo,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
King Smith Water Resistance Rowing Machine - Black / Brown,29465.0,29465.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/king-smith-rowing-machine,https://tradelinestores.s3.amazonaws.com/media/product_images/778a138d-98f9-451c-b1ef-75e2b2511d45.webp,1,beverages,meat,264.55,Africa/Cairo,King Smith,unknown,unknown,tradeline,0.0,0.0,0,Lbs,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
King Smith Smart Foldable Walking Pad R1 - Gray,27265.0,27265.0,https://www.tradelinestores.com/shop/Accessories/0c9e255a-44ea-4d43-b684-789cea5c10b5/king-smith-smart-foldable-walking-pad-r1,https://tradelinestores.s3.amazonaws.com/media/product_images/1e14b75b-ff55-4c67-b444-ed16dabb03ca.webp,1,health & beauty,meat,110.0,Africa/Cairo,King Smith,unknown,unknown,tradeline,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
RAVPower 712Wh | 600W Portable Power Station - Black,29999.0,29999.0,https://www.tradelinestores.com/shop/Accessories/2a97fc44-8437-4541-987d-e7f4396848c8/RAVPower-712Wh-600W-Portable-Power-Station-Black,https://tradelinestores.s3.amazonaws.com/media/product_images/86e09f4a-b5d3-419e-90dc-bd579faf9012.png,1,electronics,vegetables,0.0,Africa/Cairo,Ravpower,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple iPhone Air Bumper - Apple iPhone Air Bumper - Black,3300.0,3300.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/00922430-a3c4-4921-94aa-8cbcb8a0a299,https://tradelinestores.s3.amazonaws.com/media/product_images/e165b5f2-2105-430b-8ee9-bd5f24493431.jpeg,1,case,electronics accessories,0.0,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Watch 46mm Blackberry Magnetic Link M/L,3990.0,3990.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/00bf8182-e48a-4d2b-8142-621fc1368b25,https://tradelinestores.s3.amazonaws.com/media/product_images/fab369e1-481e-4771-a1c1-fd3f4095cb5c.jpeg,1,watch accessories,electronics accessories,0.0,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon (USB–C) - Arabic - White,14990.0,14990.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/05df0852-aae9-4b1c-9131-5b41fef8c073,https://tradelinestores.s3.amazonaws.com/media/product_images/dbfb5abe-df74-43d9-aa8e-d481690c96d8.jpeg,1,electronics,electronics accessories,0.369,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,Kg,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple iPhone 14 Pro Clear Case with MagSafe,2880.0,2880.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/1b408f12-9962-4d7a-8898-8a3dd6360f7f,https://tradelinestores.s3.amazonaws.com/media/product_images/2e4b1124-d155-4d66-852a-6ba03630d3b9.jpeg,1,computers & accessories,electronics accessories,0.0,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Magic Keyboard for iPad Pro & iPad Air 13‑inch (M3) - White,27500.0,27500.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/1e2e49f4-5a66-46c0-b9e6-7912908512f6,https://tradelinestores.s3.amazonaws.com/media/product_images/b38f9d72-05fa-4f91-9f51-828ddd3bbddc.jpeg,1,computers & accessories,electronics accessories,0.0,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,Piece,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
Apple Watch Magnetic Charger to USB Cable (1m),2399.0,2399.0,https://www.tradelinestores.com/shop/Accessories/42a700a6-1f6c-47c8-80a3-f30dac170054/1e459c66-6336-4d65-923b-671166749b46,https://tradelinestores.s3.amazonaws.com/media/product_images/ae03494a-3135-4b91-8f78-39e586553bf2.jpg,1,electronics,electronics accessories,1.0,Africa/Cairo,Apple,unknown,unknown,tradeline,0.0,0.0,0,M,1.0,1,0,0,20260613,2026-06-13,13,2026,6,2,June,Saturday,6,164,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,73425,07:34:25,07:34:25,7,7,34,25,AM,true,false,morning,true,false,false,false,false,false,false,false
